season,team,srs
2008,Saint Louis,0.31
2008,Saint Mary's,11.39
2008,Saint Peter's,-10.01
2008,Sam Houston,-0.25
2008,Samford,-11.97
2008,San Diego,3.39
2008,San Diego State,5.21
2008,San Francisco,-7.02
2008,San Jose State,-9.2
2008,Santa Clara,-0.77
2008,Savannah State,-16.24
2008,Seton Hall,4.84
2008,Siena,4.06
2008,South Alabama,7.76
2008,South Carolina,7.3
2008,South Carolina State,-15.9
2008,South Florida,5.17
2008,Southeast Missouri State,-13.78
2008,Southeastern Louisiana,-5.78
2008,Southern,-16.05
2008,Southern California,13.89
2008,Southern Illinois,8.73
2008,Southern Mississippi,3.77
2008,Southern Utah,-6.35
2008,St. Bonaventure,-5.33
2008,St. Francis (NY),-12.64
2008,St. John's,2.94
2008,Stanford,16.31
2008,Stephen F. Austin,1.42
2008,Stetson,-11.42
2008,Stony Brook,-12.36
2008,Syracuse,12.65
2008,TCU,-0.92
2008,Temple,8.16
2008,Tennessee,18.41
2008,Tennessee State,-6.95
2008,Tennessee Tech,-7.95
2008,Tennessee-Martin,-8.24
2008,Texas,18.13
2008,Texas A&M,16.2
2008,Texas A&M-CC,-9.21
2008,Texas Southern,-20.91
2008,Texas State,-9.8
2008,Texas Tech,7.35
2008,Texas-Rio Grande Valley,-10.51
2008,The Citadel,-16.99
2008,Toledo,-5.58
2008,Towson,-7.1
2008,Troy,-7.03
2008,Tulane,0.41
2008,Tulsa,7.28
2008,UAB,8.35
2008,UAlbany,-4.05
2008,UC Davis,-15.02
2008,UC Irvine,-1.2
2008,UC Riverside,-10.73
2008,UC Santa Barbara,1.17
2008,UCF,5.61
2008,UCLA,21.71
2008,UConn,15.54
2008,UNC Asheville,-2.55
2008,UNC Greensboro,1.97
2008,UNC Wilmington,-1.89
2008,UNLV,10.23
2008,UT Arlington,-2.87
2008,UTEP,4.79
2008,UTSA,-10.43
2008,Utah,7.35
2008,Utah State,1.71
2008,VCU,6.57
2008,VMI,-9.48
2008,Valparaiso,2.35
2008,Vanderbilt,10.96
2008,Vermont,-4.17
2008,Villanova,11.0
2008,Virginia,7.6
2008,Virginia Tech,12.0
2008,Wagner,-7.01
2008,Wake Forest,9.29
2008,Washington,9.09
2008,Washington State,16.35
2008,Weber State,-3.92
2008,West Virginia,17.97
2008,Western Carolina,-8.16
2008,Western Illinois,-10.45
2008,Western Kentucky,9.34
2008,Western Michigan,3.2
2008,Wichita State,1.04
2008,William & Mary,-4.08
2008,Winthrop,3.61
2008,Wisconsin,19.59
2008,Wofford,-5.77
2008,Wright State,2.38
2008,Wyoming,-3.92
2008,Xavier,17.17
2008,Yale,-6.54
2008,Youngstown State,-5.76
2009,Air Force,-2.99
2009,Akron,3.37
2009,Alabama,5.49
2009,Alabama A&M,-19.72
2009,Alabama State,-6.13
2009,Alcorn State,-25.55
2009,American,-0.05
2009,Appalachian State,-8.44
2009,Arizona,11.88
2009,Arizona State,16.7
2009,Arkansas,3.79
2009,Arkansas State,-5.42
2009,Arkansas-Pine Bluff,-15.45
2009,Army,-10.11
2009,Auburn,9.93
2009,Austin Peay,-4.2
2009,BYU,15.12
2009,Ball State,-5.5
2009,Baylor,12.54
2009,Belmont,0.39
2009,Bethune-Cookman,-12.41
2009,Binghamton,-3.27
2009,Boise State,-0.95
2009,Boston College,10.36
2009,Boston University,-2.61
2009,Bowling Green,0.09
2009,Bradley,2.48
2009,Brown,-12.39
2009,Bucknell,-11.59
2009,Buffalo,1.44
2009,Butler,10.07
2009,Cal Poly,-8.32
2009,Cal State Fullerton,-4.2
2009,Cal State Northridge,2.65
2009,California,13.3
2009,Campbell,-7.97
2009,Canisius,-6.46
2009,Centenary (LA),-8.46
2009,Central Connecticut State,-10.35
2009,Central Michigan,-7.06
2009,Charleston Southern,-14.07
2009,Charlotte,0.79
2009,Chattanooga,-6.25
2009,Chicago State,-5.97
2009,Cincinnati,7.83
2009,Clemson,15.56
2009,Cleveland State,6.97
2009,Coastal Carolina,-11.74
2009,Colgate,-13.26
2009,College of Charleston,-1.33
2009,Colorado,-0.06
2009,Colorado State,-1.16
2009,Columbia,-9.92
2009,Coppin State,-9.56
2009,Cornell,2.71
2009,Creighton,8.69
2009,Dartmouth,-13.28
2009,Davidson,8.26
2009,Dayton,7.16
2009,DePaul,-1.21
2009,Delaware,-4.83
2009,Delaware State,-14.53
2009,Denver,-4.58
2009,Detroit Mercy,-8.08
2009,Drake,1.32
2009,Drexel,-0.8
2009,Duke,20.1
2009,Duquesne,6.04
2009,East Carolina,-3.0
2009,East Tennessee State,3.21
2009,Eastern Illinois,-9.18
2009,Eastern Kentucky,-2.82
2009,Eastern Michigan,-11.69
2009,Eastern Washington,-7.13
2009,Elon,-11.97
2009,Evansville,1.87
2009,FDU,-17.59
2009,Fairfield,-2.29
2009,Florida,12.83
2009,Florida A&M,-17.22
2009,Florida Atlantic,-9.68
2009,Florida International,-7.71
2009,Florida State,11.37
2009,Fordham,-14.14
2009,Fresno State,-4.11
