season,team,srs
2011,Binghamton,-13.81
2011,Boise State,5.48
2011,Boston College,9.78
2011,Boston University,-2.48
2011,Bowling Green,-5.94
2011,Bradley,-1.52
2011,Brown,-7.27
2011,Bryant,-12.98
2011,Bucknell,2.39
2011,Buffalo,2.93
2011,Butler,11.53
2011,Cal Poly,-1.84
2011,Cal State Bakersfield,-11.44
2011,Cal State Fullerton,-7.68
2011,Cal State Northridge,-5.35
2011,California,9.45
2011,Campbell,-6.67
2011,Canisius,-2.92
2011,Centenary (LA),-25.21
2011,Central Arkansas,-19.16
2011,Central Connecticut State,-1.94
2011,Central Michigan,-8.01
2011,Charleston Southern,-4.86
2011,Charlotte,-2.54
2011,Chattanooga,-9.44
2011,Chicago State,-27.71
2011,Cincinnati,15.41
2011,Clemson,13.76
2011,Cleveland State,7.59
2011,Coastal Carolina,2.35
2011,Colgate,-15.8
2011,College of Charleston,6.17
2011,Colorado,11.45
2011,Colorado State,7.49
2011,Columbia,-5.22
2011,Coppin State,-8.7
2011,Cornell,-3.6
2011,Creighton,4.87
2011,Dartmouth,-14.86
2011,Davidson,-0.39
2011,Dayton,4.87
2011,DePaul,-1.31
2011,Delaware,-3.79
2011,Delaware State,-12.18
2011,Denver,-4.04
2011,Detroit Mercy,1.88
2011,Drake,-2.56
2011,Drexel,4.02
2011,Duke,24.51
2011,Duquesne,10.33
2011,East Carolina,1.67
2011,East Tennessee State,2.08
2011,Eastern Illinois,-11.41
2011,Eastern Kentucky,-7.34
2011,Eastern Michigan,-9.11
2011,Eastern Washington,-8.5
2011,Elon,-6.54
2011,Evansville,-0.3
2011,FDU,-13.34
2011,Fairfield,2.94
2011,Florida,16.27
2011,Florida A&M,-16.82
2011,Florida Atlantic,-2.41
2011,Florida Gulf Coast,-10.27
2011,Florida International,-9.33
2011,Florida State,13.48
2011,Fordham,-8.77
2011,Fresno State,-0.25
2011,Furman,-0.36
2011,Gardner-Webb,-9.22
2011,George Mason,11.66
2011,George Washington,-0.1
2011,Georgetown,14.61
2011,Georgia,10.43
2011,Georgia Southern,-15.88
2011,Georgia State,-4.15
2011,Georgia Tech,6.42
2011,Gonzaga,13.86
2011,Grambling,-18.45
2011,Green Bay,-0.21
2011,Hampton,-5.2
2011,Hartford,-10.04
2011,Harvard,4.88
2011,Hawaii,0.51
2011,High Point,-12.82
2011,Hofstra,-0.03
2011,Holy Cross,-6.38
2011,Houston,-2.71
2011,Houston Christian,-18.41
2011,Howard,-18.8
2011,IU Indy,0.39
2011,Idaho,0.2
2011,Idaho State,-10.76
2011,Illinois,16.72
2011,Illinois State,-3.37
2011,Illinois-Chicago,-6.32
2011,Indiana,9.03
2011,Indiana State,3.41
2011,Iona,7.01
2011,Iowa,7.95
2011,Iowa State,8.86
2011,Jackson State,-10.43
2011,Jacksonville,-1.42
2011,Jacksonville State,-11.16
2011,James Madison,2.94
2011,Kansas,24.1
2011,Kansas City,-8.91
2011,Kansas State,14.59
2011,Kennesaw State,-14.06
2011,Kent State,3.65
2011,Kentucky,20.3
2011,LIU,2.23
2011,LSU,-2.09
2011,La Salle,-0.08
2011,Lafayette,-7.26
2011,Lamar,-6.69
2011,Lehigh,-4.07
2011,Liberty,-5.62
2011,Lipscomb,-0.96
2011,Little Rock,-4.32
2011,Long Beach State,3.78
2011,Longwood,-16.02
2011,Louisiana,-5.45
2011,Louisiana Tech,-5.99
2011,Louisiana-Monroe,-14.27
2011,Louisville,18.6
2011,Loyola Chicago,1.73
2011,Loyola Maryland,-3.28
2011,Loyola Marymount,-2.79
2011,Maine,-4.87
2011,Manhattan,-11.66
2011,Marist,-13.7
2011,Marquette,14.89
2011,Marshall,6.32
2011,Maryland,15.0
2011,Maryland-Baltimore County,-18.47
2011,Maryland-Eastern Shore,-19.35
2011,Massachusetts,-0.76
2011,McNeese,-4.7
2011,Memphis,6.91
2011,Mercer,-4.08
2011,Miami,10.47
2011,Miami (OH),-1.58
2011,Michigan,14.21
2011,Michigan State,13.7
2011,Middle Tennessee,-2.74
2011,Milwaukee,1.48
2011,Minnesota,11.75
2011,Mississippi State,3.38
2011,Mississippi Valley State,-13.95
2011,Missouri,14.77
2011,Missouri State,8.07
2011,Monmouth,-9.67
2011,Montana,2.17
2011,Montana State,-7.01
2011,Morehead State,2.81
2011,Morgan State,-8.04
2011,Mount St. Mary's,-9.22
2011,Murray State,0.45
2011,NC State,7.02
2011,NJIT,-13.18
2011,Navy,-10.66
2011,Nebraska,10.54
2011,Nevada,0.34
2011,New Hampshire,-10.07
2011,New Mexico,11.72
2011,New Mexico State,2.11
2011,Niagara,-11.89
2011,Nicholls State,-5.72
2011,Norfolk State,-12.2
2011,North Carolina,18.87
2011,North Carolina A&T,-12.06
2011,North Carolina Central,-13.03
2011,North Dakota,-11.83
2011,North Dakota State,-1.54
2011,North Florida,-6.25
2011,North Texas,-1.49
2011,Northeastern,-2.67
2011,Northern Arizona,0.62
2011,Northern Colorado,1.39
2011,Northern Illinois,-8.05
2011,Northern Iowa,4.53
2011,Northwestern,11.66
2011,Northwestern State,-8.88
2011,Notre Dame,18.17
2011,Oakland,8.28
2011,Ohio,0.59
2011,Ohio State,25.84
2011,Oklahoma,3.71
2011,Oklahoma State,8.53
2011,Old Dominion,9.03
2011,Ole Miss,8.71
2011,Oral Roberts,0.86
2011,Oregon,6.92
2011,Oregon State,1.51
2011,Pacific,0.75
2011,Penn State,11.98
2011,Pennsylvania,-2.99
2011,Pepperdine,-3.91
2011,Pittsburgh,20.82
2011,Portland,4.7
2011,Portland State,-7.74
2011,Prairie View A&M,-19.63
2011,Presbyterian,-7.72
2011,Princeton,3.71
2011,Providence,6.91
2011,Purdue,19.36
2011,Purdue Fort Wayne,-2.17
2011,Quinnipiac,-2.08
2011,Radford,-16.76
2011,Rhode Island,3.34
2011,Rice,1.67
2011,Richmond,11.23
2011,Rider,1.62
2011,Robert Morris,-0.8
2011,Rutgers,7.88
2011,SIU Edwardsville,-22.39
2011,SMU,1.04
2011,Sacramento State,-14.01
2011,Sacred Heart,-9.4
2011,Saint Francis (PA),-11.5
2011,Saint Joseph's,-1.75
2011,Saint Louis,2.83
2011,Saint Mary's,13.04
2011,Saint Peter's,-0.28
2011,Sam Houston,-2.38
2011,Samford,-11.39
2011,San Diego,-8.6
2011,San Diego State,17.96
2011,San Francisco,1.78
2011,San Jose State,-1.54
2011,Santa Clara,3.06
2011,Savannah State,-9.06
2011,Seattle,-9.26
2011,Seton Hall,11.03
2011,Siena,-3.83
2011,South Alabama,-9.8
2011,South Carolina,4.17
2011,South Carolina State,-16.71
2011,South Carolina Upstate,-12.44
2011,South Dakota,-9.72
2011,South Dakota State,3.1
2011,South Florida,4.28
2011,Southeast Missouri State,-12.27
2011,Southeastern Louisiana,-8.93
2011,Southern,-25.62
2011,Southern California,11.52
2011,Southern Illinois,-2.46
2011,Southern Mississippi,8.41
2011,Southern Utah,-7.8
2011,St. Bonaventure,1.31
2011,St. Francis (NY),-5.45
2011,St. John's,13.1
2011,Stanford,6.4
2011,Stephen F. Austin,-3.29
2011,Stetson,-10.73
2011,Stony Brook,-6.85
2011,Syracuse,18.85
2011,TCU,0.96
2011,Temple,12.35
2011,Tennessee,11.08
2011,Tennessee State,-7.12
2011,Tennessee Tech,-5.64
2011,Tennessee-Martin,-12.77
2011,Texas,20.82
2011,Texas A&M,12.62
2011,Texas A&M-CC,-12.31
2011,Texas Southern,-10.14
2011,Texas State,-7.65
2011,Texas Tech,4.02
2011,Texas-Rio Grande Valley,-16.55
2011,The Citadel,-9.84
2011,Toledo,-14.75
2011,Towson,-8.06
2011,Troy,-9.48
2011,Tulane,-0.28
2011,Tulsa,6.06
2011,UAB,8.55
2011,UAlbany,-7.05
2011,UC Davis,-5.69
2011,UC Irvine,-3.78
2011,UC Riverside,-8.26
2011,UC Santa Barbara,1.22
2011,UCF,6.25
2011,UCLA,11.7
2011,UConn,17.95
2011,UNC Asheville,-0.69
2011,UNC Greensboro,-9.95
2011,UNC Wilmington,-3.41
2011,UNLV,14.67
2011,UT Arlington,-7.59
2011,UTEP,8.83
2011,UTSA,-5.8
2011,Utah,2.46
2011,Utah State,13.23
2011,Utah Valley,-7.78
2011,VCU,8.56
2011,VMI,-4.23
2011,Valparaiso,4.24
2011,Vanderbilt,15.1
2011,Vermont,0.14
2011,Villanova,15.05
2011,Virginia,6.01
2011,Virginia Tech,13.84
2011,Wagner,-6.54
2011,Wake Forest,-4.43
2011,Washington,20.12
2011,Washington State,12.27
2011,Weber State,-1.64
2011,West Virginia,16.15
2011,Western Carolina,-3.54
2011,Western Illinois,-15.14
2011,Western Kentucky,-3.8
2011,Western Michigan,-0.7
2011,Wichita State,12.57
2011,William & Mary,-4.38
2011,Winthrop,-5.38
2011,Wisconsin,18.77
2011,Wofford,4.35
2011,Wright State,3.22
2011,Wyoming,-3.16
2011,Xavier,11.88
2011,Yale,-2.91
2011,Youngstown State,-6.4
2012,Air Force,-0.45
2012,Akron,6.33
2012,Alabama,13.76
2012,Alabama A&M,-19.33
2012,Alabama State,-15.79
2012,Alcorn State,-19.57
2012,American,-3.12
2012,Appalachian State,-6.93
2012,Arizona,10.91
2012,Arizona State,-1.01
2012,Arkansas,5.76
2012,Arkansas State,-3.18
2012,Arkansas-Pine Bluff,-16.77
2012,Army,-11.26
2012,Auburn,2.52
2012,Austin Peay,-4.86
2012,BYU,11.25
2012,Ball State,-2.93
2012,Baylor,16.54
2012,Belmont,11.81
2012,Bethune-Cookman,-9.11
2012,Binghamton,-20.14
2012,Boise State,3.52
2012,Boston College,-4.54
2012,Boston University,-3.74
2012,Bowling Green,1.23
2012,Bradley,-5.79
2012,Brown,-12.52
2012,Bryant,-17.9
2012,Bucknell,3.57
2012,Buffalo,4.15
2012,Butler,2.86
2012,Cal Poly,-0.58
2012,Cal State Bakersfield,-7.15
2012,Cal State Fullerton,-1.18
2012,Cal State Northridge,-12.65
2012,California,13.79
2012,Campbell,-6.06
2012,Canisius,-14.73
2012,Central Arkansas,-17.26
2012,Central Connecticut State,-5.36
2012,Central Michigan,-6.74
2012,Charleston Southern,-2.19
2012,Charlotte,0.99
2012,Chattanooga,-6.99
2012,Chicago State,-19.3
2012,Cincinnati,12.93
2012,Clemson,7.31
2012,Cleveland State,5.27
2012,Coastal Carolina,-2.64
2012,Colgate,-14.91
2012,College of Charleston,-0.16
2012,Colorado,7.91
2012,Colorado State,6.58
2012,Columbia,-2.9
2012,Coppin State,-9.07
2012,Cornell,-4.05
2012,Creighton,12.92
2012,Dartmouth,-10.07
2012,Davidson,7.26
2012,Dayton,8.48
2012,DePaul,1.99
2012,Delaware,-1.61
2012,Delaware State,-8.07
2012,Denver,6.14
2012,Detroit Mercy,2.4
2012,Drake,2.44
2012,Drexel,7.37
2012,Duke,17.05
2012,Duquesne,4.09
2012,East Carolina,2.42
2012,East Tennessee State,-0.41
2012,Eastern Illinois,-11.48
2012,Eastern Kentucky,-8.47
2012,Eastern Michigan,-7.9
2012,Eastern Washington,-3.87
2012,Elon,-7.41
2012,Evansville,3.46
2012,FDU,-16.99
2012,Fairfield,2.94
2012,Florida,18.25
2012,Florida A&M,-15.58
2012,Florida Atlantic,-2.58
2012,Florida Gulf Coast,-2.41
2012,Florida International,-5.07
2012,Florida State,14.53
2012,Fordham,-7.63
2012,Fresno State,-0.91
2012,Furman,-6.04
2012,Gardner-Webb,-7.99
2012,George Mason,3.81
2012,George Washington,-0.63
2012,Georgetown,16.81
2012,Georgia,5.92
2012,Georgia Southern,-6.7
2012,Georgia State,5.69
2012,Georgia Tech,1.74
2012,Gonzaga,13.86
2012,Grambling,-26.82
2012,Green Bay,-2.32
2012,Hampton,-10.08
2012,Hartford,-13.41
2012,Harvard,7.84
2012,Hawaii,-2.79
2012,High Point,-5.92
2012,Hofstra,-2.98
2012,Holy Cross,-6.02
2012,Houston,0.04
2012,Houston Christian,-16.07
2012,Howard,-14.59
2012,IU Indy,-3.85
2012,Idaho,0.77
2012,Idaho State,-11.05
2012,Illinois,9.33
2012,Illinois State,6.33
2012,Illinois-Chicago,-9.16
2012,Indiana,18.63
2012,Indiana State,2.08
2012,Iona,8.36
2012,Iowa,7.04
2012,Iowa State,13.32
2012,Jackson State,-17.5
2012,Jacksonville,-7.3
2012,Jacksonville State,-4.86
2012,James Madison,-5.86
2012,Kansas,21.72
2012,Kansas City,-8.82
2012,Kansas State,14.47
2012,Kennesaw State,-15.02
2012,Kent State,2.77
2012,Kentucky,24.73
2012,LIU,-1.34
2012,LSU,6.66
2012,La Salle,8.56
2012,Lafayette,-7.2
2012,Lamar,2.41
2012,Lehigh,4.27
2012,Liberty,-9.67
2012,Lipscomb,-4.7
2012,Little Rock,-1.94
2012,Long Beach State,9.52
2012,Longwood,-20.47
2012,Louisiana,-3.25
2012,Louisiana Tech,-2.65
2012,Louisiana-Monroe,-12.56
2012,Louisville,16.19
2012,Loyola Chicago,-8.43
2012,Loyola Maryland,0.37
2012,Loyola Marymount,2.2
2012,Maine,-8.57
2012,Manhattan,1.46
2012,Marist,-8.2
2012,Marquette,16.92
2012,Marshall,7.0
2012,Maryland,3.95
2012,Maryland-Baltimore County,-19.85
2012,Maryland-Eastern Shore,-16.79
2012,Massachusetts,7.49
2012,McNeese,-6.26
2012,Memphis,16.86
2012,Mercer,3.75
2012,Miami,10.75
2012,Miami (OH),-2.07
2012,Michigan,13.19
2012,Michigan State,21.32
2012,Middle Tennessee,8.69
2012,Milwaukee,0.53
2012,Minnesota,10.7
2012,Mississippi State,9.13
2012,Mississippi Valley State,-8.03
2012,Missouri,19.77
2012,Missouri State,6.15
2012,Monmouth,-11.93
2012,Montana,4.55
2012,Montana State,-10.29
2012,Morehead State,-4.99
2012,Morgan State,-8.41
2012,Mount St. Mary's,-11.72
2012,Murray State,8.74
2012,NC State,12.1
2012,NJIT,-12.09
2012,Navy,-14.6
2012,Nebraska,3.52
2012,Nevada,4.54
2012,New Hampshire,-10.09
2012,New Mexico,15.6
2012,New Mexico State,8.73
2012,Niagara,-6.67
2012,Nicholls State,-18.55
2012,Norfolk State,-3.68
2012,North Carolina,21.34
2012,North Carolina A&T,-12.34
2012,North Carolina Central,-6.12
2012,North Dakota,-8.76
2012,North Dakota State,0.01
2012,North Florida,-3.44
2012,North Texas,-0.39
2012,Northeastern,-3.27
2012,Northern Arizona,-16.72
2012,Northern Colorado,-6.23
2012,Northern Illinois,-15.62
2012,Northern Iowa,6.99
2012,Northwestern,8.87
2012,Northwestern State,-6.29
2012,Notre Dame,11.18
2012,Oakland,0.29
2012,Ohio,7.17
2012,Ohio State,23.95
2012,Oklahoma,7.28
2012,Oklahoma State,7.02
2012,Old Dominion,4.08
2012,Ole Miss,6.53
2012,Oral Roberts,5.24
2012,Oregon,10.19
2012,Oregon State,8.84
2012,Pacific,-8.04
2012,Penn State,3.72
2012,Pennsylvania,1.12
2012,Pepperdine,-7.4
2012,Pittsburgh,9.43
2012,Portland,-7.88
2012,Portland State,-4.04
2012,Prairie View A&M,-16.87
2012,Presbyterian,-6.76
2012,Princeton,2.57
2012,Providence,4.16
2012,Purdue,13.88
2012,Purdue Fort Wayne,-8.79
2012,Quinnipiac,-2.01
2012,Radford,-13.14
2012,Rhode Island,-3.78
2012,Rice,1.42
2012,Richmond,4.71
2012,Rider,-5.4
2012,Robert Morris,0.67
2012,Rutgers,5.42
2012,SIU Edwardsville,-13.3
2012,SMU,-1.26
2012,Sacramento State,-9.67
2012,Sacred Heart,-6.87
2012,Saint Francis (PA),-13.18
2012,Saint Joseph's,8.25
2012,Saint Louis,15.15
2012,Saint Mary's,11.26
2012,Saint Peter's,-13.37
2012,Sam Houston,-9.09
2012,Samford,-8.68
2012,San Diego,-3.76
2012,San Diego State,9.04
2012,San Francisco,1.9
2012,San Jose State,-7.86
2012,Santa Clara,-6.79
2012,Savannah State,-3.59
2012,Seattle,-4.18
2012,Seton Hall,10.23
2012,Siena,-5.71
2012,South Alabama,-2.81
2012,South Carolina,2.65
2012,South Carolina State,-20.8
2012,South Carolina Upstate,-0.16
2012,South Dakota,-9.56
2012,South Dakota State,7.34
2012,South Florida,9.2
2012,Southeast Missouri State,-6.12
2012,Southeastern Louisiana,-11.94
2012,Southern,-16.17
2012,Southern California,-0.51
2012,Southern Illinois,-3.51
2012,Southern Mississippi,7.79
2012,Southern Utah,-6.22
2012,St. Bonaventure,8.25
2012,St. Francis (NY),-6.02
2012,St. John's,2.63
2012,Stanford,12.64
2012,Stephen F. Austin,-1.46
2012,Stetson,-7.48
2012,Stony Brook,-0.45
2012,Syracuse,21.12
2012,TCU,1.72
2012,Temple,10.44
2012,Tennessee,9.49
2012,Tennessee State,-3.06
2012,Tennessee Tech,-3.81
2012,Tennessee-Martin,-17.09
2012,Texas,14.0
2012,Texas A&M,5.57
2012,Texas A&M-CC,-12.21
2012,Texas Southern,-10.26
2012,Texas State,-8.66
2012,Texas Tech,-2.61
2012,Texas-Rio Grande Valley,-13.66
2012,The Citadel,-14.49
2012,Toledo,-3.35
2012,Towson,-16.71
2012,Troy,-7.48
2012,Tulane,-0.12
2012,Tulsa,5.82
2012,UAB,2.61
2012,UAlbany,-3.92
2012,UC Davis,-15.6
2012,UC Irvine,-6.07
2012,UC Riverside,-8.01
2012,UC Santa Barbara,4.0
2012,UCF,4.33
2012,UCLA,10.53
2012,UConn,12.27
2012,UNC Asheville,3.06
2012,UNC Greensboro,-9.67
2012,UNC Wilmington,-5.5
2012,UNLV,13.55
2012,UT Arlington,3.35
2012,UTEP,2.92
2012,UTSA,-1.83
2012,Utah,-9.31
2012,Utah State,3.49
2012,Utah Valley,-6.53
2012,VCU,8.79
2012,VMI,-9.43
2012,Valparaiso,0.61
2012,Vanderbilt,15.71
2012,Vermont,0.98
2012,Villanova,7.89
2012,Virginia,12.51
2012,Virginia Tech,8.93
2012,Wagner,3.6
2012,Wake Forest,-0.75
2012,Washington,10.79
2012,Washington State,6.17
2012,Weber State,1.51
2012,West Virginia,12.13
2012,Western Carolina,-6.57
2012,Western Illinois,-2.84
2012,Western Kentucky,-2.66
2012,Western Michigan,-1.8
2012,Wichita State,17.42
2012,William & Mary,-10.79
2012,Winthrop,-7.64
2012,Wisconsin,19.04
2012,Wofford,-3.62
2012,Wright State,-4.07
2012,Wyoming,6.79
2012,Xavier,9.59
2012,Yale,-1.37
2012,Youngstown State,-1.78
2013,Air Force,4.06
2013,Akron,8.12
2013,Alabama,9.82
2013,Alabama A&M,-18.41
2013,Alabama State,-17.9
2013,Alcorn State,-14.27
2013,American,-8.55
2013,Appalachian State,-7.88
2013,Arizona,17.31
2013,Arizona State,8.82
2013,Arkansas,9.83
2013,Arkansas State,0.79
2013,Arkansas-Pine Bluff,-12.21
2013,Army,-1.48
2013,Auburn,0.23
2013,Austin Peay,-12.31
2013,BYU,10.63
2013,Ball State,-6.7
2013,Baylor,15.07
2013,Belmont,10.41
2013,Bethune-Cookman,-9.51
2013,Binghamton,-18.51
2013,Boise State,9.38
2013,Boston College,6.11
2013,Boston University,-0.58
2013,Bowling Green,-3.32
2013,Bradley,1.25
2013,Brown,-6.32
2013,Bryant,-2.07
2013,Bucknell,6.96
2013,Buffalo,-1.94
2013,Butler,11.01
2013,Cal Poly,-0.77
2013,Cal State Bakersfield,-6.49
2013,Cal State Fullerton,-3.27
2013,Cal State Northridge,-4.18
2013,California,10.59
2013,Campbell,-10.23
2013,Canisius,2.38
2013,Central Arkansas,-10.89
2013,Central Connecticut State,-8.23
2013,Central Michigan,-6.15
2013,Charleston Southern,-1.92
2013,Charlotte,2.72
2013,Chattanooga,-10.43
2013,Chicago State,-11.79
2013,Cincinnati,14.47
2013,Clemson,5.85
2013,Cleveland State,-7.33
2013,Coastal Carolina,-5.56
2013,Colgate,-8.72
2013,College of Charleston,0.2
2013,Colorado,11.91
2013,Colorado State,13.6
2013,Columbia,-3.24
2013,Coppin State,-12.64
2013,Cornell,-7.25
2013,Creighton,16.43
2013,Dartmouth,-9.2
2013,Davidson,7.3
2013,Dayton,9.37
2013,DePaul,1.71
2013,Delaware,-0.76
2013,Delaware State,-11.18
2013,Denver,9.18
2013,Detroit Mercy,6.72
2013,Drake,3.42
2013,Drexel,-1.06
2013,Duke,21.46
2013,Duquesne,-4.52
2013,East Carolina,2.57
2013,East Tennessee State,-11.53
2013,Eastern Illinois,-8.92
2013,Eastern Kentucky,1.7
2013,Eastern Michigan,-6.25
2013,Eastern Washington,-10.87
2013,Elon,-3.55
2013,Evansville,5.26
2013,FDU,-17.99
2013,Fairfield,-0.53
2013,Florida,23.88
2013,Florida A&M,-16.11
2013,Florida Atlantic,-5.84
2013,Florida Gulf Coast,3.01
2013,Florida International,-2.05
2013,Florida State,5.71
2013,Fordham,-6.88
2013,Fresno State,3.19
2013,Furman,-17.42
2013,Gardner-Webb,-3.17
2013,George Mason,2.03
2013,George Washington,4.24
2013,Georgetown,15.86
2013,Georgia,5.39
2013,Georgia Southern,-9.62
2013,Georgia State,-2.01
2013,Georgia Tech,6.62
2013,Gonzaga,20.44
2013,Grambling,-35.87
2013,Green Bay,1.66
2013,Hampton,-9.32
2013,Hartford,-5.83
2013,Harvard,3.96
2013,Hawaii,-3.37
2013,High Point,-4.64
2013,Hofstra,-10.74
2013,Holy Cross,-6.12
2013,Houston,-0.3
2013,Houston Christian,-15.25
2013,Howard,-14.41
2013,IU Indy,-15.92
2013,Idaho,-2.23
2013,Idaho State,-13.08
2013,Illinois,13.18
2013,Illinois State,9.61
2013,Illinois-Chicago,-1.79
2013,Indiana,24.92
2013,Indiana State,5.08
2013,Iona,4.06
2013,Iowa,14.22
2013,Iowa State,14.5
2013,Jackson State,-14.82
2013,Jacksonville,-10.2
2013,Jacksonville State,-4.47
2013,James Madison,-1.67
2013,Kansas,20.79
2013,Kansas City,-13.61
2013,Kansas State,13.54
2013,Kennesaw State,-15.13
2013,Kent State,2.38
2013,Kentucky,13.96
2013,LIU,-3.19
2013,LSU,5.82
2013,La Salle,10.15
2013,Lafayette,-2.99
2013,Lamar,-20.56
2013,Lehigh,3.96
2013,Liberty,-9.11
2013,Lipscomb,-11.41
2013,Little Rock,-4.34
2013,Long Beach State,-1.48
2013,Longwood,-19.32
2013,Louisiana,-4.9
2013,Louisiana Tech,5.47
2013,Louisiana-Monroe,-13.95
2013,Louisville,24.82
2013,Loyola Chicago,-1.02
2013,Loyola Maryland,1.35
2013,Loyola Marymount,-3.1
2013,Maine,-9.55
2013,Manhattan,-1.96
2013,Marist,-6.33
2013,Marquette,14.05
2013,Marshall,-3.61
2013,Maryland,11.39
2013,Maryland-Baltimore County,-12.48
2013,Maryland-Eastern Shore,-19.66
2013,Massachusetts,5.84
2013,McNeese,-11.5
2013,Memphis,12.28
2013,Mercer,0.94
2013,Miami,16.98
2013,Miami (OH),-6.62
2013,Michigan,21.29
2013,Michigan State,18.63
2013,Middle Tennessee,11.18
2013,Milwaukee,-10.31
2013,Minnesota,16.84
2013,Mississippi State,-4.52
2013,Mississippi Valley State,-19.14
2013,Missouri,15.42
2013,Missouri State,-2.8
2013,Monmouth,-12.01
2013,Montana,-1.19
2013,Montana State,-11.0
2013,Morehead State,-5.34
2013,Morgan State,-5.38
2013,Mount St. Mary's,-5.83
2013,Murray State,1.25
2013,NC State,14.34
2013,NJIT,-8.34
2013,Navy,-11.29
2013,Nebraska,4.4
2013,Nevada,0.35
2013,New Hampshire,-8.24
2013,New Mexico,13.24
2013,New Mexico State,5.09
2013,New Orleans,-21.28
2013,Niagara,0.59
2013,Nicholls State,-10.56
2013,Norfolk State,-5.76
2013,North Carolina,14.57
2013,North Carolina A&T,-6.93
2013,North Carolina Central,-2.22
2013,North Dakota,-8.66
2013,North Dakota State,5.21
2013,North Florida,-7.09
2013,North Texas,-6.38
2013,Northeastern,-1.34
2013,Northern Arizona,-12.15
2013,Northern Colorado,-7.76
2013,Northern Illinois,-12.0
2013,Northern Iowa,8.58
2013,Northern Kentucky,-7.55
2013,Northwestern,5.36
2013,Northwestern State,0.39
2013,Notre Dame,13.76
2013,Oakland,-4.38
2013,Ohio,6.95
2013,Ohio State,20.19
2013,Oklahoma,11.4
2013,Oklahoma State,15.57
2013,Old Dominion,-7.56
2013,Ole Miss,14.44
2013,Omaha,-15.19
2013,Oral Roberts,-0.27
2013,Oregon,13.78
2013,Oregon State,6.01
2013,Pacific,1.67
2013,Penn State,2.86
2013,Pennsylvania,-6.95
2013,Pepperdine,-3.85
2013,Pittsburgh,18.84
2013,Portland,-5.82
2013,Portland State,-10.94
2013,Prairie View A&M,-15.63
2013,Presbyterian,-17.43
2013,Princeton,3.17
2013,Providence,9.3
2013,Purdue,9.04
2013,Purdue Fort Wayne,-6.99
2013,Quinnipiac,-4.74
2013,Radford,-10.83
2013,Rhode Island,-0.58
2013,Rice,-11.13
2013,Richmond,6.92
2013,Rider,-1.19
2013,Robert Morris,0.25
2013,Rutgers,5.98
2013,SIU Edwardsville,-11.17
2013,SMU,-0.59
2013,Sacramento State,-9.5
2013,Sacred Heart,-9.75
2013,Saint Francis (PA),-15.15
2013,Saint Joseph's,7.33
2013,Saint Louis,14.35
2013,Saint Mary's,14.46
2013,Saint Peter's,-9.04
2013,Sam Houston,-6.48
2013,Samford,-10.02
2013,San Diego,-0.6
2013,San Diego State,12.95
2013,San Francisco,2.44
2013,San Jose State,-9.43
2013,Santa Clara,6.54
2013,Savannah State,-5.4
2013,Seattle,-4.56
2013,Seton Hall,5.55
2013,Siena,-10.23
2013,South Alabama,-2.88
2013,South Carolina,-0.68
2013,South Carolina State,-18.14
2013,South Carolina Upstate,-3.33
2013,South Dakota,-7.5
2013,South Dakota State,2.35
2013,South Florida,4.31
2013,Southeast Missouri State,-5.49
2013,Southeastern Louisiana,-10.67
2013,Southern,-2.62
2013,Southern California,6.26
2013,Southern Illinois,-0.84
2013,Southern Mississippi,8.95
2013,Southern Utah,-12.14
2013,St. Bonaventure,3.45
2013,St. Francis (NY),-5.91
2013,St. John's,5.82
2013,Stanford,11.36
2013,Stephen F. Austin,4.23
2013,Stetson,-6.13
2013,Stony Brook,5.61
2013,Syracuse,20.3
2013,TCU,-4.28
2013,Temple,9.54
2013,Tennessee,9.04
2013,Tennessee State,-2.14
2013,Tennessee Tech,-9.58
2013,Tennessee-Martin,-16.54
2013,Texas,6.84
2013,Texas A&M,6.51
2013,Texas A&M-CC,-11.78
2013,Texas Southern,-2.12
2013,Texas State,-6.39
2013,Texas Tech,-3.1
2013,Texas-Rio Grande Valley,-13.37
2013,The Citadel,-16.96
2013,Toledo,-2.42
2013,Towson,-1.89
2013,Troy,-8.75
2013,Tulane,1.87
2013,Tulsa,-1.06
2013,UAB,0.27
2013,UAlbany,-0.86
2013,UC Davis,-3.8
2013,UC Irvine,-0.15
2013,UC Riverside,-11.81
2013,UC Santa Barbara,-4.53
2013,UCF,3.46
2013,UCLA,12.82
2013,UConn,11.89
2013,UNC Asheville,-3.63
2013,UNC Greensboro,-9.38
2013,UNC Wilmington,-10.07
2013,UNLV,12.81
2013,UT Arlington,0.55
2013,UTEP,4.62
2013,UTSA,-6.48
2013,Utah,4.7
2013,Utah State,3.75
2013,Utah Valley,-11.39
2013,VCU,16.97
2013,VMI,-11.36
2013,Valparaiso,7.15
2013,Vanderbilt,6.26
2013,Vermont,-0.12
2013,Villanova,10.75
2013,Virginia,12.91
2013,Virginia Tech,1.8
2013,Wagner,-3.22
2013,Wake Forest,3.44
2013,Washington,7.88
2013,Washington State,6.65
2013,Weber State,5.78
2013,West Virginia,4.61
2013,Western Carolina,-6.42
2013,Western Illinois,-1.87
2013,Western Kentucky,-0.63
2013,Western Michigan,0.42
2013,Wichita State,14.68
2013,William & Mary,-4.01
2013,Winthrop,-8.57
2013,Wisconsin,18.76
2013,Wofford,-6.71
