team,srs,season
Michigan,32.48,2026
Duke,31.55,2026
Arizona,29.92,2026
Florida,27.9,2026
Iowa State,27.15,2026
Illinois,26.45,2026
Houston,26.23,2026
Purdue,25.64,2026
Gonzaga,25.11,2026
Michigan State,23.44,2026
Louisville,23.41,2026
Connecticut,22.92,2026
Vanderbilt,22.83,2026
Alabama,22.7,2026
Arkansas,22.43,2026
St. John's (NY),22.42,2026
Tennessee,22.08,2026
Texas Tech,21.95,2026
Virginia,21.6,2026
Nebraska,21.54,2026
Kansas,21.1,2026
Brigham Young,21.04,2026
Kentucky,19.8,2026
Georgia,19.57,2026
Wisconsin,19.52,2026
North Carolina,19.39,2026
Ohio State,19.06,2026
Iowa,19.0,2026
UCLA,18.28,2026
Miami (FL),18.04,2026
NC State,18.02,2026
Saint Mary's,17.87,2026
Utah State,17.36,2026
Saint Louis,17.27,2026
Southern Methodist,17.27,2026
Auburn,17.02,2026
Clemson,16.99,2026
Texas A&M,16.76,2026
Indiana,16.7,2026
Villanova,16.3,2026
Texas,16.17,2026
Santa Clara,15.88,2026
Texas Christian,15.75,2026
Cincinnati,15.5,2026
Baylor,15.33,2026
Oklahoma,15.02,2026
Washington,14.17,2026
San Diego State,13.62,2026
New Mexico,13.52,2026
Seton Hall,13.45,2026
UCF,13.3,2026
South Florida,13.29,2026
Virginia Tech,13.28,2026
Virginia Commonwealth,13.19,2026
Missouri,13.08,2026
West Virginia,12.8,2026
Louisiana State,12.69,2026
Northwestern,12.61,2026
Wake Forest,12.57,2026
Stanford,12.55,2026
Boise State,12.04,2026
Oklahoma State,11.93,2026
California,11.67,2026
Florida State,11.66,2026
Tulsa,11.14,2026
Mississippi,11.13,2026
Grand Canyon,11.03,2026
Colorado,10.89,2026
Providence,10.84,2026
Arizona State,10.79,2026
Southern California,10.58,2026
Creighton,10.57,2026
Butler,10.47,2026
Minnesota,10.45,2026
Syracuse,10.28,2026
Nevada,10.17,2026
Georgetown,9.22,2026
Marquette,9.22,2026
George Washington,9.05,2026
Notre Dame,9.05,2026
Akron,9.04,2026
Belmont,8.95,2026
Oregon,8.95,2026
Dayton,8.85,2026
Wichita State,8.72,2026
Kansas State,8.58,2026
Pittsburgh,8.58,2026
Colorado State,8.56,2026
Northern Iowa,8.49,2026
Xavier,7.87,2026
McNeese,7.74,2026
South Carolina,7.62,2026
Wyoming,7.55,2026
DePaul,7.45,2026
Mississippi State,7.27,2026
High Point,6.76,2026
George Mason,6.45,2026
Illinois State,6.3,2026
Utah,6.19,2026
Yale,6.13,2026
Nevada-Las Vegas,5.63,2026
Miami (OH),5.37,2026
Utah Valley,5.36,2026
Rutgers,4.91,2026
Hawaii,4.85,2026
Maryland,4.8,2026
Hofstra,4.48,2026
Seattle,4.42,2026
San Francisco,4.39,2026
Pacific,4.34,2026
Davidson,4.27,2026
Stephen F. Austin,4.06,2026
Penn State,3.98,2026
Memphis,3.95,2026
Murray State,3.9,2026
Bradley,3.83,2026
Illinois-Chicago,3.81,2026
Florida Atlantic,3.77,2026
UC Irvine,3.65,2026
Sam Houston,3.57,2026
UAB,3.56,2026
Fresno State,3.5,2026
Washington State,3.49,2026
Boston College,3.39,2026
Duquesne,3.38,2026
St. Thomas,3.27,2026
Georgia Tech,3.1,2026
Southern Illinois,3.09,2026
Saint Joseph's,2.65,2026
California Baptist,2.52,2026
North Dakota State,2.5,2026
UNC Wilmington,2.5,2026
Liberty,2.47,2026
Rhode Island,2.43,2026
St. Bonaventure,2.4,2026
UC San Diego,2.32,2026
Richmond,2.26,2026
North Texas,2.08,2026
UC Santa Barbara,1.15,2026
Montana State,1.09,2026
Loyola Marymount,1.08,2026
Temple,1.04,2026
Texas-Rio Grande Valley,0.93,2026
Oregon State,0.78,2026
Toledo,0.78,2026
Bowling Green,0.47,2026
Western Kentucky,0.47,2026
Northern Colorado,0.3,2026
Fordham,0.25,2026
Middle Tennessee,0.23,2026
Kennesaw State,0.13,2026
Wright State,0.12,2026
Portland State,0.06,2026
Valparaiso,-0.03,2026
Idaho,-0.05,2026
William & Mary,-0.06,2026
Kent State,-0.1,2026
Charlotte,-0.2,2026
Pennsylvania,-0.5,2026
East Tennessee State,-0.64,2026
Winthrop,-0.64,2026
Arkansas State,-0.65,2026
Troy,-0.76,2026
Towson,-0.82,2026
Navy,-0.87,2026
Drake,-0.93,2026
UC Davis,-1.09,2026
College of Charleston,-1.17,2026
New Mexico State,-1.29,2026
Robert Morris,-1.29,2026
Central Arkansas,-1.34,2026
Oakland,-1.35,2026
Harvard,-1.61,2026
Cornell,-1.67,2026
UT Arlington,-1.74,2026
Cal State Fullerton,-1.75,2026
Florida International,-1.82,2026
Cal State Northridge,-1.96,2026
Eastern Washington,-1.98,2026
San Jose State,-1.99,2026
Portland,-2.08,2026
Monmouth,-2.11,2026
Massachusetts,-2.14,2026
Austin Peay,-2.25,2026
Montana,-2.33,2026
Northern Kentucky,-2.45,2026
Texas A&M-Corpus Christi,-2.48,2026
Tulane,-2.5,2026
Columbia,-2.56,2026
Missouri State,-2.67,2026
Indiana State,-2.7,2026
Weber State,-2.82,2026
Marshall,-2.83,2026
Campbell,-2.85,2026
Mercer,-2.87,2026
Louisiana Tech,-2.92,2026
South Dakota State,-3.09,2026
Furman,-3.24,2026
Queens (NC),-3.3,2026
Jacksonville State,-3.46,2026
San Diego,-3.48,2026
Buffalo,-3.52,2026
Utah Tech,-3.56,2026
Marist,-3.63,2026
Appalachian State,-3.77,2026
New Orleans,-3.96,2026
La Salle,-4.1,2026
Cal Poly,-4.17,2026
Lipscomb,-4.18,2026
Merrimack,-4.27,2026
Siena,-4.34,2026
South Alabama,-4.39,2026
Maryland-Baltimore County,-4.4,2026
Youngstown State,-4.44,2026
Rice,-4.48,2026
Tennessee State,-4.54,2026
Howard,-4.64,2026
Ohio,-4.65,2026
Drexel,-4.73,2026
Tarleton State,-4.76,2026
James Madison,-4.96,2026
Long Island University,-4.96,2026
Green Bay,-5.0,2026
Samford,-5.26,2026
Southern Mississippi,-5.39,2026
Stony Brook,-5.46,2026
Elon,-5.48,2026
Quinnipiac,-5.48,2026
Long Beach State,-5.51,2026
Idaho State,-5.54,2026
Detroit Mercy,-5.62,2026
Eastern Michigan,-5.71,2026
East Carolina,-5.73,2026
Lamar,-5.73,2026
Denver,-5.76,2026
Pepperdine,-5.86,2026
Tennessee-Martin,-5.92,2026
Colgate,-5.99,2026
Loyola (IL),-6.13,2026
UNC Asheville,-6.17,2026
Florida Gulf Coast,-6.41,2026
Western Carolina,-6.41,2026
Georgia Southern,-6.48,2026
UTEP,-6.66,2026
Charleston Southern,-6.7,2026
Nicholls State,-6.77,2026
Vermont,-6.82,2026
Southeast Missouri State,-6.85,2026
American,-6.91,2026
Princeton,-6.92,2026
Incarnate Word,-7.09,2026
Radford,-7.12,2026
Abilene Christian,-7.18,2026
Old Dominion,-7.19,2026
Omaha,-7.25,2026
Texas State,-7.26,2026
Iona,-7.27,2026
Purdue Fort Wayne,-7.27,2026
Wofford,-7.38,2026
Saint Peter's,-7.45,2026
Coastal Carolina,-7.52,2026
Milwaukee,-7.52,2026
UC Riverside,-7.76,2026
Sacramento State,-7.79,2026
Fairfield,-8.06,2026
Boston University,-8.08,2026
Longwood,-8.22,2026
Dartmouth,-8.24,2026
Presbyterian,-8.31,2026
Western Michigan,-8.32,2026
SIU Edwardsville,-8.46,2026
Central Michigan,-8.48,2026
South Dakota,-8.6,2026
Delaware,-8.65,2026
Hampton,-8.65,2026
Evansville,-8.81,2026
Northeastern,-8.88,2026
North Dakota,-8.93,2026
Bellarmine,-9.0,2026
Lindenwood,-9.11,2026
Southern Utah,-9.19,2026
Northwestern State,-9.31,2026
Southeastern Louisiana,-9.31,2026
Lehigh,-9.32,2026
Bethune-Cookman,-9.38,2026
North Carolina A&T,-9.56,2026
Ball State,-9.58,2026
Houston Christian,-9.76,2026
Mercyhurst,-9.86,2026
Brown,-9.9,2026
Oral Roberts,-10.11,2026
Eastern Kentucky,-10.18,2026
South Carolina Upstate,-10.24,2026
Mount St. Mary's,-10.35,2026
Jacksonville,-10.72,2026
Northern Arizona,-10.73,2026
Chattanooga,-10.89,2026
Le Moyne,-10.89,2026
West Georgia,-10.95,2026
Southern,-10.98,2026
East Texas A&M,-11.01,2026
Morehead State,-11.13,2026
Sacred Heart,-11.27,2026
UNC Greensboro,-11.31,2026
Central Connecticut State,-11.33,2026
Georgia State,-11.59,2026
Wagner,-11.79,2026
Louisiana,-12.03,2026
Grambling,-12.21,2026
IU Indy,-12.45,2026
Cal State Bakersfield,-12.69,2026
Stetson,-12.7,2026
Prairie View A&M,-12.74,2026
Lafayette,-12.84,2026
Little Rock,-12.97,2026
Alabama A&M,-12.99,2026
Cleveland State,-13.07,2026
Tennessee Tech,-13.25,2026
Loyola (MD),-13.33,2026
Eastern Illinois,-13.46,2026
Norfolk State,-13.57,2026
New Haven,-13.65,2026
Air Force,-13.66,2026
Holy Cross,-13.67,2026
Albany (NY),-13.92,2026
Florida A&M,-14.02,2026
Texas Southern,-14.05,2026
Massachusetts-Lowell,-14.12,2026
Alabama State,-14.21,2026
UTSA,-14.21,2026
Bucknell,-14.38,2026
Stonehill,-14.6,2026
Northern Illinois,-14.77,2026
Arkansas-Pine Bluff,-14.79,2026
FDU,-14.99,2026
Manhattan,-15.1,2026
Army,-15.28,2026
North Florida,-15.41,2026
North Alabama,-15.65,2026
NJIT,-15.76,2026
Southern Indiana,-16.23,2026
Niagara,-16.27,2026
Chicago State,-16.28,2026
The Citadel,-16.51,2026
Maine,-16.91,2026
Canisius,-16.98,2026
New Hampshire,-16.98,2026
Maryland-Eastern Shore,-17.48,2026
North Carolina Central,-18.15,2026
Bryant,-18.19,2026
Louisiana-Monroe,-18.52,2026
Saint Francis (PA),-18.86,2026
Rider,-19.14,2026
Morgan State,-19.26,2026
Jackson State,-19.48,2026
Kansas City,-19.67,2026
Alcorn State,-19.82,2026
Binghamton,-20.67,2026
VMI,-20.72,2026
South Carolina State,-21.79,2026
Gardner-Webb,-22.36,2026
Delaware State,-22.55,2026
Western Illinois,-23.44,2026
Coppin State,-24.84,2026
Mississippi Valley State,-28.36,2026
