team,srs,season
Gonzaga,27.2,2021
Baylor,24.83,2021
Illinois,23.25,2021
Michigan,22.0,2021
Houston,21.66,2021
Iowa,21.4,2021
Southern California,20.5,2021
Alabama,19.58,2021
Colorado,18.88,2021
Ohio State,18.25,2021
Arkansas,17.8,2021
Villanova,17.47,2021
Wisconsin,17.22,2021
Florida State,17.12,2021
Tennessee,16.87,2021
Texas Tech,16.59,2021
UCLA,16.3,2021
Creighton,16.28,2021
Oregon,16.15,2021
Connecticut,15.77,2021
Louisiana State,15.7,2021
Purdue,15.55,2021
Texas,15.51,2021
West Virginia,15.36,2021
Kansas,15.29,2021
Virginia,15.27,2021
Brigham Young,15.19,2021
Loyola (IL),15.12,2021
Arizona,15.02,2021
North Carolina,14.79,2021
San Diego State,14.36,2021
Rutgers,14.14,2021
Maryland,13.94,2021
Memphis,13.81,2021
Florida,13.7,2021
Colgate,13.66,2021
Oklahoma State,13.65,2021
Penn State,13.53,2021
Oklahoma,13.52,2021
St. Bonaventure,13.44,2021
Syracuse,13.27,2021
Duke,13.04,2021
Georgia Tech,12.79,2021
Indiana,12.79,2021
Virginia Tech,12.59,2021
Clemson,12.49,2021
Missouri,12.37,2021
Utah,11.86,2021
Kentucky,11.77,2021
Saint Louis,11.76,2021
Oregon State,11.48,2021
Virginia Commonwealth,11.3,2021
Mississippi,11.18,2021
Seton Hall,11.12,2021
Xavier,11.09,2021
Minnesota,11.04,2021
Utah State,10.99,2021
Southern Methodist,10.97,2021
Louisville,10.35,2021
Stanford,10.15,2021
Georgetown,10.13,2021
Auburn,10.02,2021
Michigan State,9.8,2021
Boise State,9.75,2021
Northwestern,9.71,2021
NC State,9.6,2021
Drake,9.42,2021
St. John's (NY),9.41,2021
Wichita State,9.36,2021
Mississippi State,9.24,2021
Richmond,9.04,2021
Davidson,9.02,2021
Providence,8.94,2021
Marquette,8.51,2021
Washington State,8.12,2021
Colorado State,8.06,2021
Saint Mary's (CA),8.05,2021
Pittsburgh,7.8,2021
UC Santa Barbara,7.8,2021
Notre Dame,7.73,2021
North Texas,7.58,2021
Arizona State,7.48,2021
Wright State,6.89,2021
Louisiana Tech,6.63,2021
Georgia,6.62,2021
Toledo,6.59,2021
Buffalo,6.5,2021
Dayton,6.31,2021
Abilene Christian,6.27,2021
Vanderbilt,6.14,2021
Nebraska,6.08,2021
San Francisco,6.0,2021
Furman,5.99,2021
UCF,5.94,2021
UAB,5.8,2021
Marshall,5.7,2021
Pepperdine,5.65,2021
Loyola Marymount,5.55,2021
Ohio,5.48,2021
Nevada,5.4,2021
Rhode Island,5.29,2021
Western Kentucky,5.19,2021
Missouri State,5.16,2021
Grand Canyon,5.11,2021
California,4.89,2021
Massachusetts,4.77,2021
Butler,4.76,2021
Winthrop,4.69,2021
Tulsa,4.19,2021
UC Riverside,4.12,2021
Liberty,4.06,2021
Eastern Washington,4.03,2021
Cincinnati,3.99,2021
UNC Greensboro,3.48,2021
Belmont,3.46,2021
UC Irvine,3.46,2021
South Carolina,3.39,2021
South Dakota State,3.27,2021
Miami (FL),3.23,2021
Weber State,3.14,2021
DePaul,2.67,2021
Pacific,2.64,2021
TCU,2.61,2021
Temple,2.57,2021
Duquesne,2.32,2021
Texas A&M,2.2,2021
Indiana State,2.04,2021
Vermont,1.99,2021
George Mason,1.91,2021
Washington,1.88,2021
Akron,1.85,2021
Wofford,1.76,2021
Kent State,1.74,2021
Oral Roberts,1.73,2021
Wake Forest,1.72,2021
East Tennessee State,1.65,2021
