team,srs,season
Louisville,24.69,2014
Arizona,23.36,2014
Florida,20.69,2014
Kansas,20.25,2014
Wisconsin,19.69,2014
Duke,19.51,2014
Michigan State,19.35,2014
Oklahoma State,19.02,2014
Villanova,18.97,2014
Iowa,18.58,2014
Iowa State,18.52,2014
Michigan,18.52,2014
UCLA,18.4,2014
Virginia,18.38,2014
Kentucky,18.07,2014
Creighton,18.03,2014
Ohio State,17.84,2014
Pittsburgh,17.46,2014
Tennessee,17.34,2014
Connecticut,17.23,2014
Wichita State,16.65,2014
Syracuse,16.05,2014
Baylor,15.8,2014
Oregon,15.75,2014
Gonzaga,15.56,2014
Cincinnati,15.26,2014
North Carolina,15.24,2014
San Diego State,14.95,2014
Oklahoma,14.91,2014
Virginia Commonwealth,14.55,2014
Arkansas,14.34,2014
Southern Methodist,13.73,2014
Stanford,13.42,2014
Arizona State,13.32,2014
Memphis,13.02,2014
New Mexico,12.72,2014
Texas,12.67,2014
Utah,12.66,2014
Florida State,12.63,2014
Louisiana Tech,12.44,2014
Kansas State,12.14,2014
Xavier,11.84,2014
West Virginia,11.78,2014
Minnesota,11.75,2014
St. John's (NY),11.68,2014
Brigham Young,11.63,2014
Saint Louis,11.63,2014
Providence,11.37,2014
Maryland,11.33,2014
Indiana,11.32,2014
Clemson,11.08,2014
Georgetown,10.96,2014
Colorado,10.8,2014
Harvard,10.79,2014
California,10.7,2014
Massachusetts,10.61,2014
George Washington,10.6,2014
Dayton,10.55,2014
Illinois,10.33,2014
Nebraska,10.13,2014
Marquette,10.08,2014
Missouri,10.06,2014
Louisiana State,10.05,2014
Saint Mary's (CA),9.35,2014
Saint Joseph's,9.05,2014
NC State,9.02,2014
Boise State,8.83,2014
Texas Tech,8.61,2014
Nevada-Las Vegas,8.55,2014
Alabama,8.34,2014
Purdue,8.21,2014
Notre Dame,8.19,2014
Georgia,7.9,2014
Mississippi,7.84,2014
Penn State,7.68,2014
Miami (FL),7.6,2014
Seton Hall,7.53,2014
Green Bay,7.18,2014
Butler,7.04,2014
Southern Mississippi,6.84,2014
North Dakota State,6.31,2014
Washington,6.26,2014
Tulsa,6.23,2014
New Mexico State,6.16,2014
Georgia State,6.04,2014
Manhattan,6.04,2014
Oregon State,6.03,2014
Iona,5.96,2014
San Francisco,5.92,2014
St. Bonaventure,5.92,2014
Richmond,5.7,2014
Vanderbilt,5.52,2014
Texas A&M,5.5,2014
Wake Forest,5.49,2014
South Carolina,5.41,2014
Mercer,5.33,2014
Northern Iowa,5.29,2014
Georgia Tech,5.12,2014
Auburn,5.11,2014
Stephen F. Austin,4.82,2014
Middle Tennessee,4.77,2014
Portland,4.77,2014
Utah State,4.77,2014
Northwestern,4.72,2014
Vermont,4.52,2014
Wyoming,4.4,2014
UTEP,4.39,2014
Cleveland State,4.38,2014
UC Irvine,4.35,2014
UC Santa Barbara,4.23,2014
La Salle,4.1,2014
North Carolina Central,3.97,2014
Fresno State,3.59,2014
Buffalo,3.58,2014
Hawaii,3.43,2014
Toledo,3.3,2014
Belmont,3.29,2014
Colorado State,3.29,2014
Indiana State,3.29,2014
Boston College,3.01,2014
Princeton,3.01,2014
Louisiana,2.91,2014
Rhode Island,2.87,2014
Delaware,2.73,2014
Ohio,2.7,2014
Temple,2.69,2014
Houston,2.68,2014
Southern California,2.6,2014
UCF,2.35,2014
Columbia,2.21,2014
San Diego,2.16,2014
George Mason,2.03,2014
Nevada,1.98,2014
Virginia Tech,1.9,2014
Eastern Michigan,1.79,2014
Boston University,1.77,2014
Pacific,1.74,2014
Western Michigan,1.73,2014
DePaul,1.5,2014
Long Beach State,1.44,2014
Washington State,1.34,2014
Canisius,1.24,2014
Drexel,1.23,2014
Akron,1.16,2014
Illinois State,1.08,2014
Murray State,0.98,2014
Santa Clara,0.88,2014
Denver,0.84,2014
Davidson,0.81,2014
Missouri State,0.81,2014
Pepperdine,0.8,2014
UAB,0.78,2014
American,0.69,2014
Duquesne,0.66,2014
Eastern Kentucky,0.6,2014
Towson,0.55,2014
Valparaiso,0.21,2014
Wright State,0.21,2014
Quinnipiac,-0.13,2014
South Dakota State,-0.17,2014
Purdue Fort Wayne,-0.2,2014
Rutgers,-0.29,2014
Arkansas State,-0.44,2014
