team,srs,season
Eastern Washington,-11.91,2010
Albany (NY),-11.94,2010
Navy,-12.01,2010
North Carolina A&T,-12.02,2010
Sacramento State,-12.41,2010
Georgia Southern,-12.57,2010
Florida International,-12.81,2010
Savannah State,-12.9,2010
Bethune-Cookman,-13.14,2010
Fordham,-13.18,2010
Jackson State,-13.21,2010
Liberty,-13.22,2010
Charleston Southern,-13.25,2010
Pennsylvania,-13.31,2010
New Orleans,-13.5,2010
Hartford,-13.77,2010
St. Francis (NY),-13.83,2010
Kansas City,-13.88,2010
UNC Asheville,-14.36,2010
Toledo,-14.39,2010
Alabama State,-14.41,2010
Southeast Missouri State,-14.49,2010
High Point,-14.63,2010
Central Connecticut State,-14.68,2010
Longwood,-14.69,2010
Coppin State,-14.89,2010
Northwestern State,-14.98,2010
FDU,-15.56,2010
Prairie View,-15.79,2010
Saint Francis (PA),-15.87,2010
Maryland-Eastern Shore,-16.18,2010
Utah Valley,-16.18,2010
Maryland-Baltimore County,-16.92,2010
Centenary (LA),-17.16,2010
Marist,-17.21,2010
Texas-Rio Grande Valley,-17.31,2010
Southern Utah,-17.42,2010
Tennessee-Martin,-17.46,2010
Stetson,-17.62,2010
Wagner,-18.05,2010
Dartmouth,-18.46,2010
Florida A&M,-18.8,2010
Howard,-19.49,2010
NJIT,-19.59,2010
Mississippi Valley State,-19.69,2010
VMI,-19.91,2010
Alabama A&M,-20.19,2010
Gardner-Webb,-20.32,2010
Chicago State,-21.8,2010
Grambling,-23.05,2010
Southern,-23.96,2010
Alcorn State,-30.36,2010
