team,srs,season
Duke,30.72,2025
Auburn,28.68,2025
Houston,28.45,2025
Florida,27.78,2025
Alabama,25.54,2025
Tennessee,24.2,2025
Gonzaga,23.75,2025
Maryland,23.33,2025
Texas Tech,23.05,2025
Arizona,22.94,2025
Michigan State,22.43,2025
Iowa State,22.33,2025
Illinois,21.59,2025
Kentucky,21.26,2025
St. John's (NY),21.25,2025
Purdue,20.8,2025
Wisconsin,20.73,2025
Michigan,20.21,2025
Kansas,20.09,2025
UCLA,19.68,2025
Missouri,19.49,2025
Texas A&M,19.3,2025
Brigham Young,19.07,2025
Baylor,18.77,2025
Louisville,18.49,2025
Mississippi,18.28,2025
Marquette,18.19,2025
Oregon,18.0,2025
Connecticut,17.87,2025
Ohio State,17.86,2025
Clemson,17.81,2025
Saint Mary's (CA),17.43,2025
North Carolina,17.27,2025
Mississippi State,17.14,2025
Arkansas,17.09,2025
Creighton,16.49,2025
Georgia,16.36,2025
Texas,15.65,2025
Xavier,15.25,2025
New Mexico,15.2,2025
West Virginia,14.89,2025
Oklahoma,14.86,2025
Vanderbilt,14.66,2025
Indiana,14.63,2025
Virginia Commonwealth,14.45,2025
Northwestern,14.4,2025
Southern Methodist,14.35,2025
Cincinnati,14.23,2025
Colorado State,13.94,2025
Boise State,13.86,2025
Nebraska,13.86,2025
Penn State,13.57,2025
Utah State,13.56,2025
Villanova,13.28,2025
Pittsburgh,13.27,2025
Santa Clara,13.22,2025
Southern California,12.97,2025
Iowa,12.85,2025
San Diego State,12.77,2025
UC San Diego,12.63,2025
Memphis,12.15,2025
Utah,11.44,2025
Kansas State,10.89,2025
Arizona State,10.62,2025
UCF,10.59,2025
TCU,10.49,2025
San Francisco,10.46,2025
Rutgers,10.41,2025
Butler,10.03,2025
Louisiana State,9.93,2025
South Carolina,9.89,2025
Wake Forest,9.63,2025
Colorado,9.62,2025
Drake,9.6,2025
Nevada,9.44,2025
McNeese State,9.14,2025
Stanford,8.78,2025
Oregon State,8.62,2025
Minnesota,8.48,2025
Florida State,8.43,2025
Georgetown,8.18,2025
Dayton,8.14,2025
North Texas,7.7,2025
UC Irvine,7.6,2025
Liberty,7.42,2025
Saint Joseph's,7.28,2025
George Mason,7.2,2025
Providence,7.17,2025
Notre Dame,7.07,2025
Oklahoma State,6.89,2025
Yale,6.66,2025
Nevada-Las Vegas,6.65,2025
Bradley,6.4,2025
Georgia Tech,6.3,2025
Washington,6.26,2025
Arkansas State,5.81,2025
