team,srs,season
Villanova,26.64,2018
Duke,24.43,2018
Purdue,23.41,2018
Michigan State,22.41,2018
Virginia,22.2,2018
Kansas,21.39,2018
Cincinnati,20.25,2018
North Carolina,20.07,2018
West Virginia,19.89,2018
Texas Tech,19.38,2018
Xavier,19.06,2018
Michigan,19.03,2018
Gonzaga,18.44,2018
Tennessee,18.2,2018
Ohio State,17.67,2018
Kentucky,17.24,2018
Clemson,17.16,2018
Butler,16.92,2018
Florida,16.66,2018
Wichita State,16.58,2018
TCU,16.38,2018
Creighton,16.35,2018
Houston,15.99,2018
Auburn,15.97,2018
Penn State,15.85,2018
Florida State,15.78,2018
Arizona,15.67,2018
Seton Hall,15.67,2018
Texas A&M,15.3,2018
Arkansas,14.76,2018
Baylor,14.6,2018
Nevada,14.44,2018
Arizona State,14.37,2018
Virginia Tech,14.35,2018
Louisville,14.3,2018
Texas,13.96,2018
Missouri,13.81,2018
Oklahoma,13.81,2018
Maryland,13.78,2018
Notre Dame,13.64,2018
NC State,12.91,2018
Syracuse,12.89,2018
Saint Mary's (CA),12.86,2018
Kansas State,12.85,2018
Miami (FL),12.83,2018
Southern California,12.81,2018
Marquette,12.5,2018
Oklahoma State,12.45,2018
Alabama,12.34,2018
San Diego State,12.23,2018
UCLA,12.07,2018
Rhode Island,11.81,2018
Mississippi State,11.71,2018
Utah,11.39,2018
Boise State,11.21,2018
Providence,11.12,2018
Western Kentucky,11.08,2018
Davidson,11.02,2018
Nebraska,10.99,2018
Louisiana State,10.93,2018
Oregon,10.7,2018
Wisconsin,10.38,2018
Loyola (IL),10.37,2018
Middle Tennessee,10.29,2018
St. John's (NY),10.29,2018
Georgia,10.24,2018
Indiana,9.89,2018
Northwestern,9.63,2018
South Carolina,9.45,2018
Old Dominion,9.27,2018
Southern Methodist,9.08,2018
New Mexico State,9.06,2018
Boston College,9.0,2018
St. Bonaventure,8.87,2018
Vanderbilt,8.52,2018
Illinois,8.5,2018
Fresno State,8.17,2018
Iowa,8.13,2018
Stanford,8.08,2018
