team,srs,season
North Carolina,25.46,2009
Connecticut,22.17,2009
Pittsburgh,21.21,2009
Memphis,20.92,2009
Louisville,20.87,2009
Duke,20.1,2009
Missouri,19.56,2009
UCLA,18.64,2009
West Virginia,18.57,2009
Oklahoma,18.07,2009
Kansas,18.02,2009
Gonzaga,17.95,2009
Michigan State,17.71,2009
Villanova,17.45,2009
Syracuse,17.24,2009
Washington,16.78,2009
Arizona State,16.7,2009
Purdue,16.44,2009
Wake Forest,15.63,2009
Clemson,15.56,2009
Brigham Young,15.12,2009
Marquette,15.06,2009
Texas,14.83,2009
Xavier,14.45,2009
Georgetown,14.39,2009
Illinois,14.38,2009
Southern California,14.09,2009
Oklahoma State,13.78,2009
Tennessee,13.6,2009
California,13.3,2009
Florida,12.83,2009
Kentucky,12.69,2009
Utah,12.59,2009
Baylor,12.54,2009
Ohio State,12.48,2009
Wisconsin,12.43,2009
Notre Dame,12.26,2009
Kansas State,12.18,2009
Michigan,11.9,2009
Arizona,11.88,2009
Louisiana State,11.87,2009
Miami (FL),11.76,2009
San Diego State,11.54,2009
Florida State,11.37,2009
New Mexico,11.37,2009
Minnesota,11.32,2009
Washington State,11.29,2009
Maryland,11.1,2009
Stanford,10.58,2009
Texas A&M,10.52,2009
Boston College,10.36,2009
Butler,10.07,2009
UAB,10.05,2009
Auburn,9.93,2009
Saint Mary's (CA),9.52,2009
Penn State,9.49,2009
Utah State,9.33,2009
Mississippi State,9.1,2009
Temple,9.05,2009
Nebraska,8.92,2009
Virginia Tech,8.79,2009
South Carolina,8.78,2009
Creighton,8.69,2009
Nevada-Las Vegas,8.68,2009
Northwestern,8.56,2009
Tulsa,8.41,2009
NC State,8.38,2009
Davidson,8.26,2009
Houston,8.26,2009
Vanderbilt,8.18,2009
Siena,8.05,2009
Rhode Island,7.89,2009
Cincinnati,7.83,2009
Illinois State,7.83,2009
Providence,7.82,2009
Virginia Commonwealth,7.7,2009
Seton Hall,7.53,2009
Dayton,7.16,2009
Cleveland State,6.97,2009
UTEP,6.67,2009
Iowa,6.65,2009
Niagara,6.21,2009
North Dakota State,6.18,2009
Duquesne,6.04,2009
Virginia,5.87,2009
Mississippi,5.82,2009
Green Bay,5.63,2009
Northern Iowa,5.63,2009
Georgia Tech,5.56,2009
Alabama,5.49,2009
