team,srs,season
Connecticut,26.7,2024
Houston,25.69,2024
Purdue,24.93,2024
Arizona,24.54,2024
Auburn,22.46,2024
Iowa State,22.3,2024
Tennessee,21.81,2024
North Carolina,21.36,2024
Alabama,20.69,2024
Duke,20.67,2024
Creighton,20.07,2024
Illinois,19.56,2024
Baylor,19.5,2024
Brigham Young,19.33,2024
Marquette,19.27,2024
Gonzaga,17.93,2024
Michigan State,17.72,2024
Kentucky,16.79,2024
St. John's (NY),16.49,2024
Kansas,16.35,2024
Saint Mary's (CA),16.31,2024
Clemson,16.2,2024
Wisconsin,16.01,2024
Colorado,15.95,2024
Texas,15.91,2024
Florida,15.17,2024
Cincinnati,15.06,2024
New Mexico,15.04,2024
Utah,15.0,2024
Texas Tech,14.96,2024
Wake Forest,14.94,2024
Pittsburgh,14.89,2024
San Diego State,14.68,2024
Oklahoma,14.66,2024
TCU,14.62,2024
Villanova,14.44,2024
Nebraska,14.36,2024
Mississippi State,14.19,2024
Washington State,14.02,2024
Ohio State,13.64,2024
Dayton,13.45,2024
Indiana State,13.44,2024
Colorado State,13.4,2024
Texas A&M,13.35,2024
Boise State,13.31,2024
Florida Atlantic,13.26,2024
Iowa,13.0,2024
Nevada,12.85,2024
NC State,12.81,2024
Northwestern,12.77,2024
Seton Hall,12.67,2024
Providence,12.56,2024
Xavier,12.23,2024
Oregon,12.22,2024
Butler,12.18,2024
UCF,11.92,2024
Virginia Tech,11.91,2024
Washington,11.85,2024
Utah State,11.56,2024
Drake,11.08,2024
Kansas State,11.06,2024
South Carolina,10.98,2024
Maryland,10.6,2024
Grand Canyon,10.45,2024
Virginia,10.45,2024
Southern Methodist,10.22,2024
San Francisco,9.68,2024
Miami (FL),9.59,2024
Florida State,9.52,2024
Minnesota,9.51,2024
Boston College,9.48,2024
Bradley,9.48,2024
Southern California,9.36,2024
Penn State,9.22,2024
Memphis,9.0,2024
Virginia Commonwealth,8.7,2024
Georgia,8.63,2024
Syracuse,8.53,2024
North Texas,8.41,2024
Nevada-Las Vegas,8.38,2024
Mississippi,8.3,2024
James Madison,8.19,2024
Louisiana State,8.14,2024
Indiana,7.74,2024
Richmond,7.67,2024
Massachusetts,7.59,2024
UCLA,7.5,2024
Rutgers,7.41,2024
South Florida,7.37,2024
Duquesne,7.35,2024
Stanford,7.35,2024
UC Irvine,6.89,2024
St. Bonaventure,6.77,2024
Saint Joseph's,6.59,2024
Loyola (IL),6.57,2024
Princeton,6.55,2024
McNeese State,6.42,2024
George Mason,6.36,2024
Samford,6.32,2024
Oklahoma State,6.25,2024
Arkansas,6.12,2024
Appalachian State,6.04,2024
Santa Clara,5.39,2024
Michigan,5.28,2024
UAB,5.14,2024
California,4.94,2024
Notre Dame,4.94,2024
Louisiana Tech,4.83,2024
Yale,4.63,2024
Georgia Tech,4.6,2024
Arizona State,4.58,2024
Southern Illinois,4.1,2024
Charlotte,4.09,2024
College of Charleston,4.09,2024
Seattle,4.03,2024
Northern Iowa,3.83,2024
West Virginia,3.73,2024
Tulane,3.65,2024
Davidson,3.63,2024
Cornell,3.58,2024
Oregon State,3.28,2024
Missouri,3.27,2024
Belmont,2.79,2024
Vermont,2.78,2024
Akron,2.77,2024
UT Arlington,2.38,2024
Hofstra,2.31,2024
High Point,2.15,2024
UC San Diego,2.04,2024
Oakland,2.02,2024
Wichita State,2.02,2024
Western Carolina,1.96,2024
Toledo,1.78,2024
Liberty,1.58,2024
Tarleton State,1.4,2024
Troy,1.24,2024
UNC Wilmington,1.21,2024
Western Kentucky,1.19,2024
Drexel,1.14,2024
Missouri State,0.98,2024
Youngstown State,0.97,2024
Georgetown,0.68,2024
Wyoming,0.54,2024
South Dakota State,0.52,2024
Morehead State,0.51,2024
Ohio,0.48,2024
Louisville,0.45,2024
Murray State,0.36,2024
Arkansas State,0.28,2024
Furman,0.21,2024
Towson,0.19,2024
Vanderbilt,0.19,2024
Loyola Marymount,-0.06,2024
Hawaii,-0.07,2024
Chattanooga,-0.21,2024
Wright State,-0.22,2024
UNC Greensboro,-0.27,2024
Colgate,-0.31,2024
Sam Houston,-0.37,2024
Fordham,-0.46,2024
Weber State,-0.49,2024
Louisiana,-0.6,2024
East Carolina,-0.62,2024
Purdue Fort Wayne,-0.74,2024
Kent State,-0.76,2024
St. Thomas,-0.92,2024
Stephen F. Austin,-0.95,2024
Eastern Washington,-1.03,2024
George Washington,-1.03,2024
Long Beach State,-1.19,2024
Tulsa,-1.2,2024
Temple,-1.26,2024
Massachusetts-Lowell,-1.28,2024
UC Davis,-1.33,2024
Utah Valley,-1.33,2024
Illinois State,-1.38,2024
Montana,-1.41,2024
UTEP,-1.49,2024
Saint Louis,-1.57,2024
Illinois-Chicago,-1.61,2024
La Salle,-1.62,2024
Delaware,-1.68,2024
UNC Asheville,-1.92,2024
Lipscomb,-1.94,2024
Winthrop,-1.97,2024
Longwood,-2.04,2024
Pepperdine,-2.14,2024
Rhode Island,-2.26,2024
California Baptist,-2.32,2024
Stony Brook,-2.59,2024
Bryant,-3.06,2024
Quinnipiac,-3.08,2024
East Tennessee State,-3.11,2024
Fairfield,-3.17,2024
Monmouth,-3.17,2024
UC Santa Barbara,-3.19,2024
Rice,-3.22,2024
Fresno State,-3.29,2024
Pennsylvania,-3.33,2024
Little Rock,-3.42,2024
Cleveland State,-3.47,2024
Jacksonville State,-3.55,2024
Brown,-3.6,2024
Northern Kentucky,-3.66,2024
Evansville,-3.69,2024
Texas State,-3.71,2024
San Jose State,-3.82,2024
Wofford,-3.87,2024
Abilene Christian,-4.12,2024
UC Riverside,-4.26,2024
Northern Colorado,-4.44,2024
Texas A&M-Corpus Christi,-4.45,2024
Harvard,-4.58,2024
Saint Peter's,-4.58,2024
Georgia State,-4.59,2024
Mercer,-4.65,2024
Gardner-Webb,-4.66,2024
Air Force,-4.77,2024
Cal State Northridge,-4.78,2024
Bowling Green,-4.93,2024
Milwaukee,-5.01,2024
Stetson,-5.09,2024
Cal State Fullerton,-5.15,2024
Iona,-5.19,2024
Merrimack,-5.24,2024
UTSA,-5.26,2024
San Diego,-5.31,2024
Kansas City,-5.32,2024
Montana State,-5.34,2024
Cal State Bakersfield,-5.37,2024
Eastern Kentucky,-5.42,2024
Marshall,-5.42,2024
Columbia,-5.43,2024
Lamar,-5.47,2024
Tennessee-Martin,-5.57,2024
Green Bay,-5.64,2024
Marist,-5.64,2024
Radford,-5.66,2024
Southern Utah,-5.72,2024
Rider,-5.73,2024
Norfolk State,-5.76,2024
South Alabama,-5.92,2024
Southern Mississippi,-5.93,2024
Northeastern,-6.09,2024
Austin Peay,-6.13,2024
New Hampshire,-6.15,2024
DePaul,-6.23,2024
North Dakota,-6.24,2024
Florida Gulf Coast,-6.28,2024
Maine,-6.39,2024
Miami (OH),-6.45,2024
The Citadel,-6.53,2024
Mount St. Mary's,-6.54,2024
Albany (NY),-6.6,2024
Ball State,-6.68,2024
North Florida,-6.95,2024
Nicholls State,-7.14,2024
Portland State,-7.15,2024
North Alabama,-7.17,2024
Omaha,-7.38,2024
Denver,-7.39,2024
Oral Roberts,-7.43,2024
Middle Tennessee,-7.45,2024
Lehigh,-7.47,2024
Idaho State,-7.49,2024
North Dakota State,-7.57,2024
North Carolina Central,-7.88,2024
Canisius,-7.95,2024
Florida International,-8.01,2024
Kennesaw State,-8.02,2024
Central Michigan,-8.07,2024
Utah Tech,-8.08,2024
Presbyterian,-8.13,2024
Central Connecticut State,-8.15,2024
Portland,-8.2,2024
Valparaiso,-8.25,2024
Bucknell,-8.33,2024
Old Dominion,-8.35,2024
Niagara,-8.4,2024
Georgia Southern,-8.44,2024
New Mexico State,-8.62,2024
Maryland-Baltimore County,-8.67,2024
Howard,-8.69,2024
Southern,-8.74,2024
Queens (NC),-8.75,2024
Western Illinois,-8.75,2024
American,-8.96,2024
SIU Edwardsville,-9.08,2024
Texas Southern,-9.09,2024
Northern Illinois,-9.16,2024
Binghamton,-9.29,2024
Western Michigan,-9.3,2024
Chicago State,-9.34,2024
South Carolina Upstate,-9.36,2024
Robert Morris,-9.57,2024
Grambling,-9.63,2024
Tennessee State,-9.64,2024
Jacksonville,-9.84,2024
Sacred Heart,-9.91,2024
Boston University,-9.93,2024
Louisiana-Monroe,-10.05,2024
Coastal Carolina,-10.47,2024
Delaware State,-10.51,2024
Campbell,-10.62,2024
Wagner,-10.64,2024
Sacramento State,-10.87,2024
Le Moyne,-11.07,2024
Lafayette,-11.17,2024
Idaho,-11.29,2024
Southeastern Louisiana,-11.31,2024
William & Mary,-11.33,2024
Elon,-11.43,2024
Jackson State,-11.5,2024
Alcorn State,-11.58,2024
Eastern Illinois,-11.6,2024
Navy,-11.7,2024
Alabama State,-11.73,2024
Bellarmine,-11.79,2024
South Carolina State,-11.85,2024
Bethune-Cookman,-11.87,2024
Charleston Southern,-12.03,2024
Northern Arizona,-12.17,2024
South Dakota,-12.55,2024
Eastern Michigan,-12.76,2024
Texas-Rio Grande Valley,-13.39,2024
Southern Indiana,-13.63,2024
Cal Poly,-13.64,2024
Dartmouth,-13.99,2024
Alabama A&M,-14.35,2024
FDU,-14.41,2024
Northwestern State,-14.42,2024
East Texas A&M,-14.52,2024
NJIT,-14.65,2024
Army,-14.67,2024
Tennessee Tech,-15.04,2024
Buffalo,-15.12,2024
Manhattan,-15.28,2024
Prairie View,-15.41,2024
Arkansas-Pine Bluff,-15.56,2024
Central Arkansas,-15.7,2024
Florida A&M,-15.82,2024
Hampton,-15.82,2024
Morgan State,-16.07,2024
Loyola (MD),-16.17,2024
North Carolina A&T,-16.31,2024
Incarnate Word,-16.4,2024
New Orleans,-16.8,2024
Detroit Mercy,-16.9,2024
Holy Cross,-17.12,2024
Maryland-Eastern Shore,-17.33,2024
Pacific,-17.42,2024
Long Island University,-17.86,2024
Southeast Missouri State,-18.25,2024
Saint Francis (PA),-18.6,2024
Lindenwood,-18.73,2024
Siena,-19.2,2024
Houston Christian,-19.37,2024
Stonehill,-20.1,2024
VMI,-20.65,2024
IU Indy,-21.31,2024
Coppin State,-21.46,2024
Mississippi Valley State,-26.17,2024
