team,srs,season
Kentucky,24.73,2012
Ohio State,23.95,2012
Kansas,21.72,2012
North Carolina,21.34,2012
Michigan State,21.32,2012
Syracuse,21.12,2012
Missouri,19.77,2012
Wisconsin,19.04,2012
Indiana,18.63,2012
Florida,18.25,2012
Wichita State,17.42,2012
Duke,17.05,2012
Marquette,16.92,2012
Memphis,16.86,2012
Georgetown,16.81,2012
Baylor,16.54,2012
Louisville,16.19,2012
Vanderbilt,15.71,2012
New Mexico,15.6,2012
Saint Louis,15.15,2012
Florida State,14.53,2012
Kansas State,14.47,2012
Texas,14.0,2012
Purdue,13.88,2012
Gonzaga,13.86,2012
California,13.79,2012
Alabama,13.76,2012
Nevada-Las Vegas,13.55,2012
Iowa State,13.32,2012
Michigan,13.19,2012
Cincinnati,12.93,2012
Creighton,12.92,2012
Stanford,12.64,2012
Virginia,12.51,2012
Connecticut,12.27,2012
West Virginia,12.13,2012
NC State,12.1,2012
Belmont,11.81,2012
Saint Mary's (CA),11.26,2012
Brigham Young,11.25,2012
Notre Dame,11.18,2012
Arizona,10.91,2012
Washington,10.79,2012
Miami (FL),10.75,2012
Minnesota,10.7,2012
UCLA,10.53,2012
Temple,10.44,2012
Seton Hall,10.23,2012
Oregon,10.19,2012
Xavier,9.59,2012
Long Beach State,9.52,2012
Tennessee,9.49,2012
Pittsburgh,9.43,2012
Illinois,9.33,2012
South Florida,9.2,2012
Mississippi State,9.13,2012
San Diego State,9.04,2012
Virginia Tech,8.93,2012
Northwestern,8.87,2012
Oregon State,8.84,2012
Virginia Commonwealth,8.79,2012
Murray State,8.74,2012
New Mexico State,8.73,2012
Middle Tennessee,8.69,2012
La Salle,8.56,2012
Dayton,8.48,2012
Iona,8.36,2012
Saint Joseph's,8.25,2012
St. Bonaventure,8.25,2012
Colorado,7.91,2012
Villanova,7.89,2012
Harvard,7.84,2012
Southern Mississippi,7.79,2012
Massachusetts,7.49,2012
Drexel,7.37,2012
South Dakota State,7.34,2012
Clemson,7.31,2012
Oklahoma,7.28,2012
Davidson,7.26,2012
Ohio,7.17,2012
Iowa,7.04,2012
Oklahoma State,7.02,2012
