team,srs,season
Kansas,26.9,2008
North Carolina,24.17,2008
Memphis,23.73,2008
UCLA,21.71,2008
Duke,21.52,2008
Wisconsin,19.59,2008
Louisville,19.0,2008
Georgetown,18.73,2008
Marquette,18.62,2008
Tennessee,18.41,2008
Texas,18.13,2008
Clemson,18.05,2008
West Virginia,17.97,2008
Xavier,17.17,2008
Washington State,16.35,2008
Michigan State,16.32,2008
Stanford,16.31,2008
Texas A&M,16.2,2008
Notre Dame,16.15,2008
Kansas State,15.79,2008
Indiana,15.78,2008
Pittsburgh,15.62,2008
Connecticut,15.54,2008
Gonzaga,14.81,2008
Arizona,14.55,2008
Drake,14.08,2008
Davidson,13.93,2008
Southern California,13.89,2008
Ohio State,13.72,2008
Mississippi State,13.42,2008
Purdue,13.1,2008
Butler,13.0,2008
Syracuse,12.65,2008
New Mexico,12.53,2008
Arkansas,12.48,2008
Miami (FL),12.38,2008
Florida,12.34,2008
Mississippi,12.29,2008
Virginia Tech,12.0,2008
Oklahoma,11.97,2008
Brigham Young,11.82,2008
Missouri,11.75,2008
Oregon,11.68,2008
Baylor,11.46,2008
Saint Mary's (CA),11.39,2008
Nebraska,11.31,2008
Villanova,11.0,2008
Illinois,10.98,2008
Vanderbilt,10.96,2008
Georgia Tech,10.77,2008
Florida State,10.4,2008
Arizona State,10.31,2008
Minnesota,10.27,2008
Nevada-Las Vegas,10.23,2008
Maryland,9.74,2008
Saint Joseph's,9.63,2008
Massachusetts,9.6,2008
Oklahoma State,9.39,2008
California,9.36,2008
Western Kentucky,9.34,2008
Wake Forest,9.29,2008
Kentucky,9.19,2008
Washington,9.09,2008
Duquesne,8.96,2008
Southern Illinois,8.73,2008
Illinois State,8.64,2008
Rhode Island,8.42,2008
Houston,8.4,2008
Providence,8.38,2008
UAB,8.35,2008
Temple,8.16,2008
Alabama,8.12,2008
Creighton,8.06,2008
Dayton,7.98,2008
South Alabama,7.76,2008
Virginia,7.6,2008
Kent State,7.47,2008
Texas Tech,7.35,2008
Utah,7.35,2008
South Carolina,7.3,2008
Tulsa,7.28,2008
Georgia,7.24,2008
Virginia Commonwealth,6.57,2008
Charlotte,6.54,2008
Boston College,6.46,2008
Akron,6.24,2008
Bradley,6.23,2008
George Mason,6.07,2008
Miami (OH),5.73,2008
Oral Roberts,5.71,2008
Missouri State,5.65,2008
Cal State Fullerton,5.64,2008
UCF,5.61,2008
New Mexico State,5.43,2008
NC State,5.41,2008
San Diego State,5.21,2008
South Florida,5.17,2008
IU Indy,5.13,2008
Louisiana State,4.99,2008
Cincinnati,4.86,2008
Seton Hall,4.84,2008
UTEP,4.79,2008
Penn State,4.57,2008
DePaul,4.31,2008
Northern Iowa,4.28,2008
Siena,4.06,2008
Colorado,4.05,2008
Iowa State,3.97,2008
Ohio,3.94,2008
Nevada,3.92,2008
Southern Mississippi,3.77,2008
Winthrop,3.61,2008
San Diego,3.39,2008
Cleveland State,3.38,2008
Western Michigan,3.2,2008
Michigan,3.05,2008
Illinois-Chicago,3.04,2008
St. John's (NY),2.94,2008
Iowa,2.77,2008
Old Dominion,2.45,2008
Wright State,2.38,2008
Valparaiso,2.35,2008
Auburn,2.31,2008
Marshall,2.17,2008
UNC Greensboro,1.97,2008
Rider,1.86,2008
Portland State,1.72,2008
Utah State,1.71,2008
Boise State,1.6,2008
North Texas,1.53,2008
Indiana State,1.48,2008
Stephen F. Austin,1.42,2008
Cal State Northridge,1.23,2008
UC Santa Barbara,1.17,2008
Wichita State,1.04,2008
Cornell,0.76,2008
Air Force,0.44,2008
Tulane,0.41,2008
Saint Louis,0.31,2008
Richmond,0.22,2008
Pacific,0.09,2008
Maryland-Baltimore County,0.06,2008
Green Bay,-0.04,2008
Georgia Southern,-0.07,2008
Robert Morris,-0.07,2008
Belmont,-0.12,2008
Fordham,-0.16,2008
Niagara,-0.16,2008
Oakland,-0.17,2008
La Salle,-0.19,2008
Sam Houston,-0.25,2008
Brown,-0.65,2008
Marist,-0.68,2008
Appalachian State,-0.71,2008
Northern Arizona,-0.71,2008
Santa Clara,-0.77,2008
TCU,-0.92,2008
Milwaukee,-0.99,2008
UC Irvine,-1.2,2008
Chattanooga,-1.22,2008
Northwestern,-1.3,2008
Northeastern,-1.36,2008
Rutgers,-1.57,2008
George Washington,-1.7,2008
American,-1.87,2008
UNC Wilmington,-1.89,2008
Austin Peay,-2.21,2008
College of Charleston,-2.22,2008
Lamar,-2.41,2008
UNC Asheville,-2.55,2008
Holy Cross,-2.67,2008
Middle Tennessee,-2.78,2008
Loyola (MD),-2.85,2008
UT Arlington,-2.87,2008
Fresno State,-2.99,2008
New Orleans,-3.06,2008
Eastern Michigan,-3.18,2008
Central Michigan,-3.22,2008
Little Rock,-3.26,2008
Mount St. Mary's,-3.59,2008
Louisiana,-3.67,2008
Buffalo,-3.9,2008
Weber State,-3.92,2008
Wyoming,-3.92,2008
Gardner-Webb,-4.01,2008
Albany (NY),-4.05,2008
William & Mary,-4.08,2008
Loyola (IL),-4.14,2008
Vermont,-4.17,2008
Montana,-4.23,2008
East Tennessee State,-4.24,2008
Morgan State,-4.25,2008
East Carolina,-4.28,2008
Murray State,-4.42,2008
Lafayette,-4.57,2008
Evansville,-4.62,2008
Elon,-4.71,2008
Lipscomb,-4.97,2008
Bowling Green,-5.09,2008
High Point,-5.1,2008
James Madison,-5.13,2008
Purdue Fort Wayne,-5.25,2008
Central Connecticut State,-5.31,2008
Hawaii,-5.32,2008
St. Bonaventure,-5.33,2008
Hampton,-5.57,2008
Toledo,-5.58,2008
Ball State,-5.61,2008
Colgate,-5.63,2008
Florida Atlantic,-5.64,2008
Fairfield,-5.67,2008
Youngstown State,-5.76,2008
Wofford,-5.77,2008
Southeastern Louisiana,-5.78,2008
Delaware,-5.82,2008
Navy,-5.88,2008
Sacred Heart,-5.9,2008
Hofstra,-5.93,2008
Long Island University,-6.02,2008
Liberty,-6.1,2008
Denver,-6.14,2008
Oregon State,-6.2,2008
Southern Utah,-6.35,2008
Detroit Mercy,-6.38,2008
Yale,-6.54,2008
Boston University,-6.69,2008
Iona,-6.71,2008
Montana State,-6.82,2008
Binghamton,-6.84,2008
Bucknell,-6.88,2008
Tennessee State,-6.95,2008
Kansas City,-6.97,2008
Wagner,-7.01,2008
San Francisco,-7.02,2008
Troy,-7.03,2008
Northern Colorado,-7.05,2008
Colorado State,-7.09,2008
Florida International,-7.09,2008
Towson,-7.1,2008
Eastern Washington,-7.38,2008
Georgia State,-7.6,2008
Drexel,-7.63,2008
Alabama State,-7.73,2008
Lehigh,-7.74,2008
Arkansas State,-7.75,2008
Tennessee Tech,-7.95,2008
Manhattan,-7.98,2008
Pepperdine,-8.0,2008
Quinnipiac,-8.01,2008
Jacksonville,-8.09,2008
