team,srs,season
Gonzaga,25.26,2017
North Carolina,24.84,2017
West Virginia,24.45,2017
Kentucky,23.88,2017
Villanova,23.8,2017
Kansas,23.53,2017
Louisville,22.47,2017
Florida,22.4,2017
Duke,21.56,2017
Wichita State,21.24,2017
Oregon,20.8,2017
UCLA,20.67,2017
Virginia,20.63,2017
Iowa State,20.51,2017
Purdue,20.13,2017
Baylor,19.75,2017
Wisconsin,19.4,2017
Oklahoma State,19.19,2017
Florida State,18.87,2017
Michigan,18.8,2017
Southern Methodist,18.71,2017
Cincinnati,18.43,2017
Arizona,18.25,2017
Notre Dame,17.81,2017
Butler,17.7,2017
South Carolina,17.52,2017
Creighton,17.27,2017
Saint Mary's (CA),16.75,2017
TCU,15.64,2017
Marquette,15.26,2017
Kansas State,14.8,2017
Xavier,14.8,2017
Indiana,14.63,2017
Minnesota,14.56,2017
Miami (FL),14.48,2017
Wake Forest,14.19,2017
Texas Tech,14.11,2017
Arkansas,14.04,2017
Northwestern,14.02,2017
Syracuse,13.7,2017
Vanderbilt,13.69,2017
Michigan State,13.67,2017
Clemson,13.22,2017
Dayton,12.98,2017
Rhode Island,12.88,2017
Maryland,12.79,2017
Virginia Tech,12.77,2017
Utah,12.45,2017
Houston,12.2,2017
Seton Hall,12.1,2017
Virginia Commonwealth,11.57,2017
Southern California,11.48,2017
Oklahoma,11.42,2017
Alabama,11.29,2017
Tennessee,11.28,2017
Providence,11.24,2017
Georgetown,11.18,2017
Georgia,11.13,2017
California,11.11,2017
Texas,10.99,2017
Illinois,10.54,2017
Nevada,10.49,2017
Texas A&M,10.36,2017
Ohio State,10.31,2017
Illinois State,10.3,2017
Iowa,10.01,2017
Middle Tennessee,9.8,2017
Mississippi,9.65,2017
UCF,9.58,2017
Pittsburgh,9.25,2017
Colorado,9.12,2017
Brigham Young,8.22,2017
Auburn,8.17,2017
UNC Wilmington,8.06,2017
Penn State,7.9,2017
Georgia Tech,7.82,2017
East Tennessee State,7.31,2017
Connecticut,7.23,2017
Mississippi State,7.12,2017
San Diego State,6.88,2017
Vermont,6.67,2017
Princeton,6.57,2017
Memphis,6.47,2017
Nebraska,6.47,2017
Davidson,6.45,2017
St. John's (NY),6.45,2017
Stanford,6.39,2017
NC State,6.09,2017
Colorado State,6.03,2017
St. Bonaventure,5.95,2017
UT Arlington,5.92,2017
Bucknell,5.89,2017
Boise State,5.52,2017
Richmond,5.45,2017
Louisiana Tech,5.2,2017
Loyola (IL),5.15,2017
Monmouth,4.94,2017
Temple,4.84,2017
New Mexico State,4.66,2017
Fresno State,4.37,2017
Belmont,4.28,2017
Oakland,4.22,2017
Arizona State,4.02,2017
College of Charleston,3.99,2017
Valparaiso,3.94,2017
Ohio,3.9,2017
San Francisco,3.8,2017
Rutgers,3.69,2017
Akron,3.59,2017
Cal State Bakersfield,3.21,2017
New Mexico,3.04,2017
George Mason,3.01,2017
Missouri,2.98,2017
Utah State,2.9,2017
Missouri State,2.84,2017
Wyoming,2.83,2017
Santa Clara,2.69,2017
Tulsa,2.45,2017
George Washington,2.37,2017
Harvard,2.3,2017
Florida Gulf Coast,2.26,2017
Boston College,2.2,2017
Washington,2.15,2017
DePaul,2.09,2017
Old Dominion,1.94,2017
La Salle,1.91,2017
Towson,1.84,2017
Massachusetts,1.63,2017
Saint Peter's,1.6,2017
Lehigh,1.54,2017
Furman,1.46,2017
Evansville,1.45,2017
Winthrop,1.34,2017
Northern Iowa,1.29,2017
Toledo,1.16,2017
Chattanooga,1.1,2017
Southern Illinois,1.09,2017
Iona,1.08,2017
Buffalo,0.92,2017
Kent State,0.88,2017
Arkansas State,0.87,2017
UNC Asheville,0.84,2017
Louisiana State,0.53,2017
Rice,0.51,2017
Purdue Fort Wayne,0.38,2017
Elon,0.24,2017
Yale,0.21,2017
Marshall,0.18,2017
UC Irvine,0.18,2017
Saint Joseph's,0.14,2017
Washington State,0.13,2017
UNC Greensboro,-0.1,2017
William & Mary,-0.14,2017
Albany (NY),-0.16,2017
Grand Canyon,-0.16,2017
Northern Kentucky,-0.17,2017
Eastern Michigan,-0.18,2017
Georgia State,-0.33,2017
South Dakota,-0.42,2017
Loyola Marymount,-0.47,2017
Troy,-0.47,2017
East Carolina,-0.49,2017
Louisiana,-0.64,2017
Pennsylvania,-0.65,2017
Wofford,-0.71,2017
Northeastern,-0.78,2017
Western Michigan,-0.78,2017
Indiana State,-1.02,2017
Wright State,-1.02,2017
Mercer,-1.12,2017
UAB,-1.17,2017
Utah Valley,-1.22,2017
North Dakota State,-1.31,2017
Ball State,-1.45,2017
Lipscomb,-1.55,2017
Tennessee State,-1.57,2017
North Dakota,-1.83,2017
Samford,-1.87,2017
Fordham,-1.97,2017
Siena,-2.0,2017
Texas State,-2.23,2017
Omaha,-2.24,2017
South Dakota State,-2.3,2017
Weber State,-2.32,2017
Hofstra,-2.35,2017
Boston University,-2.43,2017
Montana,-2.67,2017
Eastern Washington,-2.77,2017
Green Bay,-2.77,2017
Canisius,-2.82,2017
Bradley,-2.84,2017
San Jose State,-2.84,2017
Jacksonville State,-2.85,2017
Texas A&M-Corpus Christi,-2.97,2017
Denver,-2.99,2017
Air Force,-3.06,2017
Duquesne,-3.06,2017
Murray State,-3.06,2017
Gardner-Webb,-3.08,2017
UTEP,-3.13,2017
North Carolina Central,-3.18,2017
Northern Illinois,-3.29,2017
New Hampshire,-3.57,2017
Morehead State,-3.6,2017
Georgia Southern,-3.63,2017
Nevada-Las Vegas,-3.75,2017
Maryland-Baltimore County,-3.84,2017
Coastal Carolina,-3.94,2017
Tulane,-3.98,2017
New Orleans,-4.1,2017
Navy,-4.11,2017
IU Indy,-4.29,2017
Mount St. Mary's,-4.29,2017
Pacific,-4.57,2017
Oregon State,-4.59,2017
Tennessee-Martin,-4.7,2017
Drake,-4.71,2017
Stony Brook,-4.71,2017
Fairfield,-4.75,2017
Kansas City,-4.97,2017
UC Davis,-5.21,2017
Charlotte,-5.24,2017
Holy Cross,-5.26,2017
Idaho,-5.34,2017
Rider,-5.34,2017
Eastern Illinois,-5.35,2017
Liberty,-5.51,2017
Oral Roberts,-5.51,2017
James Madison,-5.64,2017
Columbia,-5.67,2017
Central Michigan,-5.76,2017
San Diego,-5.78,2017
Western Kentucky,-5.8,2017
Portland,-5.81,2017
Army,-5.84,2017
Southeast Missouri State,-5.89,2017
Illinois-Chicago,-5.95,2017
Long Beach State,-5.98,2017
Bowling Green,-6.0,2017
Little Rock,-6.07,2017
Saint Louis,-6.09,2017
Montana State,-6.14,2017
Hawaii,-6.19,2017
Loyola (MD),-6.32,2017
Texas Southern,-6.41,2017
South Alabama,-6.57,2017
Cleveland State,-6.73,2017
Stephen F. Austin,-7.01,2017
Portland State,-7.06,2017
Wagner,-7.13,2017
South Florida,-7.28,2017
Houston Christian,-7.3,2017
Lamar,-7.36,2017
Southeastern Louisiana,-7.36,2017
Milwaukee,-7.37,2017
UTSA,-7.42,2017
Drexel,-7.43,2017
Cal State Fullerton,-7.55,2017
Sam Houston,-7.55,2017
Tennessee Tech,-7.6,2017
South Carolina Upstate,-7.64,2017
North Florida,-7.78,2017
Long Island University,-7.8,2017
Louisiana-Monroe,-7.88,2017
Florida Atlantic,-7.95,2017
Florida International,-8.1,2017
Saint Francis (PA),-8.13,2017
Miami (OH),-8.16,2017
Cal State Northridge,-8.34,2017
Niagara,-8.34,2017
Seattle,-8.36,2017
Cornell,-8.4,2017
Kennesaw State,-8.44,2017
Colgate,-8.47,2017
Brown,-8.55,2017
Robert Morris,-8.56,2017
Eastern Kentucky,-8.65,2017
Appalachian State,-8.67,2017
High Point,-9.06,2017
Northern Colorado,-9.27,2017
FDU,-9.28,2017
Manhattan,-9.67,2017
Campbell,-9.68,2017
Bryant,-9.69,2017
Youngstown State,-9.75,2017
Quinnipiac,-9.86,2017
Delaware,-9.97,2017
Pepperdine,-10.0,2017
NJIT,-10.12,2017
Massachusetts-Lowell,-10.13,2017
Jacksonville,-10.21,2017
American,-10.3,2017
Sacramento State,-10.69,2017
Cal Poly,-10.71,2017
Detroit Mercy,-10.72,2017
Sacred Heart,-10.95,2017
Austin Peay,-11.0,2017
Western Illinois,-11.0,2017
North Texas,-11.14,2017
Dartmouth,-11.15,2017
Radford,-11.34,2017
UC Riverside,-11.39,2017
Texas-Rio Grande Valley,-11.44,2017
Abilene Christian,-11.86,2017
Binghamton,-11.99,2017
Northwestern State,-12.03,2017
Norfolk State,-12.07,2017
Incarnate Word,-12.14,2017
SIU Edwardsville,-12.25,2017
Charleston Southern,-12.28,2017
Alcorn State,-12.33,2017
Marist,-12.33,2017
The Citadel,-12.86,2017
Central Arkansas,-13.04,2017
Hampton,-13.23,2017
Southern Mississippi,-13.4,2017
UC Santa Barbara,-13.49,2017
Maryland-Eastern Shore,-13.77,2017
VMI,-13.91,2017
Northern Arizona,-13.92,2017
Stetson,-14.21,2017
McNeese State,-14.28,2017
Southern,-14.48,2017
Prairie View,-14.54,2017
Nicholls State,-14.57,2017
Lafayette,-14.68,2017
Morgan State,-15.03,2017
Idaho State,-15.1,2017
Western Carolina,-15.3,2017
Jackson State,-15.42,2017
Southern Utah,-15.58,2017
Hartford,-15.85,2017
Savannah State,-16.04,2017
Maine,-16.33,2017
Chicago State,-16.67,2017
Howard,-16.97,2017
Grambling,-17.29,2017
Central Connecticut State,-17.51,2017
South Carolina State,-18.37,2017
Delaware State,-18.81,2017
St. Francis (NY),-19.24,2017
Bethune-Cookman,-19.44,2017
Alabama State,-19.75,2017
Mississippi Valley State,-20.54,2017
Florida A&M,-20.88,2017
Longwood,-21.23,2017
Coppin State,-21.51,2017
Arkansas-Pine Bluff,-22.81,2017
North Carolina A&T,-23.07,2017
Presbyterian,-23.63,2017
Alabama A&M,-26.99,2017
