team,srs,season
Gonzaga,25.46,2022
Arizona,22.75,2022
Houston,22.55,2022
Kansas,22.28,2022
Baylor,21.73,2022
Kentucky,20.9,2022
Tennessee,20.46,2022
Texas Tech,20.08,2022
Duke,19.55,2022
Villanova,19.31,2022
UCLA,19.3,2022
Auburn,19.2,2022
Purdue,19.15,2022
Iowa,18.9,2022
Louisiana State,17.45,2022
Texas,17.01,2022
Illinois,16.69,2022
Connecticut,16.4,2022
Arkansas,16.27,2022
North Carolina,15.5,2022
Saint Mary's (CA),14.82,2022
Memphis,14.67,2022
Alabama,14.62,2022
Virginia Tech,14.48,2022
Michigan,14.26,2022
Ohio State,14.17,2022
Oklahoma,14.12,2022
San Francisco,14.12,2022
TCU,13.72,2022
Loyola (IL),13.39,2022
Oklahoma State,13.28,2022
Wake Forest,13.24,2022
Xavier,13.23,2022
Michigan State,13.18,2022
San Diego State,13.13,2022
Wisconsin,13.13,2022
Providence,13.08,2022
Texas A&M,12.93,2022
Seton Hall,12.75,2022
Indiana,12.71,2022
Washington State,12.57,2022
Southern California,12.5,2022
Iowa State,12.38,2022
St. John's (NY),11.95,2022
Boise State,11.93,2022
Florida,11.93,2022
Notre Dame,11.87,2022
Mississippi State,11.83,2022
Colorado State,11.51,2022
Marquette,11.36,2022
Creighton,11.34,2022
Miami (FL),11.22,2022
Southern Methodist,11.14,2022
Vanderbilt,11.0,2022
UAB,10.9,2022
Kansas State,10.61,2022
Davidson,10.43,2022
Dayton,10.41,2022
Utah State,10.41,2022
West Virginia,10.23,2022
Syracuse,10.12,2022
Brigham Young,10.05,2022
Oregon,10.05,2022
Murray State,9.87,2022
Saint Louis,9.83,2022
Virginia Commonwealth,9.83,2022
Colorado,9.82,2022
Clemson,9.59,2022
Wyoming,9.36,2022
Maryland,9.34,2022
North Texas,8.98,2022
Santa Clara,8.98,2022
Northwestern,8.91,2022
Virginia,8.88,2022
Rutgers,8.78,2022
Penn State,8.72,2022
Fresno State,8.36,2022
Missouri State,8.29,2022
St. Bonaventure,8.27,2022
Wichita State,8.11,2022
DePaul,7.83,2022
Vermont,7.81,2022
Arizona State,7.64,2022
Cincinnati,7.44,2022
Drake,7.34,2022
Nevada-Las Vegas,7.2,2022
South Carolina,7.14,2022
New Mexico State,7.11,2022
Richmond,7.07,2022
Tulane,6.74,2022
Mississippi,6.72,2022
South Dakota State,6.6,2022
Belmont,6.49,2022
Towson,6.47,2022
Florida State,6.39,2022
Stanford,6.27,2022
Toledo,6.26,2022
UCF,6.23,2022
Furman,6.2,2022
Chattanooga,6.12,2022
Minnesota,5.93,2022
Grand Canyon,5.81,2022
Bradley,5.79,2022
Northern Iowa,5.79,2022
Iona,5.47,2022
Utah,5.45,2022
Louisiana Tech,5.23,2022
Washington,5.03,2022
Temple,4.61,2022
Middle Tennessee,4.5,2022
Butler,4.45,2022
Louisville,4.23,2022
George Mason,4.18,2022
Boston College,4.03,2022
California,3.96,2022
NC State,3.77,2022
Nevada,3.71,2022
Western Kentucky,3.3,2022
Nebraska,3.0,2022
Saint Peter's,2.96,2022
Missouri,2.94,2022
Rhode Island,2.92,2022
Southern Illinois,2.83,2022
Princeton,2.65,2022
Florida Atlantic,2.63,2022
Stephen F. Austin,2.43,2022
Utah Valley,2.37,2022
Abilene Christian,2.25,2022
Georgia Tech,2.24,2022
Wofford,2.01,2022
Seattle,1.96,2022
Buffalo,1.9,2022
Liberty,1.86,2022
Hofstra,1.8,2022
Georgetown,1.71,2022
UC Irvine,1.59,2022
Tulsa,1.56,2022
Ohio,1.5,2022
UC Santa Barbara,1.38,2022
New Mexico,1.25,2022
Saint Joseph's,1.0,2022
Colgate,0.98,2022
Akron,0.91,2022
Morehead State,0.79,2022
Coastal Carolina,0.66,2022
College of Charleston,0.52,2022
East Carolina,0.49,2022
Pittsburgh,0.45,2022
Delaware,0.32,2022
UTEP,0.27,2022
South Alabama,0.23,2022
Texas State,0.14,2022
Sam Houston,0.07,2022
Cal State Fullerton,-0.04,2022
Yale,-0.1,2022
Kent State,-0.13,2022
Jacksonville State,-0.19,2022
Montana State,-0.26,2022
Drexel,-0.29,2022
Longwood,-0.35,2022
Monmouth,-0.39,2022
Hawaii,-0.52,2022
Georgia,-0.63,2022
Long Beach State,-0.65,2022
UNC Wilmington,-0.66,2022
Massachusetts,-0.67,2022
Illinois State,-0.78,2022
Oral Roberts,-0.84,2022
Fordham,-0.89,2022
UC Riverside,-0.92,2022
Georgia State,-1.11,2022
Wagner,-1.12,2022
Old Dominion,-1.32,2022
Oregon State,-1.44,2022
Appalachian State,-1.45,2022
Southern Utah,-1.51,2022
Oakland,-1.52,2022
Winthrop,-1.56,2022
North Dakota State,-1.6,2022
Valparaiso,-1.61,2022
Charlotte,-1.62,2022
Portland,-1.71,2022
Weber State,-1.73,2022
Cleveland State,-1.78,2022
Loyola Marymount,-1.93,2022
Wright State,-1.94,2022
Jacksonville,-2.06,2022
Gardner-Webb,-2.35,2022
UNC Greensboro,-2.47,2022
VMI,-2.47,2022
Louisiana,-2.71,2022
Rice,-2.74,2022
East Tennessee State,-2.76,2022
Navy,-2.94,2022
Samford,-3.01,2022
South Florida,-3.05,2022
Florida Gulf Coast,-3.07,2022
Niagara,-3.09,2022
Tarleton State,-3.18,2022
Northern Kentucky,-3.19,2022
Arkansas State,-3.27,2022
Texas Southern,-3.3,2022
Brown,-3.32,2022
San Diego,-3.32,2022
Cornell,-3.41,2022
Mercer,-3.41,2022
Indiana State,-3.49,2022
La Salle,-3.5,2022
California Baptist,-3.53,2022
Troy,-3.56,2022
Nicholls State,-3.62,2022
UC Davis,-3.7,2022
Bellarmine,-3.77,2022
Fairfield,-3.88,2022
Norfolk State,-3.91,2022
Pennsylvania,-3.93,2022
George Washington,-4.07,2022
Dartmouth,-4.12,2022
James Madison,-4.13,2022
Marist,-4.26,2022
South Dakota,-4.43,2022
Kennesaw State,-4.51,2022
UNC Asheville,-4.52,2022
Northern Colorado,-4.53,2022
Marshall,-4.57,2022
Harvard,-4.68,2022
Bryant,-4.8,2022
Campbell,-4.84,2022
Boston University,-5.07,2022
Southern,-5.17,2022
Eastern Washington,-5.2,2022
Kansas City,-5.49,2022
UT Arlington,-5.49,2022
Quinnipiac,-5.56,2022
Purdue Fort Wayne,-5.59,2022
Air Force,-5.67,2022
Rider,-5.87,2022
Northeastern,-6.0,2022
Maryland-Baltimore County,-6.06,2022
Elon,-6.15,2022
Youngstown State,-6.28,2022
New Hampshire,-6.32,2022
Detroit Mercy,-6.33,2022
Duquesne,-6.34,2022
Western Illinois,-6.34,2022
Miami (OH),-6.35,2022
Siena,-6.4,2022
Florida International,-6.47,2022
Montana,-6.48,2022
High Point,-6.53,2022
Stony Brook,-6.63,2022
Eastern Kentucky,-6.75,2022
Howard,-6.76,2022
Texas A&M-Corpus Christi,-6.78,2022
The Citadel,-6.8,2022
San Jose State,-7.01,2022
Georgia Southern,-7.04,2022
Pepperdine,-7.04,2022
UC San Diego,-7.04,2022
Massachusetts-Lowell,-7.08,2022
Southeast Missouri State,-7.19,2022
Tennessee Tech,-7.27,2022
Canisius,-7.48,2022
Cal State Bakersfield,-7.57,2022
Long Island University,-7.62,2022
Manhattan,-7.64,2022
Portland State,-7.7,2022
New Orleans,-7.88,2022
Ball State,-7.99,2022
Pacific,-8.02,2022
Mount St. Mary's,-8.2,2022
North Florida,-8.35,2022
Loyola (MD),-8.4,2022
Lipscomb,-8.42,2022
Presbyterian,-8.47,2022
Utah Tech,-8.53,2022
Alcorn State,-8.68,2022
Louisiana-Monroe,-8.7,2022
Illinois-Chicago,-8.78,2022
Bowling Green,-8.82,2022
South Carolina Upstate,-9.01,2022
Southeastern Louisiana,-9.03,2022
Radford,-9.23,2022
Tennessee State,-9.34,2022
Albany (NY),-9.8,2022
North Carolina A&T,-9.91,2022
Austin Peay,-10.02,2022
Hartford,-10.03,2022
Jackson State,-10.1,2022
Denver,-10.12,2022
Texas-Rio Grande Valley,-10.18,2022
Stetson,-10.34,2022
SIU Edwardsville,-10.37,2022
Binghamton,-10.41,2022
UTSA,-10.46,2022
