team,srs,season
Villanova,24.08,2016
Kansas,23.87,2016
North Carolina,23.44,2016
Michigan State,22.59,2016
Virginia,22.04,2016
West Virginia,21.61,2016
Louisville,21.57,2016
Kentucky,20.23,2016
Purdue,20.17,2016
Oklahoma,19.76,2016
Indiana,19.59,2016
Duke,19.23,2016
Arizona,18.79,2016
Xavier,18.58,2016
Miami (FL),18.52,2016
Texas A&M,18.45,2016
Southern Methodist,18.42,2016
Oregon,18.05,2016
Wichita State,17.39,2016
Vanderbilt,17.2,2016
Iowa,17.01,2016
Iowa State,16.93,2016
Gonzaga,16.92,2016
Maryland,16.71,2016
Butler,16.46,2016
Baylor,16.13,2016
Connecticut,15.89,2016
Utah,15.5,2016
Pittsburgh,15.47,2016
California,15.39,2016
Cincinnati,15.19,2016
Texas,14.8,2016
Florida,14.69,2016
Seton Hall,14.66,2016
Syracuse,14.62,2016
Notre Dame,14.1,2016
Virginia Commonwealth,13.83,2016
Michigan,13.75,2016
Creighton,13.69,2016
Saint Mary's (CA),13.6,2016
Southern California,13.52,2016
Wisconsin,13.4,2016
Georgia Tech,12.51,2016
Texas Tech,12.41,2016
Brigham Young,12.36,2016
Kansas State,12.31,2016
Florida State,12.16,2016
Saint Joseph's,12.1,2016
Colorado,12.04,2016
Clemson,12.03,2016
South Carolina,12.01,2016
Providence,11.94,2016
San Diego State,11.89,2016
George Washington,11.43,2016
Dayton,11.34,2016
Washington,11.21,2016
Valparaiso,10.71,2016
UCLA,10.48,2016
Oregon State,10.39,2016
Georgetown,10.31,2016
Houston,10.3,2016
Arkansas,10.23,2016
Northwestern,10.16,2016
Virginia Tech,9.93,2016
Memphis,9.84,2016
NC State,9.83,2016
Tulsa,9.79,2016
Georgia,9.41,2016
Ohio State,9.39,2016
Stephen F. Austin,9.23,2016
Yale,9.08,2016
Hawaii,9.03,2016
Nebraska,8.84,2016
Louisiana State,8.79,2016
Northern Iowa,8.78,2016
Arizona State,8.28,2016
Mississippi State,8.18,2016
Oklahoma State,8.18,2016
Evansville,8.1,2016
Stanford,8.06,2016
Rhode Island,7.92,2016
Mississippi,7.91,2016
Tennessee,7.8,2016
Temple,7.69,2016
Marquette,7.66,2016
Richmond,7.28,2016
Boise State,7.23,2016
Princeton,7.17,2016
Alabama,7.14,2016
Little Rock,7.12,2016
St. Bonaventure,6.55,2016
Oakland,6.3,2016
UNC Wilmington,6.25,2016
James Madison,6.17,2016
Davidson,5.74,2016
William & Mary,5.57,2016
Akron,5.55,2016
Wake Forest,5.53,2016
Nevada-Las Vegas,5.5,2016
South Dakota State,5.44,2016
UC Irvine,5.33,2016
Monmouth,5.29,2016
Fresno State,5.27,2016
New Mexico,5.21,2016
Hofstra,5.02,2016
UT Arlington,5.02,2016
Old Dominion,4.66,2016
Illinois,4.39,2016
Long Beach State,4.09,2016
TCU,4.07,2016
UC Santa Barbara,3.79,2016
Stony Brook,3.75,2016
Iona,3.59,2016
New Mexico State,3.59,2016
UAB,3.5,2016
Columbia,3.45,2016
Illinois State,3.4,2016
Chattanooga,3.24,2016
Penn State,3.17,2016
Toledo,2.96,2016
Milwaukee,2.89,2016
Nevada,2.85,2016
Southern Illinois,2.79,2016
Utah State,2.68,2016
Middle Tennessee,2.66,2016
Louisiana,2.62,2016
Cal State Bakersfield,2.58,2016
Missouri,2.5,2016
College of Charleston,2.37,2016
Pepperdine,2.33,2016
Colorado State,2.31,2016
Ohio,1.9,2016
Fordham,1.87,2016
Siena,1.73,2016
Northeastern,1.6,2016
Grand Canyon,1.43,2016
Duquesne,1.41,2016
Buffalo,1.34,2016
Belmont,1.19,2016
Green Bay,1.16,2016
UNC Asheville,1.1,2016
Morehead State,1.04,2016
Albany (NY),0.93,2016
Minnesota,0.86,2016
DePaul,0.83,2016
Marshall,0.83,2016
