team,srs,season
Alabama,23.19,2023
Connecticut,22.95,2023
Houston,22.2,2023
UCLA,22.11,2023
Tennessee,20.84,2023
Texas,20.56,2023
Kansas,19.2,2023
Arizona,19.08,2023
Gonzaga,18.99,2023
Purdue,18.23,2023
Creighton,17.83,2023
Saint Mary's (CA),17.41,2023
Baylor,17.3,2023
Marquette,17.07,2023
Xavier,16.03,2023
Arkansas,15.99,2023
West Virginia,15.95,2023
Duke,15.83,2023
San Diego State,15.81,2023
Kansas State,15.79,2023
TCU,15.61,2023
Iowa State,15.36,2023
Indiana,14.94,2023
Illinois,14.81,2023
Kentucky,14.76,2023
Maryland,14.58,2023
Rutgers,14.58,2023
Memphis,14.5,2023
Auburn,14.35,2023
Michigan State,14.25,2023
Utah State,14.23,2023
Iowa,14.08,2023
Miami (FL),13.98,2023
Florida Atlantic,13.92,2023
Oregon,13.83,2023
Texas A&M,13.76,2023
Northwestern,13.68,2023
Virginia,13.28,2023
Southern California,13.06,2023
Penn State,13.04,2023
Ohio State,12.99,2023
North Carolina,12.94,2023
Providence,12.89,2023
Boise State,12.78,2023
Oklahoma State,12.62,2023
Texas Tech,12.58,2023
NC State,12.5,2023
Michigan,12.43,2023
Cincinnati,11.77,2023
Mississippi State,11.43,2023
Missouri,11.41,2023
Oklahoma,11.38,2023
Utah,11.34,2023
Arizona State,11.29,2023
Colorado,11.17,2023
UCF,11.09,2023
Seton Hall,11.0,2023
Wisconsin,10.98,2023
UAB,10.96,2023
Florida,10.9,2023
New Mexico,10.82,2023
North Texas,10.71,2023
Villanova,10.61,2023
Pittsburgh,10.59,2023
Clemson,10.53,2023
Washington State,10.53,2023
Nevada,10.01,2023
Virginia Commonwealth,9.89,2023
Stanford,9.64,2023
Brigham Young,9.43,2023
Virginia Tech,9.36,2023
Vanderbilt,8.98,2023
Dayton,8.71,2023
St. John's (NY),8.64,2023
Oral Roberts,8.55,2023
Santa Clara,8.55,2023
Utah Valley,8.48,2023
College of Charleston,8.4,2023
Liberty,8.36,2023
Wake Forest,8.25,2023
Drake,7.84,2023
Yale,7.81,2023
Iona,7.61,2023
Kent State,7.53,2023
Nevada-Las Vegas,7.2,2023
Sam Houston,7.15,2023
Marshall,7.13,2023
Nebraska,7.12,2023
Washington,6.78,2023
Bradley,6.51,2023
Saint Louis,6.04,2023
San Francisco,6.0,2023
Butler,5.85,2023
Wichita State,5.78,2023
Toledo,5.76,2023
Mississippi,5.73,2023
Colorado State,5.64,2023
Tulane,5.46,2023
Syracuse,5.39,2023
San Jose State,5.17,2023
Loyola Marymount,4.98,2023
Hofstra,4.96,2023
James Madison,4.96,2023
Furman,4.89,2023
Indiana State,4.86,2023
Princeton,4.76,2023
Temple,4.68,2023
Grand Canyon,4.43,2023
Louisiana,4.27,2023
Akron,4.19,2023
UC Irvine,4.16,2023
Charlotte,3.9,2023
South Alabama,3.58,2023
Duquesne,3.48,2023
Southern Utah,3.39,2023
Louisiana State,3.32,2023
Southern Mississippi,3.31,2023
UC Santa Barbara,3.3,2023
Middle Tennessee,2.95,2023
DePaul,2.9,2023
Fresno State,2.6,2023
Hawaii,2.36,2023
Fordham,2.26,2023
Colgate,2.2,2023
Montana State,2.18,2023
