team,srs,season
Stetson,-6.13,2013
Central Michigan,-6.15,2013
Eastern Michigan,-6.25,2013
Brown,-6.32,2013
Marist,-6.33,2013
North Texas,-6.38,2013
Texas State,-6.39,2013
Western Carolina,-6.42,2013
Sam Houston,-6.48,2013
UTSA,-6.48,2013
Cal State Bakersfield,-6.49,2013
Miami (OH),-6.62,2013
Ball State,-6.7,2013
Wofford,-6.71,2013
Fordham,-6.88,2013
North Carolina A&T,-6.93,2013
Pennsylvania,-6.95,2013
Purdue Fort Wayne,-6.99,2013
North Florida,-7.09,2013
Cornell,-7.25,2013
Cleveland State,-7.33,2013
South Dakota,-7.5,2013
Northern Kentucky,-7.55,2013
Old Dominion,-7.56,2013
Northern Colorado,-7.76,2013
Appalachian State,-7.88,2013
Central Connecticut State,-8.23,2013
New Hampshire,-8.24,2013
NJIT,-8.34,2013
American,-8.55,2013
Winthrop,-8.57,2013
North Dakota,-8.66,2013
Colgate,-8.72,2013
Troy,-8.75,2013
Eastern Illinois,-8.92,2013
Saint Peter's,-9.04,2013
Liberty,-9.11,2013
Dartmouth,-9.2,2013
Hampton,-9.32,2013
UNC Greensboro,-9.38,2013
San Jose State,-9.43,2013
Sacramento State,-9.5,2013
Bethune-Cookman,-9.51,2013
Maine,-9.55,2013
Tennessee Tech,-9.58,2013
Georgia Southern,-9.62,2013
Sacred Heart,-9.75,2013
Samford,-10.02,2013
UNC Wilmington,-10.07,2013
Jacksonville,-10.2,2013
Campbell,-10.23,2013
Siena,-10.23,2013
Milwaukee,-10.31,2013
Chattanooga,-10.43,2013
Nicholls State,-10.56,2013
Southeastern Louisiana,-10.67,2013
Hofstra,-10.74,2013
Radford,-10.83,2013
Eastern Washington,-10.87,2013
Central Arkansas,-10.89,2013
Portland State,-10.94,2013
Montana State,-11.0,2013
Rice,-11.13,2013
SIU Edwardsville,-11.17,2013
Delaware State,-11.18,2013
Navy,-11.29,2013
VMI,-11.36,2013
Utah Valley,-11.39,2013
Lipscomb,-11.41,2013
McNeese State,-11.5,2013
East Tennessee State,-11.53,2013
Texas A&M-Corpus Christi,-11.78,2013
Chicago State,-11.79,2013
UC Riverside,-11.81,2013
Northern Illinois,-12.0,2013
Monmouth,-12.01,2013
Southern Utah,-12.14,2013
Northern Arizona,-12.15,2013
Arkansas-Pine Bluff,-12.21,2013
Austin Peay,-12.31,2013
Maryland-Baltimore County,-12.48,2013
Coppin State,-12.64,2013
Idaho State,-13.08,2013
Texas-Rio Grande Valley,-13.37,2013
Kansas City,-13.61,2013
Louisiana-Monroe,-13.95,2013
Alcorn State,-14.27,2013
Howard,-14.41,2013
Jackson State,-14.82,2013
Kennesaw State,-15.13,2013
Saint Francis (PA),-15.15,2013
Omaha,-15.19,2013
Houston Christian,-15.25,2013
Prairie View,-15.63,2013
IU Indy,-15.92,2013
Florida A&M,-16.11,2013
Tennessee-Martin,-16.54,2013
The Citadel,-16.96,2013
Furman,-17.42,2013
Presbyterian,-17.43,2013
Alabama State,-17.9,2013
FDU,-17.99,2013
South Carolina State,-18.14,2013
Alabama A&M,-18.41,2013
Binghamton,-18.51,2013
Mississippi Valley State,-19.14,2013
Longwood,-19.32,2013
Maryland-Eastern Shore,-19.66,2013
Lamar,-20.56,2013
New Orleans,-21.28,2013
Grambling,-35.87,2013
