team,seed,region,R64,R32,S16,E8,F4,Champ,champ_pct
Virginia,1,East,0.9924,0.9158,0.7842,0.5423,0.383,0.2264,0.2264
Gonzaga,1,West,0.9939,0.9206,0.7673,0.5795,0.3597,0.2237,0.2237
Duke,1,South,0.9938,0.9157,0.7666,0.5586,0.3245,0.1847,0.1847
Michigan State,2,East,0.9811,0.8425,0.6381,0.3076,0.189,0.0946,0.0946
North Carolina,1,Midwest,0.9921,0.8576,0.6084,0.3744,0.1681,0.0741,0.0741
Michigan,2,West,0.981,0.7598,0.5789,0.2363,0.1113,0.0472,0.0472
Kentucky,2,Midwest,0.9662,0.7677,0.4307,0.2188,0.0824,0.0323,0.0323
Texas Tech,3,Midwest,0.9599,0.7355,0.4205,0.2193,0.0821,0.0314,0.0314
Tennessee,2,South,0.9757,0.7332,0.4341,0.1733,0.0712,0.0255,0.0255
Purdue,3,South,0.9265,0.7242,0.3937,0.1481,0.0568,0.0187,0.0187
Virginia Tech,4,Midwest,0.9188,0.5465,0.204,0.0872,0.0249,0.0081,0.0081
Auburn,5,West,0.7685,0.5319,0.136,0.0643,0.0214,0.0065,0.0065
Houston,3,East,0.9118,0.5385,0.1752,0.0477,0.018,0.005,0.005
Florida St.,4,East,0.8968,0.6211,0.1329,0.0444,0.015,0.003,0.003
Wisconsin,5,Midwest,0.8041,0.3998,0.1407,0.0565,0.0146,0.0029,0.0029
LSU,3,West,0.8963,0.5217,0.1699,0.0378,0.0111,0.0027,0.0027
Kansas,4,South,0.862,0.5091,0.117,0.0478,0.0103,0.0026,0.0026
Iowa State,6,East,0.8629,0.4272,0.1295,0.0303,0.01,0.0022,0.0022
Mississippi State,5,South,0.8235,0.4258,0.0864,0.03,0.0067,0.0016,0.0016
Buffalo,6,West,0.7942,0.4139,0.1186,0.0231,0.0062,0.0015,0.0015
Louisville,7,West,0.7581,0.2092,0.1164,0.0263,0.0071,0.001,0.001
Kansas State,4,West,0.8368,0.3444,0.0594,0.0223,0.0044,0.0008,0.0008
Maryland,6,Midwest,0.6411,0.1895,0.0677,0.0172,0.0028,0.0006,0.0006
Nevada,7,South,0.5426,0.1523,0.0583,0.015,0.0028,0.0005,0.0005
Wofford,7,East,0.6582,0.1156,0.0444,0.008,0.0024,0.0005,0.0005
Marquette,5,East,0.6968,0.2834,0.0432,0.0107,0.0023,0.0005,0.0005
Villanova,6,South,0.7105,0.2105,0.0665,0.0125,0.0018,0.0004,0.0004
Florida,10,South,0.4574,0.1127,0.0394,0.008,0.0019,0.0003,0.0003
Syracuse,8,Midwest,0.5337,0.0784,0.0226,0.0044,0.0003,0.0002,0.0002
Mississippi,8,South,0.5324,0.0481,0.0164,0.0047,0.0007,0.0001,0.0001
Ohio State,11,Midwest,0.3589,0.07,0.018,0.0037,0.0003,0.0001,0.0001
Cincinnati,7,Midwest,0.5415,0.1301,0.0363,0.0088,0.0021,0.0001,0.0001
VCU,8,East,0.4491,0.0336,0.0115,0.0018,0.0005,0.0001,0.0001
Oregon,12,West,0.2315,0.1002,0.0106,0.0029,0.0004,0.0001,0.0001
Seton Hall,10,West,0.2419,0.0297,0.01,0.0012,0.0005,0.0,0.0
Saint Mary's,11,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Louis,13,Midwest,0.0812,0.0103,0.0007,0.0,0.0,0.0,0.0
St. John's,11,East,0.1371,0.0221,0.0017,0.0002,0.0,0.0,0.0
Abilene Christian,15,South,0.0243,0.0018,0.0001,0.0,0.0,0.0,0.0
Temple,11,West,0.2058,0.0484,0.0048,0.0003,0.0,0.0,0.0
UC Irvine,13,West,0.1632,0.0235,0.0014,0.0,0.0,0.0,0.0
Prairie View A&M,16,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah State,8,West,0.4988,0.0407,0.0124,0.0032,0.0004,0.0,0.0
Vermont,13,South,0.138,0.0268,0.0021,0.0002,0.0,0.0,0.0
Washington,9,South,0.4676,0.0353,0.0093,0.0011,0.0,0.0,0.0
UCF,9,West,0.5012,0.0384,0.0129,0.0028,0.0008,0.0,0.0
Murray State,12,East,0.3032,0.0753,0.0067,0.001,0.0002,0.0,0.0
Old Dominion,14,West,0.1037,0.016,0.0014,0.0,0.0,0.0,0.0
Iowa,10,Midwest,0.4585,0.0994,0.0265,0.0051,0.0008,0.0,0.0
Baylor,9,Midwest,0.4663,0.0636,0.0179,0.0038,0.0004,0.0,0.0
Belmont,11,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bradley,15,West,0.019,0.0013,0.0,0.0,0.0,0.0,0.0
Colgate,15,Midwest,0.0338,0.0028,0.0,0.0,0.0,0.0,0.0
Fairleigh Dickinson,16,Midwest,0.0079,0.0004,0.0,0.0,0.0,0.0,0.0
Gardner Webb,16,East,0.0076,0.0003,0.0,0.0,0.0,0.0,0.0
Georgia State,14,Midwest,0.0401,0.005,0.0003,0.0001,0.0,0.0,0.0
Iona,16,West,0.0061,0.0003,0.0,0.0,0.0,0.0,0.0
Liberty,12,South,0.1765,0.0383,0.0021,0.0003,0.0,0.0,0.0
Oklahoma,9,East,0.5509,0.0503,0.0206,0.0046,0.0008,0.0,0.0
Minnesota,10,East,0.3418,0.0402,0.0101,0.0014,0.0,0.0,0.0
Montana,15,East,0.0189,0.0017,0.0,0.0,0.0,0.0,0.0
Arizona State,11,South,0.2895,0.0471,0.006,0.0004,0.0,0.0,0.0
New Mexico State,12,Midwest,0.1959,0.0434,0.0057,0.0007,0.0,0.0,0.0
North Carolina Central,16,?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota State,16,South,0.0062,0.0009,0.0001,0.0,0.0,0.0,0.0
Northeastern,13,East,0.1032,0.0202,0.0009,0.0,0.0,0.0,0.0
Northern Kentucky,14,East,0.0882,0.0122,0.001,0.0,0.0,0.0,0.0
Yale,14,South,0.0735,0.0182,0.0019,0.0,0.0,0.0,0.0
