team,barttorvik_adj_em,season
B12,0,2008
CUSA,3,2008
P10,3,2008
ACC,-25,2008
B10,35,2008
BE,35,2008
ACC,0,2008
B12,-38,2008
BE,26,2008
P10,19,2008
P10,24,2008
BE,5,2008
ACC,18,2008
SC,-9,2008
SEC,-6,2008
A10,-24,2008
B10,-10,2008
B12,18,2008
BE,-4,2008
B12,-17,2008
MVC,-92,2008
B10,38,2008
BE,-60,2008
BE,-43,2008
P10,-51,2008
WCC,1,2008
BE,-43,2008
Horz,-32,2008
P10,41,2008
B10,-32,2008
MWC,31,2008
B10,52,2008
ACC,108,2008
SEC,57,2008
MWC,95,2008
B12,67,2008
ACC,-20,2008
SEC,-4,2008
SEC,-99,2008
B12,-118,2008
P10,-163,2008
B10,83,2008
MWC,18,2008
BE,-34,2008
WCC,46,2008
BE,35,2008
B12,43,2008
SB,-11,2008
A10,-92,2008
B12,-39,2008
SEC,-79,2008
ACC,-85,2008
ACC,38,2008
SEC,-53,2008
P10,10,2008
ACC,39,2008
A10,-11,2008
MVC,97,2008
MVC,105,2008
MAC,66,2008
B12,6,2008
B10,18,2008
P10,-8,2008
CUSA,-16,2008
P10,-173,2008
A10,-69,2008
ACC,52,2008
SEC,37,2008
CAA,135,2008
CUSA,-120,2008
A10,-41,2008
CUSA,57,2008
MVC,33,2008
SB,-75,2008
MWC,-40,2008
SEC,-61,2008
A10,-156,2008
MVC,-105,2008
Sum,-183,2008
MAC,-37,2008
Sum,137,2008
A10,-4,2008
MVC,-11,2008
ACC,-99,2008
BE,-58,2008
CAA,-35,2008
MAC,19,2008
B12,47,2008
A10,117,2008
SEC,96,2008
WAC,-14,2008
MWC,93,2008
MAC,24,2008
MAAC,-28,2008
SEC,-69,2008
CUSA,-61,2008
ACC,-63,2008
BW,-113,2008
SEC,56,2008
CUSA,-35,2008
ACC,-31,2008
MAC,-35,2008
CUSA,38,2008
BE,-170,2008
BE,74,2008
Horz,137,2008
WAC,-69,2008
BE,-9,2008
Slnd,11,2008
SC,-47,2008
BSth,235,2008
WCC,143,2008
BE,-124,2008
B12,45,2008
B12,148,2008
Horz,58,2008
Horz,90,2008
CAA,-27,2008
BSky,-84,2008
WAC,-235,2008
MVC,-3,2008
B10,76,2008
B10,-79,2008
Horz,-58,2008
SB,-25,2008
Ivy,-125,2008
MAAC,-84,2008
SEC,-160,2008
Sum,-36,2008
BW,130,2008
CUSA,-44,2008
MVC,-11,2008
WAC,-72,2008
B10,197,2008
NEC,69,2008
BW,101,2008
Slnd,228,2008
SC,-29,2008
AE,-230,2008
BE,209,2008
Ivy,-105,2008
MWC,142,2008
A10,-121,2008
A10,121,2008
ASun,-101,2008
MAAC,-72,2008
Sum,-232,2008
MVC,-4,2008
Horz,-75,2008
BW,-85,2008
CAA,64,2008
A10,30,2008
A10,118,2008
MAAC,-47,2008
Pat,-106,2008
SC,-55,2008
BSky,-49,2008
WCC,136,2008
CAA,-139,2008
BW,-19,2008
Horz,104,2008
Slnd,-173,2008
CUSA,64,2008
OVC,-27,2008
SC,76,2008
SC,-85,2008
A10,68,2008
MAAC,-131,2008
SB,-48,2008
NEC,72,2008
Pat,56,2008
MWC,68,2008
AE,-23,2008
MEAC,127,2008
B10,-100,2008
BE,201,2008
BSth,-135,2008
AE,40,2008
MAC,-93,2008
MAC,46,2008
MWC,18,2008
