team,barttorvik_adj_em,season
WCC,16,2017
ACC,0,2017
BE,-13,2017
SEC,20,2017
SEC,6,2017
B12,25,2017
ACC,46,2017
ACC,13,2017
B12,-24,2017
ACC,-37,2017
Amer,-19,2017
MVC,6,2017
B10,-61,2017
WCC,-9,2017
P12,-8,2017
Amer,19,2017
B10,3,2017
B12,-38,2017
B10,20,2017
B12,-148,2017
ACC,-39,2017
B12,-3,2017
P12,-87,2017
P12,-22,2017
SEC,79,2017
BE,-38,2017
ACC,-8,2017
BE,-3,2017
SEC,19,2017
BE,-122,2017
ACC,-153,2017
B12,16,2017
ACC,40,2017
A10,27,2017
BE,-37,2017
B10,51,2017
B10,15,2017
B12,-26,2017
B10,22,2017
MVC,84,2017
ACC,-51,2017
B10,-26,2017
B10,-66,2017
ACC,-137,2017
ACC,-79,2017
CUSA,-1,2017
Amer,-28,2017
SEC,-59,2017
B12,2,2017
A10,-1,2017
BE,60,2017
BE,31,2017
P12,-37,2017
SEC,147,2017
MWC,-72,2017
SEC,43,2017
SEC,24,2017
Ivy,56,2017
B12,79,2017
Amer,152,2017
A10,46,2017
P12,-68,2017
CAA,-187,2017
AE,-7,2017
SEC,50,2017
B10,-31,2017
P12,154,2017
B10,-70,2017
ACC,-76,2017
BE,50,2017
SC,39,2017
MWC,153,2017
A10,0,2017
B10,102,2017
B12,149,2017
SEC,-39,2017
Pat,6,2017
SEC,-107,2017
ACC,253,2017
WAC,225,2017
P12,-87,2017
WCC,-5,2017
SB,-26,2017
MWC,-12,2017
WCC,158,2017
MWC,-49,2017
MAAC,25,2017
A10,-91,2017
MAAC,157,2017
Amer,57,2017
MWC,112,2017
WAC,-80,2017
CUSA,22,2017
A10,2,2017
B10,117,2017
MAC,51,2017
MVC,-9,2017
ACC,-159,2017
B10,75,2017
P12,91,2017
BE,-57,2017
MAC,-156,2017
SEC,88,2017
OVC,-94,2017
Amer,-50,2017
CAA,60,2017
Amer,17,2017
SC,5,2017
Horz,77,2017
Horz,57,2017
MWC,35,2017
Ivy,5,2017
ASun,-80,2017
BSth,14,2017
SC,22,2017
MVC,-113,2017
CAA,52,2017
BW,127,2017
CUSA,201,2017
AE,-66,2017
MAC,-91,2017
MVC,-11,2017
WCC,4,2017
Pat,-29,2017
P12,-182,2017
MAAC,-146,2017
A10,-71,2017
MWC,32,2017
BSth,18,2017
SB,86,2017
WAC,163,2017
B10,152,2017
CAA,-223,2017
SC,-66,2017
SB,3,2017
MWC,-44,2017
A10,-59,2017
SB,-146,2017
SC,-148,2017
ACC,30,2017
A10,-167,2017
MAC,40,2017
