team,barttorvik_adj_em,season
ACC,-5,2010
B12,-9,2010
BE,-8,2010
SEC,15,2010
B10,-14,2010
B12,-4,2010
B12,-44,2010
BE,-13,2010
B10,-1,2010
B10,66,2010
MWC,-29,2010
B12,30,2010
P10,-77,2010
Horz,56,2010
ACC,-59,2010
BE,-41,2010
ACC,33,2010
A10,-39,2010
A10,81,2010
BE,-54,2010
B12,21,2010
B12,-6,2010
B10,1,2010
WAC,-42,2010
B10,-16,2010
BE,-28,2010
MVC,57,2010
P10,8,2010
B12,-20,2010
BE,-120,2010
ACC,45,2010
ACC,142,2010
SEC,52,2010
MWC,20,2010
CUSA,72,2010
BE,17,2010
A10,95,2010
WCC,-1,2010
CAA,75,2010
SEC,-36,2010
SEC,21,2010
WCC,-73,2010
P10,15,2010
MWC,-1,2010
MWC,-65,2010
ACC,57,2010
BE,-66,2010
A10,38,2010
Ivy,-149,2010
SEC,-50,2010
CAA,-61,2010
CUSA,-96,2010
SEC,-40,2010
ACC,67,2010
B10,27,2010
BE,61,2010
BE,54,2010
ACC,-65,2010
SEC,25,2010
CUSA,122,2010
P10,248,2010
BE,-77,2010
MVC,1,2010
A10,-89,2010
ACC,-58,2010
MAAC,11,2010
OVC,42,2010
BE,65,2010
Horz,10,2010
B12,42,2010
ACC,54,2010
B12,0,2010
MVC,-74,2010
BE,41,2010
ACC,82,2010
B10,49,2010
CUSA,-43,2010
B12,-149,2010
SC,97,2010
WAC,-144,2010
SEC,-83,2010
CUSA,19,2010
CAA,80,2010
BE,-246,2010
CUSA,-138,2010
B10,-185,2010
SEC,46,2010
SEC,-101,2010
ACC,53,2010
A10,191,2010
B12,20,2010
Slnd,-102,2010
P10,-24,2010
WCC,-84,2010
BW,66,2010
B12,-132,2010
CUSA,94,2010
MVC,28,2010
B10,-49,2010
P10,5,2010
MAC,44,2010
MAC,-21,2010
OVC,38,2010
A10,-56,2010
Sum,-86,2010
MVC,-73,2010
P10,-41,2010
MVC,-28,2010
P10,-63,2010
SEC,9,2010
MAC,18,2010
MAAC,173,2010
A10,69,2010
WAC,-181,2010
P10,1,2010
MVC,-34,2010
MAAC,-25,2010
CAA,98,2010
Ivy,-60,2010
WAC,47,2010
CAA,-116,2010
AE,45,2010
Horz,-29,2010
Ivy,210,2010
MAAC,-6,2010
P10,163,2010
Horz,-65,2010
BSky,-8,2010
ASun,45,2010
MWC,108,2010
SB,-45,2010
BSky,-101,2010
A10,-57,2010
CUSA,-68,2010
SC,-149,2010
BSky,15,2010
Horz,136,2010
BW,131,2010
SC,-204,2010
SC,-31,2010
Sum,-114,2010
A10,43,2010
BSth,89,2010
MVC,-156,2010
MVC,11,2010
BW,98,2010
Slnd,66,2010
AE,12,2010
Horz,-82,2010
MWC,-112,2010
MAC,-80,2010
Sum,64,2010
CAA,136,2010
CAA,13,2010
MWC,105,2010
WAC,-40,2010
ASun,89,2010
WAC,45,2010
MAC,-2,2010
A10,-68,2010
BE,-21,2010
SB,48,2010
BE,74,2010
WCC,-178,2010
CUSA,-2,2010
ASun,135,2010
ASun,65,2010
SEC,124,2010
MEAC,-60,2010
AE,-5,2010
MAC,-127,2010
B10,7,2010
MAAC,282,2010
OVC,-242,2010
A10,25,2010
SB,-139,2010
Pat,-115,2010
Slnd,-108,2010
MAC,-11,2010
SB,-22,2010
SB,-91,2010
WAC,124,2010
NEC,58,2010
Horz,-266,2010
Slnd,102,2010
A10,-13,2010
B10,-6,2010
MAAC,93,2010
ind,84,2010
NEC,186,2010
WCC,97,2010
WAC,-258,2010
ASun,-245,2010
SC,-63,2010
SB,59,2010
MAAC,-48,2010
SC,13,2010
WCC,5,2010
NEC,-78,2010
MAC,60,2010
MAC,-14,2010
MAAC,10,2010
MVC,62,2010
OVC,-123,2010
CAA,24,2010
ASun,-219,2010
OVC,10,2010
Slnd,-33,2010
Sum,-163,2010
Horz,-56,2010
BSky,-81,2010
MAAC,2,2010
CUSA,165,2010
Slnd,32,2010
CAA,-27,2010
BSky,-284,2010
SB,17,2010
SB,-94,2010
Sum,76,2010
CUSA,-94,2010
BW,-75,2010
MAC,186,2010
BSth,164,2010
MEAC,159,2010
CAA,44,2010
CUSA,106,2010
AE,198,2010
BW,-34,2010
Pat,-121,2010
Horz,-9,2010
Pat,9,2010
MWC,9,2010
BSky,9,2010
BSth,254,2010
Pat,-163,2010
MAC,27,2010
Horz,63,2010
SWAC,230,2010
WCC,65,2010
MWC,48,2010
SC,43,2010
BW,29,2010
CAA,-160,2010
WAC,-69,2010
SC,-89,2010
BW,71,2010
SC,41,2010
SC,48,2010
SWAC,100,2010
OVC,-189,2010
Sum,58,2010
SB,61,2010
GWC,-12,2010
Pat,256,2010
Slnd,50,2010
BW,-152,2010
SC,31,2010
Slnd,-62,2010
Sum,167,2010
OVC,-4,2010
BW,-114,2010
Ivy,21,2010
Slnd,-112,2010
MEAC,25,2010
CAA,-61,2010
MEAC,-4,2010
