team,barttorvik_adj_em,season
BE,-14,2018
ACC,29,2018
ACC,-4,2018
B10,-32,2018
Amer,54,2018
B12,-38,2018
B10,31,2018
B12,-28,2018
B10,-6,2018
BE,-50,2018
ACC,-42,2018
SEC,30,2018
WCC,-6,2018
B12,45,2018
B10,6,2018
B10,18,2018
SEC,13,2018
Amer,15,2018
BE,-7,2018
SEC,-9,2018
ACC,44,2018
BE,-52,2018
BE,-38,2018
B12,-86,2018
Amer,-137,2018
SEC,-10,2018
SEC,41,2018
ACC,7,2018
ACC,1,2018
B12,70,2018
ACC,-47,2018
B12,70,2018
B12,3,2018
B10,-16,2018
P12,-77,2018
MWC,56,2018
SEC,-79,2018
ACC,12,2018
WCC,-121,2018
BE,-154,2018
MVC,39,2018
B12,36,2018
MWC,-129,2018
SEC,24,2018
P12,-33,2018
B12,-52,2018
ACC,129,2018
SEC,14,2018
ACC,-46,2018
B10,33,2018
A10,-116,2018
ACC,-89,2018
CUSA,25,2018
P12,-4,2018
P12,-106,2018
MWC,43,2018
SEC,73,2018
CUSA,-60,2018
BE,56,2018
SEC,84,2018
Sum,-62,2018
A10,24,2018
P12,-68,2018
WAC,97,2018
CUSA,81,2018
MAC,-112,2018
BE,111,2018
SB,-44,2018
SEC,-112,2018
BE,-38,2018
B10,23,2018
B10,20,2018
MWC,31,2018
SEC,140,2018
P12,-27,2018
B10,6,2018
A10,-6,2018
OVC,-37,2018
Sum,27,2018
ACC,-98,2018
P12,39,2018
B10,-57,2018
ACC,-51,2018
B12,-36,2018
WCC,57,2018
SC,166,2018
OVC,-106,2018
B10,-205,2018
BSky,54,2018
Amer,27,2018
BE,146,2018
SEC,-171,2018
Horz,61,2018
Amer,21,2018
SC,-1,2018
Slnd,119,2018
SB,-28,2018
Amer,-26,2018
P12,62,2018
WAC,-43,2018
Pat,-18,2018
MWC,-162,2018
AE,-102,2018
MVC,134,2018
BSky,33,2018
CAA,43,2018
B10,-28,2018
P12,12,2018
SEC,-95,2018
Ivy,127,2018
SC,130,2018
MWC,-100,2018
P12,81,2018
WAC,168,2018
CUSA,-53,2018
CUSA,-39,2018
ACC,120,2018
WCC,96,2018
MVC,-68,2018
A10,71,2018
MAC,-215,2018
Amer,286,2018
MVC,99,2018
BSky,-45,2018
BW,-138,2018
MWC,57,2018
B10,261,2018
A10,41,2018
Ivy,181,2018
A10,-1,2018
SB,43,2018
CUSA,-5,2018
BW,93,2018
ASun,-17,2018
MVC,262,2018
CAA,-48,2018
MAC,151,2018
Horz,205,2018
MWC,-31,2018
BW,203,2018
A10,149,2018
MVC,33,2018
CUSA,-45,2018
MVC,82,2018
WCC,127,2018
MVC,-26,2018
Amer,-98,2018
MVC,17,2018
ASun,71,2018
A10,-127,2018
MAAC,-40,2018
AE,-54,2018
MAAC,-157,2018
BSky,-114,2018
MAAC,-122,2018
OVC,149,2018
SB,-14,2018
CUSA,23,2018
CAA,-197,2018
SC,-232,2018
SC,-144,2018
MAC,-196,2018
MVC,106,2018
AE,76,2018
A10,10,2018
BSky,-108,2018
Horz,-71,2018
CAA,-297,2018
MAC,62,2018
Amer,-69,2018
BW,89,2018
OVC,-31,2018
A10,-138,2018
WAC,5,2018
BSky,-69,2018
WCC,-65,2018
Ivy,-52,2018
MAC,143,2018
SB,-43,2018
Sum,-140,2018
CAA,-10,2018
BSth,75,2018
BSth,-23,2018
BSth,-79,2018
Amer,-21,2018
Sum,12,2018
MAAC,26,2018
BSth,20,2018
Horz,118,2018
A10,-68,2018
MAC,123,2018
Slnd,55,2018
Slnd,20,2018
BW,146,2018
P12,-172,2018
MAC,-108,2018
Ivy,12,2018
NEC,42,2018
Pat,-70,2018
BW,-77,2018
A10,-151,2018
SB,-11,2018
Sum,5,2018
CUSA,-83,2018
Horz,124,2018
BSky,-80,2018
Slnd,47,2018
CUSA,138,2018
SB,41,2018
MAC,21,2018
A10,31,2018
SB,196,2018
SB,78,2018
MAAC,44,2018
SB,68,2018
AE,210,2018
Ivy,-217,2018
MAAC,248,2018
MAC,-32,2018
OVC,204,2018
MWC,-20,2018
Slnd,28,2018
BSth,-146,2018
AE,-12,2018
