team,barttorvik_adj_em,season
B10,-10,2011
B12,-2,2011
ACC,-3,2011
B12,19,2011
SEC,-15,2011
BE,-20,2011
B10,-62,2011
BE,-68,2011
B10,9,2011
MWC,24,2011
ACC,35,2011
B10,9,2011
BE,-5,2011
BE,45,2011
BE,3,2011
MWC,-27,2011
SEC,-25,2011
P10,-48,2011
BE,-18,2011
P10,-59,2011
B12,21,2011
WAC,47,2011
ACC,51,2011
BE,36,2011
MWC,39,2011
B10,4,2011
MVC,-20,2011
WCC,21,2011
BE,11,2011
ACC,35,2011
ACC,156,2011
SEC,-79,2011
BE,-41,2011
ASun,17,2011
BE,-37,2011
Horz,-1,2011
BE,-20,2011
A10,33,2011
CAA,-14,2011
ACC,37,2011
B12,-47,2011
SEC,111,2011
SEC,28,2011
P10,44,2011
B10,-31,2011
WCC,-127,2011
P10,63,2011
A10,-11,2011
A10,-18,2011
B10,-118,2011
SEC,30,2011
B10,35,2011
P10,32,2011
CAA,16,2011
ACC,-76,2011
MWC,-24,2011
BE,142,2011
B12,30,2011
B10,1,2011
A10,40,2011
CAA,-60,2011
B12,-193,2011
ACC,-183,2011
CUSA,88,2011
Sum,-214,2011
CUSA,30,2011
SC,-123,2011
MAAC,-112,2011
CUSA,-94,2011
Horz,6,2011
P10,-45,2011
B12,114,2011
SEC,-112,2011
MVC,-134,2011
B12,60,2011
P10,21,2011
ACC,76,2011
MWC,5,2011
B12,24,2011
B12,7,2011
B10,72,2011
Ivy,18,2011
BE,14,2011
SC,-136,2011
B10,-56,2011
MVC,-90,2011
Ivy,-109,2011
CUSA,-58,2011
CUSA,74,2011
SEC,-18,2011
CUSA,-4,2011
CAA,232,2011
WCC,-132,2011
ACC,-79,2011
WAC,-20,2011
MVC,106,2011
BW,6,2011
MVC,-63,2011
ACC,176,2011
Pat,77,2011
Sum,-269,2011
A10,78,2011
SEC,-73,2011
MAAC,235,2011
ASun,68,2011
MAC,-11,2011
Horz,-1,2011
P10,55,2011
CUSA,26,2011
OVC,22,2011
BE,52,2011
Horz,7,2011
BE,-99,2011
P10,16,2011
BSky,154,2011
WCC,-84,2011
A10,87,2011
B12,-77,2011
MAC,70,2011
A10,195,2011
MAC,87,2011
Sum,-172,2011
Horz,-87,2011
NEC,-114,2011
CAA,-74,2011
OVC,56,2011
MAAC,-73,2011
BSky,-46,2011
A10,-96,2011
CUSA,20,2011
MAAC,279,2011
AE,103,2011
MAC,-115,2011
MWC,-78,2011
OVC,20,2011
Sum,-225,2011
Horz,-68,2011
MWC,66,2011
Horz,-10,2011
BW,62,2011
WAC,-59,2011
WCC,80,2011
B12,-37,2011
NEC,51,2011
SEC,166,2011
BSth,26,2011
BSky,20,2011
BW,-25,2011
WAC,100,2011
CUSA,-64,2011
CAA,-176,2011
A10,68,2011
SC,-30,2011
WAC,-8,2011
WAC,3,2011
WAC,-118,2011
MAC,-58,2011
NEC,97,2011
CUSA,-47,2011
NEC,-4,2011
Slnd,-6,2011
P10,19,2011
Sum,-64,2011
MWC,45,2011
Horz,-36,2011
SC,144,2011
SC,-48,2011
A10,-140,2011
BSth,121,2011
BW,193,2011
ASun,180,2011
Pat,-55,2011
BSky,-28,2011
MVC,58,2011
MAC,-28,2011
CAA,-229,2011
Sum,-106,2011
AE,-17,2011
A10,173,2011
SB,-206,2011
MVC,38,2011
