team,barttorvik_adj_em,season
SEC,5,2015
ACC,-8,2015
B10,-36,2015
P12,8,2015
BE,-10,2015
ACC,28,2015
WCC,-25,2015
P12,9,2015
ACC,-15,2015
ACC,-110,2015
B12,34,2015
B10,-11,2015
B12,-12,2015
MVC,2,2015
ACC,56,2015
B12,15,2015
MVC,-12,2015
B10,6,2015
B12,-51,2015
B10,-11,2015
BE,61,2015
BE,-42,2015
B12,30,2015
BE,-10,2015
BE,0,2015
SEC,92,2015
MWC,155,2015
WCC,-124,2015
B12,15,2015
SEC,-39,2015
Amer,-9,2015
ACC,-54,2015
B10,11,2015
B10,5,2015
ACC,92,2015
BE,-7,2015
A10,-165,2015
SEC,54,2015
B10,-179,2015
Amer,72,2015
ACC,-23,2015
SEC,45,2015
A10,24,2015
B12,-15,2015
P12,-38,2015
P12,-52,2015
P12,-93,2015
SEC,-99,2015
MWC,-4,2015
B10,-39,2015
B12,25,2015
B10,-51,2015
A10,34,2015
SEC,107,2015
B10,31,2015
Slnd,-72,2015
Amer,112,2015
A10,35,2015
SEC,13,2015
SEC,-86,2015
MVC,45,2015
WCC,-34,2015
OVC,-154,2015
SB,-37,2015
A10,165,2015
MWC,-51,2015
SEC,-53,2015
ACC,112,2015
MAC,-29,2015
A10,13,2015
Horz,66,2015
CUSA,83,2015
ACC,-133,2015
P12,-9,2015
Horz,132,2015
B10,102,2015
Amer,65,2015
BE,-69,2015
ACC,-51,2015
ACC,149,2015
BE,-37,2015
BW,39,2015
Amer,185,2015
BE,84,2015
Amer,27,2015
Slnd,138,2015
CUSA,-4,2015
Ivy,114,2015
B12,67,2015
MAC,-204,2015
MAC,-163,2015
ACC,80,2015
Ivy,64,2015
P12,243,2015
MWC,-25,2015
CUSA,30,2015
BW,-80,2015
P12,-20,2015
Sum,-41,2015
MAC,77,2015
WCC,121,2015
BW,33,2015
WAC,41,2015
A10,215,2015
SC,90,2015
CAA,-64,2015
ACC,25,2015
SEC,-75,2015
P12,93,2015
MAAC,-204,2015
Horz,-32,2015
B10,215,2015
MEAC,59,2015
BW,-168,2015
MVC,9,2015
P12,-81,2015
WCC,-113,2015
CAA,-149,2015
MWC,76,2015
WCC,16,2015
MAC,-5,2015
CAA,-222,2015
B10,-37,2015
MWC,-57,2015
MAC,-46,2015
SB,0,2015
A10,65,2015
WCC,218,2015
AE,111,2015
A10,-17,2015
SEC,-42,2015
AE,-61,2015
BW,84,2015
BSky,-233,2015
MVC,-7,2015
BE,-126,2015
CUSA,42,2015
AE,122,2015
MAC,136,2015
MWC,165,2015
OVC,-191,2015
B12,101,2015
BSth,-66,2015
SEC,153,2015
OVC,-2,2015
OVC,25,2015
BW,68,2015
MAAC,108,2015
Ivy,-105,2015
SC,-21,2015
SB,176,2015
CAA,86,2015
MAAC,47,2015
P12,146,2015
Ivy,-149,2015
A10,182,2015
ASun,-112,2015
MAC,-134,2015
BSky,-88,2015
MAAC,43,2015
WCC,-84,2015
Sum,63,2015
CUSA,86,2015
ACC,-120,2015
SB,167,2015
MAAC,130,2015
CUSA,-158,2015
BSth,-103,2015
OVC,-169,2015
MVC,87,2015
CUSA,19,2015
P12,-201,2015
Horz,-242,2015
BSth,-38,2015
SC,-24,2015
ASun,-4,2015
Ind,-65,2015
BSky,61,2015
BSth,-37,2015
Pat,-165,2015
Amer,27,2015
Pat,122,2015
NEC,51,2015
B10,184,2015
NEC,12,2015
A10,22,2015
SB,-5,2015
MAAC,131,2015
ASun,69,2015
AE,105,2015
Horz,1,2015
MVC,127,2015
A10,-8,2015
SEC,81,2015
Horz,5,2015
Sum,-145,2015
Sum,-159,2015
SC,-28,2015
MAC,31,2015
Ivy,66,2015
MAAC,132,2015
BSth,-127,2015
MWC,1,2015
Slnd,50,2015
CUSA,13,2015
Sum,-124,2015
NEC,108,2015
Pat,34,2015
OVC,-56,2015
Pat,-107,2015
Pat,-292,2015
SC,-10,2015
BSth,-207,2015
CAA,-121,2015
Amer,-69,2015
WCC,-78,2015
MWC,-196,2015
BW,159,2015
Amer,105,2015
CUSA,-164,2015
BSky,-227,2015
CUSA,72,2015
Ivy,210,2015
MEAC,-98,2015
SB,-129,2015
A10,-251,2015
SB,257,2015
WAC,125,2015
BSky,-225,2015
Pat,-199,2015
Sum,-56,2015
SWAC,-113,2015
MAC,-40,2015
ASun,-132,2015
MEAC,-60,2015
Slnd,-287,2015
CAA,57,2015
Pat,-6,2015
NEC,-118,2015
NEC,115,2015
MAC,2,2015
BSth,-61,2015
MAAC,-185,2015
Ivy,23,2015
MVC,234,2015
BSky,28,2015
BSky,-86,2015
WAC,26,2015
MVC,-179,2015
Slnd,-191,2015
OVC,44,2015
Pat,46,2015
Horz,89,2015
MEAC,136,2015
Sum,-74,2015
SC,-8,2015
OVC,-116,2015
CUSA,145,2015
MAC,-7,2015
BSky,-279,2015
NEC,-78,2015
WAC,-198,2015
OVC,113,2015
CAA,-32,2015
BW,-40,2015
Horz,-182,2015
CAA,-17,2015
WCC,-78,2015
Pat,33,2015
MVC,70,2015
Amer,-114,2015
Amer,39,2015
CAA,66,2015
CUSA,132,2015
MWC,94,2015
Sum,173,2015
NEC,83,2015
CAA,137,2015
A10,127,2015
SB,-84,2015
Slnd,-11,2015
SB,-35,2015
Ivy,30,2015
SC,-93,2015
AE,71,2015
MEAC,-89,2015
SWAC,85,2015
BW,5,2015
SC,-2,2015
Horz,-70,2015
MEAC,197,2015
SB,51,2015
WAC,20,2015
Slnd,-89,2015
MAAC,-60,2015
