team,barttorvik_adj_em,season
Slnd,57,2014
MEAC,-79,2014
MEAC,-39,2014
Slnd,-22,2014
AE,-9,2014
BSth,-31,2014
SC,-39,2014
MEAC,42,2014
SWAC,-2,2014
BSth,-25,2014
SWAC,-30,2014
BSky,19,2014
