team,barttorvik_adj_em,season
Connecticut,36.69446050088672,2024
Houston,33.161730232206594,2024
Purdue,31.558322349948284,2024
Auburn,27.938736894168855,2024
Iowa St.,25.9427355181884,2024
Arizona,27.24188629515598,2024
Tennessee,25.470134521990516,2024
Duke,25.792084560919037,2024
North Carolina,24.917239934812173,2024
Creighton,24.621420063394396,2024
Marquette,23.75584794092846,2024
Gonzaga,24.483064850204954,2024
Illinois,24.630590161251874,2024
Alabama,23.579981705343755,2024
Saint Mary's,21.266705324767358,2024
St. John's,21.545362599353865,2024
Baylor,21.593485963094892,2024
Michigan St.,19.844599754050435,2024
Texas,20.09589014901958,2024
Clemson,20.25428790760951,2024
Kansas,19.5244210334627,2024
Florida,20.36481078642528,2024
Colorado,19.680544717828198,2024
BYU,19.89324821484668,2024
Wisconsin,19.6852134294071,2024
Nebraska,19.126867028730913,2024
Kentucky,20.06935261834188,2024
San Diego St.,17.826666941723488,2024
New Mexico,17.915522706424056,2024
Pittsburgh,17.879174754043703,2024
Villanova,16.642713458700158,2024
Texas Tech,17.57260215462736,2024
Texas A&M,17.67930648905447,2024
Mississippi St.,16.75601474725842,2024
Wake Forest,17.255842073835197,2024
Nevada,16.913605457077438,2024
Northwestern,16.833604966458353,2024
Seton Hall,16.229753765052777,2024
Washington St.,16.127075534927798,2024
Utah,16.301858699923173,2024
Ohio St.,16.351910501925005,2024
Indiana St.,16.912406584738832,2024
Colorado St.,15.941712679471252,2024
Boise St.,15.894819452604551,2024
Cincinnati,15.553700471506815,2024
TCU,15.834506196102879,2024
Dayton,16.138192890807247,2024
N.C. State,15.121845647703239,2024
Oklahoma,14.676951070040431,2024
South Carolina,14.866171853297075,2024
Drake,14.672997309353292,2024
Oregon,14.526440261766709,2024
Virginia Tech,14.487289674263351,2024
Iowa,14.86259455957557,2024
Florida Atlantic,14.184172935583149,2024
Providence,13.205922564709653,2024
Butler,13.675116706499736,2024
Utah St.,13.553065768024325,2024
Washington,13.378045438410055,2024
Bradley,12.745879072506199,2024
Xavier,12.668114753480083,2024
Virginia,11.760813340953305,2024
Grand Canyon,12.384613189856438,2024
North Texas,11.812747360511764,2024
San Francisco,11.649352128761052,2024
UCF,11.273465709746176,2024
SMU,11.707634686892746,2024
Maryland,10.956647245381404,2024
Kansas St.,11.104522604352042,2024
USC,11.322912517902068,2024
Syracuse,11.497668609356225,2024
UNLV,11.247267769525124,2024
Georgia,10.98328399339195,2024
James Madison,11.142332342515715,2024
Penn St.,10.652293226759326,2024
Boston College,10.780973644550457,2024
Minnesota,10.691589326192457,2024
Duquesne,9.9702966460938,2024
Mississippi,10.54780208281872,2024
Richmond,9.623628363870381,2024
Florida St.,9.949904448106722,2024
VCU,9.644485312045717,2024
Indiana,9.811991369883799,2024
South Florida,9.50204492896816,2024
Miami FL,9.450411527427022,2024
LSU,9.433483411080559,2024
McNeese St.,9.35058227540624,2024
UCLA,9.022324390762762,2024
Samford,9.378047080037419,2024
Memphis,9.18542251451008,2024
Loyola Chicago,8.480775151618971,2024
UC Irvine,8.719454776172256,2024
Yale,8.78178958171155,2024
Louisiana Tech,8.6176471812078,2024
Saint Joseph's,8.765971425439204,2024
Massachusetts,8.782130611744506,2024
Princeton,8.999036370077661,2024
George Mason,8.311023729221802,2024
Charleston,8.279131208801871,2024
Appalachian St.,7.329582352924632,2024
Belmont,7.320109976476715,2024
Stanford,7.180668860108199,2024
Arkansas,7.141235758985843,2024
St. Bonaventure,7.0745789421984,2024
Rutgers,6.242936180666462,2024
Northern Iowa,6.789782205918414,2024
Charlotte,6.542327759106357,2024
UAB,6.626009589977386,2024
Hofstra,6.336838093121841,2024
Oklahoma St.,6.295223843986278,2024
Cornell,6.2491237021055355,2024
Western Carolina,5.937835556905199,2024
Vermont,5.548946291718735,2024
UT Arlington,5.762388463208282,2024
Seattle,5.116930546989906,2024
Southern Illinois,5.234154805781159,2024
Santa Clara,5.20093368975904,2024
Michigan,5.25717859694754,2024
California,4.83007609969961,2024
Davidson,4.671755145805534,2024
Georgia Tech,4.76618420501228,2024
Troy,4.5744225966878815,2024
High Point,4.811993650355944,2024
Notre Dame,4.172808900122945,2024
Oakland,4.274564970477272,2024
UNC Wilmington,4.337567351784799,2024
Arizona St.,3.8234298906322834,2024
Sam Houston St.,3.804420099427631,2024
Drexel,3.786584999045317,2024
Western Kentucky,3.698805930561889,2024
Morehead St.,3.6046881723790136,2024
Missouri,3.4415708721418525,2024
West Virginia,3.4156908368332495,2024
Wichita St.,3.256379595923491,2024
Arkansas St.,3.4962411397180233,2024
Tarleton St.,3.3196859137072465,2024
Akron,3.2027343319812758,2024
South Dakota St.,3.0541768751063216,2024
UC San Diego,2.9798532014208376,2024
Youngstown St.,2.5198683111528197,2024
UNC Greensboro,2.3437497474969433,2024
Missouri St.,2.0685145361818797,2024
Ohio,2.065705596239809,2024
St. Thomas,1.9982912584314931,2024
Toledo,2.0848762507282004,2024
Wright St.,2.1236725464500807,2024
Towson,1.8659380413212432,2024
Liberty,1.9052307474932775,2024
Louisiana,1.841193423565855,2024
Tulane,1.8808873342934618,2024
Oregon St.,1.7069078418507644,2024
Furman,1.3684848668340663,2024
Wyoming,1.1248034187746327,2024
Chattanooga,1.0778597633276945,2024
Murray St.,0.9567186742272611,2024
Delaware,0.6417103548011767,2024
UTEP,0.4329527308618992,2024
Stony Brook,0.3105993391994417,2024
UC Davis,0.26809293636719644,2024
Weber St.,0.13877858342223703,2024
Montana,-0.019312129719722293,2024
Colgate,-0.0551529196370808,2024
Winthrop,-0.162727937274056,2024
Quinnipiac,-0.1625236080889465,2024
East Carolina,-0.35393462914034046,2024
Purdue Fort Wayne,-0.3517581564174037,2024
Eastern Washington,-0.4296132899690548,2024
UMass Lowell,-0.5425485280835147,2024
Kent St.,-0.5952216442397571,2024
Bryant,-0.7898185616209901,2024
UNC Asheville,-0.8505590684408446,2024
Utah Valley,-0.81021127004108,2024
Georgetown,-0.9258827750361576,2024
La Salle,-0.9718597258079882,2024
Hawaii,-0.9612510278283821,2024
Saint Louis,-1.212715231973874,2024
Little Rock,-1.1756062895658772,2024
Illinois Chicago,-1.1221657000936034,2024
Loyola Marymount,-1.443261791194061,2024
Brown,-1.4066970718466791,2024
Longwood,-1.4441011562542343,2024
East Tennessee St.,-1.5916962508085248,2024
Fordham,-1.7012014832201316,2024
Temple,-1.8529203693565819,2024
Stephen F. Austin,-1.829857007820621,2024
Pepperdine,-2.070364562403327,2024
Texas A&M Corpus Chris,-1.9713352318553348,2024
Vanderbilt,-2.076342154252117,2024
Rice,-2.162859335263633,2024
Louisville,-2.2269004751650243,2024
Long Beach St.,-2.543879104416206,2024
Fairfield,-2.6061789975674685,2024
Illinois St.,-2.5533388032842055,2024
