team,barttorvik_adj_em,season
CUSA,33,2009
ACC,-23,2009
BE,13,2009
BE,30,2009
BE,-25,2009
B12,-8,2009
B12,15,2009
BE,8,2009
P10,-43,2009
B10,17,2009
WCC,-8,2009
ACC,-22,2009
B12,-34,2009
BE,8,2009
BE,-23,2009
P10,-34,2009
B10,54,2009
P10,25,2009
BE,-47,2009
MWC,-10,2009
A10,52,2009
ACC,-52,2009
B12,13,2009
P10,46,2009
B10,98,2009
ACC,12,2009
B12,-69,2009
BE,32,2009
B10,-4,2009
SEC,-53,2009
MWC,30,2009
P10,-104,2009
B10,-27,2009
MWC,51,2009
BE,-82,2009
B12,-103,2009
SEC,-82,2009
P10,126,2009
ACC,96,2009
P10,-154,2009
MWC,-17,2009
B10,-12,2009
ACC,3,2009
B12,-54,2009
SEC,-26,2009
B10,81,2009
B12,22,2009
Horz,16,2009
P10,-42,2009
SEC,52,2009
ACC,-7,2009
CUSA,31,2009
SEC,54,2009
A10,33,2009
CAA,23,2009
WAC,-153,2009
WCC,-19,2009
B10,-51,2009
MVC,6,2009
SEC,21,2009
B12,139,2009
ACC,-112,2009
MVC,-54,2009
MAAC,-31,2009
SEC,39,2009
B10,-48,2009
CUSA,93,2009
ACC,-35,2009
SEC,42,2009
Horz,96,2009
BE,-63,2009
MWC,73,2009
ACC,-150,2009
SC,129,2009
CUSA,0,2009
A10,-120,2009
MAAC,3,2009
A10,134,2009
BE,-94,2009
Sum,-156,2009
BE,-42,2009
CUSA,2,2009
MVC,-64,2009
Horz,-154,2009
B10,-26,2009
A10,-223,2009
AE,-5,2009
SEC,-132,2009
ACC,177,2009
B12,-78,2009
SEC,10,2009
SB,-113,2009
MAC,100,2009
CAA,90,2009
Sum,125,2009
CAA,46,2009
WAC,10,2009
ACC,96,2009
Horz,177,2009
A10,24,2009
Slnd,271,2009
P10,-22,2009
MAC,109,2009
BW,95,2009
A10,-10,2009
B12,89,2009
WCC,-59,2009
BE,97,2009
Sum,-238,2009
Ivy,-84,2009
CAA,6,2009
A10,-65,2009
BW,-106,2009
ASun,-17,2009
Pat,6,2009
MVC,-33,2009
SEC,-26,2009
MVC,28,2009
ASun,-61,2009
MVC,24,2009
MAC,54,2009
WAC,-172,2009
BSky,59,2009
MAC,110,2009
MWC,96,2009
ASun,-120,2009
MWC,-92,2009
Slnd,-109,2009
BSky,-159,2009
OVC,-138,2009
Horz,-64,2009
BE,110,2009
A10,-49,2009
OVC,44,2009
CUSA,-78,2009
BE,189,2009
A10,83,2009
A10,-11,2009
MVC,72,2009
WCC,81,2009
NEC,42,2009
MAC,60,2009
P10,-46,2009
CAA,175,2009
ASun,-84,2009
SB,134,2009
CUSA,-125,2009
WAC,80,2009
CUSA,-117,2009
SB,-194,2009
WAC,15,2009
CAA,-54,2009
NEC,79,2009
ind,-89,2009
Slnd,-203,2009
MVC,59,2009
WAC,-64,2009
Horz,-34,2009
B12,45,2009
CUSA,152,2009
SC,-187,2009
MEAC,120,2009
BW,113,2009
OVC,-277,2009
WCC,172,2009
Slnd,111,2009
OVC,32,2009
MWC,-180,2009
SB,-65,2009
AE,2,2009
MAAC,-126,2009
AE,-55,2009
BW,-105,2009
MAAC,-45,2009
Slnd,27,2009
MAC,28,2009
SB,-30,2009
BSky,-75,2009
A10,-15,2009
Pat,112,2009
CAA,159,2009
NEC,-110,2009
SB,-225,2009
MVC,-80,2009
BSky,-47,2009
BSth,47,2009
Sum,-57,2009
BSth,-201,2009
MAAC,159,2009
AE,167,2009
SEC,201,2009
A10,102,2009
WAC,-61,2009
BE,-30,2009
MVC,73,2009
WAC,145,2009
SC,-3,2009
OVC,-192,2009
CUSA,-59,2009
BW,-150,2009
B10,68,2009
Slnd,11,2009
WAC,31,2009
SWAC,54,2009
CUSA,-277,2009
BSky,-90,2009
SB,-25,2009
Slnd,-52,2009
MAAC,206,2009
BSth,-172,2009
CAA,-102,2009
Slnd,-62,2009
MWC,48,2009
BW,-157,2009
Slnd,-4,2009
Horz,19,2009
ASun,-171,2009
SC,-136,2009
BW,-167,2009
Horz,-40,2009
Sum,-150,2009
BW,103,2009
Horz,11,2009
Pat,76,2009
CUSA,13,2009
CAA,50,2009
Sum,-57,2009
MAAC,191,2009
CAA,133,2009
MAAC,-111,2009
SC,-226,2009
WCC,-176,2009
Sum,-43,2009
SB,133,2009
ASun,109,2009
BSky,-54,2009
MAC,148,2009
NEC,-50,2009
MAC,4,2009
OVC,29,2009
Slnd,159,2009
ind,-218,2009
SC,-43,2009
BSky,-66,2009
AE,56,2009
SB,10,2009
Ivy,117,2009
BSth,-70,2009
SC,-62,2009
BSky,31,2009
MAAC,162,2009
Ivy,-127,2009
MAC,-1,2009
SWAC,12,2009
CAA,-83,2009
ASun,75,2009
Sum,95,2009
SC,-117,2009
SB,10,2009
Ivy,72,2009
AE,-116,2009
BW,-6,2009
AE,44,2009
MAAC,142,2009
BSth,193,2009
OVC,-71,2009
Pat,158,2009
Ivy,42,2009
ind,-58,2009
MEAC,-47,2009
BSth,-111,2009
Ivy,166,2009
