team,barttorvik_adj_em,season
WCC,-7,2019
ACC,-7,2019
B12,16,2019
B10,21,2019
ACC,2,2019
B10,-6,2019
ACC,-8,2019
SEC,5,2019
B10,-27,2019
SEC,-39,2019
Amer,5,2019
SEC,-34,2019
ACC,-15,2019
B12,81,2019
ACC,27,2019
B12,-46,2019
B12,11,2019
SEC,-48,2019
B10,77,2019
ACC,7,2019
Amer,6,2019
B12,-2,2019
SEC,-47,2019
SEC,40,2019
SC,-48,2019
Amer,7,2019
A10,150,2019
B10,16,2019
MAC,-14,2019
ACC,97,2019
B12,31,2019
B10,40,2019
P12,65,2019
WCC,-25,2019
MWC,-15,2019
ACC,22,2019
BE,-10,2019
B12,26,2019
BE,-72,2019
SEC,-50,2019
B12,-76,2019
MWC,-13,2019
ACC,-38,2019
B10,-105,2019
B10,60,2019
B10,-51,2019
B10,4,2019
BE,-19,2019
WAC,-45,2019
OVC,-105,2019
P12,115,2019
SEC,9,2019
B10,59,2019
Amer,30,2019
ASun,-23,2019
SEC,69,2019
Amer,85,2019
A10,-47,2019
OVC,-40,2019
Amer,-12,2019
SEC,48,2019
SC,33,2019
SEC,38,2019
P12,2,2019
BE,25,2019
BE,-43,2019
MAC,-2,2019
ACC,-24,2019
P12,90,2019
B10,-36,2019
BW,31,2019
ASun,-38,2019
BE,122,2019
WCC,-94,2019
AE,25,2019
BE,-74,2019
B10,101,2019
B10,203,2019
P12,-44,2019
MWC,11,2019
B12,-48,2019
Ivy,-106,2019
SEC,40,2019
BE,-6,2019
B12,-50,2019
Amer,-152,2019
A10,-11,2019
P12,-232,2019
ACC,-5,2019
WCC,90,2019
WCC,-102,2019
Sum,-141,2019
SB,-15,2019
Ivy,103,2019
P12,93,2019
Amer,-42,2019
Amer,163,2019
CAA,-85,2019
Horz,-51,2019
SC,76,2019
P12,-121,2019
P12,-67,2019
Horz,12,2019
A10,186,2019
MVC,77,2019
BE,-45,2019
SC,-67,2019
A10,169,2019
CAA,-253,2019
MAC,256,2019
Ivy,43,2019
MWC,140,2019
CUSA,-16,2019
SB,-18,2019
Amer,57,2019
MAC,-51,2019
MWC,-61,2019
WAC,-6,2019
MVC,-4,2019
ACC,93,2019
BE,-200,2019
CUSA,226,2019
OVC,-177,2019
SEC,38,2019
WAC,-49,2019
WCC,90,2019
CUSA,61,2019
ACC,-11,2019
OVC,65,2019
ACC,204,2019
CAA,-53,2019
MAC,-153,2019
P12,145,2019
A10,65,2019
Pat,-156,2019
BSky,-40,2019
MAC,157,2019
BSth,-94,2019
MAC,-162,2019
SB,-231,2019
SB,140,2019
CUSA,-16,2019
SB,-66,2019
SC,-24,2019
MAC,-85,2019
SB,141,2019
WCC,-115,2019
MAC,45,2019
Ivy,203,2019
CUSA,29,2019
CUSA,-76,2019
Pat,-8,2019
MVC,107,2019
Slnd,109,2019
A10,-186,2019
CUSA,187,2019
A10,-79,2019
ACC,7,2019
CUSA,217,2019
SB,-121,2019
SEC,128,2019
MAC,71,2019
MVC,50,2019
Horz,-145,2019
BSky,28,2019
CUSA,-93,2019
BSth,-114,2019
Sum,-142,2019
WAC,126,2019
Ivy,193,2019
MVC,109,2019
Slnd,-102,2019
A10,-27,2019
Pat,-177,2019
BSth,128,2019
MVC,49,2019
MWC,-61,2019
Horz,99,2019
Sum,-216,2019
A10,9,2019
Horz,-34,2019
MWC,-149,2019
ASun,18,2019
BSth,-141,2019
Pat,37,2019
BSth,-214,2019
BSth,-168,2019
AE,182,2019
BSth,-107,2019
WCC,86,2019
MWC,-11,2019
Sum,-169,2019
MAC,156,2019
WAC,-117,2019
BW,-52,2019
SB,-132,2019
A10,97,2019
WAC,157,2019
Horz,-27,2019
SC,-12,2019
MVC,34,2019
MAAC,-138,2019
AE,-195,2019
Ivy,1,2019
BW,-35,2019
Ivy,-55,2019
SWAC,-22,2019
CUSA,2,2019
SB,-62,2019
Slnd,-73,2019
MVC,67,2019
P12,-136,2019
ASun,82,2019
P12,-72,2019
MAAC,45,2019
WCC,112,2019
CAA,-61,2019
Sum,36,2019
ASun,48,2019
MVC,161,2019
Ivy,100,2019
BSky,31,2019
BSth,84,2019
NEC,-150,2019
BW,147,2019
BW,30,2019
WAC,-52,2019
Pat,-122,2019
SWAC,-99,2019
A10,-87,2019
Horz,-190,2019
SB,93,2019
BSky,1,2019
SB,-87,2019
Pat,167,2019
MAAC,-14,2019
MWC,18,2019
CUSA,104,2019
MAAC,-26,2019
Slnd,46,2019
OVC,54,2019
SC,-40,2019
MAAC,-171,2019
AE,187,2019
Amer,44,2019
WAC,20,2019
Pat,14,2019
A10,144,2019
NEC,-182,2019
MAC,70,2019
Horz,-148,2019
SB,-43,2019
Sum,92,2019
NEC,88,2019
BW,158,2019
CUSA,-73,2019
MVC,54,2019
BW,-142,2019
SC,-210,2019
NEC,-117,2019
MEAC,104,2019
OVC,-70,2019
CAA,-154,2019
BSth,14,2019
Amer,86,2019
Pat,69,2019
BSky,115,2019
Pat,-60,2019
Sum,-166,2019
CAA,-175,2019
AE,35,2019
Horz,5,2019
NEC,127,2019
Horz,-96,2019
SWAC,144,2019
Slnd,92,2019
OVC,-192,2019
MAAC,103,2019
CAA,-159,2019
BSky,-215,2019
NEC,125,2019
Slnd,-127,2019
MAAC,-92,2019
ASun,56,2019
A10,119,2019
BSky,-97,2019
CAA,-45,2019
SC,-47,2019
CAA,-58,2019
BSky,82,2019
MEAC,9,2019
Sum,45,2019
MAAC,188,2019
AE,-132,2019
Slnd,148,2019
CAA,-40,2019
SC,-112,2019
OVC,-50,2019
ASun,128,2019
MEAC,68,2019
OVC,2,2019
Slnd,-29,2019
MEAC,-134,2019
Pat,-107,2019
Slnd,-39,2019
MEAC,135,2019
CUSA,237,2019
BSky,-65,2019
MAAC,-133,2019
MWC,80,2019
BSky,-166,2019
Sum,-43,2019
MAAC,78,2019
CUSA,59,2019
OVC,-2,2019
NEC,101,2019
NEC,43,2019
MEAC,216,2019
Slnd,45,2019
SWAC,165,2019
BW,-24,2019
WCC,58,2019
NEC,-78,2019
MAAC,172,2019
AE,-23,2019
NEC,-1,2019
OVC,-16,2019
ASun,-26,2019
SWAC,19,2019
OVC,167,2019
Slnd,-38,2019
SWAC,37,2019
BW,-54,2019
SWAC,11,2019
AE,24,2019
ASun,57,2019
BSth,24,2019
MEAC,-63,2019
MEAC,26,2019
MWC,6,2019
Slnd,-64,2019
Slnd,54,2019
MEAC,-30,2019
MEAC,65,2019
BSth,-16,2019
BSky,-32,2019
SWAC,63,2019
SWAC,4,2019
SWAC,14,2019
AE,124,2019
WAC,-4,2019
MEAC,31,2019
MEAC,10,2019
