team,bpi,bpi_off,bpi_def,season
FLA,21.2,7.5,13.7,2013
LOU,21.0,10.7,10.3,2013
DUKE,20.2,13.8,6.4,2013
PITT,17.6,12.2,5.4,2013
GONZ,16.8,9.8,6.9,2013
MICH,16.7,4.5,12.2,2013
OSU,16.4,10.7,5.6,2013
WIS,16.1,11.0,5.0,2013
SYR,15.9,7.5,8.5,2013
ARIZ,15.6,2.4,13.2,2013
VCU,15.0,7.0,8.0,2013
GTWN,14.5,9.2,5.3,2013
MIA,14.4,9.6,4.8,2013
MSU,14.1,2.4,11.7,2013
MINN,14.0,4.7,9.3,2013
CREI,13.9,3.9,10.0,2013
MIZ,13.5,6.3,7.2,2013
MTSU,13.4,8.9,4.5,2013
SMC,12.4,10.2,2.2,2013
WICH,12.1,3.9,8.2,2013
MARQ,12.1,8.6,3.5,2013
MISS,12.0,7.8,4.2,2013
CIN,11.8,4.4,7.5,2013
ISU,11.5,6.1,5.3,2013
BAY,11.5,10.3,1.2,2013
NCSU,11.4,2.9,8.5,2013
KSU,11.3,12.6,-1.3,2013
UNC,11.3,9.0,2.3,2013
OKST,11.3,11.6,-0.4,2013
UNLV,11.1,3.8,7.4,2013
SDSU,11.1,10.0,1.1,2013
SLU,11.0,5.4,5.6,2013
BEL,10.8,5.6,5.2,2013
MEM,10.8,4.8,6.0,2013
CAL,10.7,1.9,8.8,2013
UVA,10.7,6.1,4.6,2013
UNM,10.5,7.1,3.5,2013
IOWA,10.4,6.9,3.5,2013
DAV,10.4,5.5,4.9,2013
BUT,10.1,-1.7,11.8,2013
ORE,10.0,3.9,6.0,2013
CONN,9.9,5.4,4.5,2013
BOIS,9.7,6.4,3.3,2013
CSU,9.7,6.4,3.3,2013
LAS,9.0,4.4,4.6,2013
USM,8.8,6.4,2.4,2013
ILL,8.8,5.7,3.1,2013
AKR,8.6,6.7,1.9,2013
BUCK,8.6,6.7,1.8,2013
ALA,8.4,6.2,2.3,2013
TEM,8.2,4.9,3.4,2013
DEN,8.1,4.3,3.9,2013
VILL,8.1,4.3,3.9,2013
UCLA,8.1,4.5,3.6,2013
NDSU,7.9,0.5,7.4,2013
UNI,7.9,-1.8,9.8,2013
ILST,7.9,6.2,1.8,2013
ARK,7.9,-2.2,10.1,2013
STAN,7.8,4.1,3.7,2013
STBK,7.8,8.8,-1.0,2013
OHIO,7.8,-1.3,9.0,2013
COLO,7.5,1.4,6.1,2013
BYU,7.4,8.0,-0.6,2013
VAL,7.3,7.9,-0.6,2013
DAY,7.3,4.5,2.8,2013
TENN,7.2,0.2,7.0,2013
PROV,7.2,5.5,1.6,2013
JOES,7.1,2.5,4.6,2013
WEB,7.0,8.0,-1.0,2013
DETM,7.0,3.9,3.1,2013
SFA,6.9,5.6,1.3,2013
PUR,6.8,2.5,4.3,2013
LEH,6.8,4.0,2.8,2013
