team,bpi,bpi_off,bpi_def,season
UNC,21.9,12.4,9.6,2008
MEM,20.2,19.2,1.0,2008
UCLA,19.3,11.3,8.0,2008
DUKE,18.9,7.9,10.9,2008
GTWN,18.2,13.8,4.3,2008
WVU,17.2,4.3,12.9,2008
WIS,16.6,8.9,7.7,2008
TENN,16.5,2.1,14.4,2008
LOU,16.1,13.3,2.8,2008
DAV,16.1,7.1,9.1,2008
CLEM,14.8,9.5,5.3,2008
WSU,14.7,10.2,4.5,2008
XAV,14.3,1.1,13.2,2008
MARQ,14.3,7.9,6.4,2008
STAN,14.2,8.3,5.9,2008
TEX,14.1,5.5,8.6,2008
MSU,13.7,9.4,4.3,2008
PITT,13.6,5.8,7.8,2008
BUT,13.3,7.2,6.0,2008
CONN,12.6,8.5,4.1,2008
TA&M,12.5,3.3,9.2,2008
USC,12.3,8.5,3.8,2008
OSU,12.3,4.1,8.2,2008
GONZ,12.2,10.6,1.6,2008
MSST,12.0,4.9,7.1,2008
ARIZ,11.8,3.6,8.2,2008
FLA,11.0,8.1,2.9,2008
MIA,11.0,5.5,5.5,2008
DRKE,10.7,6.6,4.1,2008
PUR,10.6,8.1,2.5,2008
ORE,10.4,8.1,2.2,2008
ARK,10.3,5.4,4.9,2008
KSU,9.9,3.9,6.0,2008
SYR,9.9,11.0,-1.1,2008
JOES,9.8,2.4,7.4,2008
MISS,9.7,5.5,4.1,2008
UNM,9.6,8.6,1.1,2008
MIZ,9.6,10.1,-0.6,2008
VILL,9.5,2.6,6.9,2008
VCU,9.3,6.1,3.2,2008
SMC,9.3,10.1,-0.7,2008
UNLV,9.3,5.2,4.1,2008
VAN,9.2,9.8,-0.5,2008
FSU,9.1,10.1,-1.0,2008
BYU,9.0,5.6,3.4,2008
WKU,9.0,0.4,8.6,2008
ILL,9.0,5.1,3.9,2008
URI,8.6,2.6,6.0,2008
BAY,8.4,10.0,-1.6,2008
MASS,8.3,5.9,2.4,2008
MINN,8.3,4.4,3.9,2008
KENT,8.2,4.6,3.6,2008
NEB,8.2,7.5,0.6,2008
DUQ,8.1,-0.7,8.8,2008
ASU,7.8,11.0,-3.1,2008
DAY,7.8,12.6,-4.8,2008
WAKE,7.8,11.3,-3.5,2008
TEM,7.6,3.2,4.4,2008
WASH,7.6,1.8,5.8,2008
CAL,7.5,-0.5,8.0,2008
ILST,7.4,11.1,-3.7,2008
UAB,7.4,1.0,6.4,2008
HOU,7.1,0.5,6.7,2008
GMU,7.1,2.2,4.9,2008
AKR,7.0,4.5,2.5,2008
UVA,7.0,4.7,2.3,2008
CREI,6.9,6.6,0.3,2008
USA,6.9,9.6,-2.7,2008
SIU,6.9,-1.6,8.5,2008
CLT,6.9,5.0,1.9,2008
IUIN,6.7,8.4,-1.7,2008
ALA,6.7,2.0,4.8,2008
WIN,6.6,2.9,3.7,2008
PROV,6.4,7.8,-1.4,2008
UTAH,6.3,4.2,2.1,2008
ORU,6.1,4.0,2.1,2008
UGA,6.0,-2.6,8.6,2008
TLSA,6.0,2.2,3.8,2008
SIE,6.0,3.8,2.1,2008
OKST,6.0,6.5,-0.5,2008
TTU,5.9,-4.7,10.5,2008
M-OH,5.8,5.0,0.9,2008
SFA,5.6,1.5,4.2,2008
CSUF,5.6,-0.9,6.5,2008
WMU,5.3,0.4,4.9,2008
UNCG,5.2,4.0,1.2,2008
ODU,5.2,1.5,3.6,2008
NMSU,5.1,6.1,-1.0,2008
UCSB,4.9,0.8,4.1,2008
OHIO,4.9,2.3,2.6,2008
SDSU,4.9,-3.2,8.1,2008
NCSU,4.9,-4.9,9.8,2008
MOST,4.7,9.6,-4.9,2008
BRAD,4.4,2.5,1.9,2008
USM,4.3,1.9,2.4,2008
UCF,4.3,2.7,1.6,2008
COR,4.3,-0.1,4.4,2008
UTEP,4.3,7.2,-2.9,2008
DEP,4.3,0.3,3.9,2008
HALL,4.2,1.0,3.2,2008
USF,4.2,-0.7,4.9,2008
NDSU,4.2,1.1,3.2,2008
LSU,4.0,1.2,2.8,2008
CSUN,3.9,7.3,-3.3,2008
VAL,3.9,2.0,1.9,2008
PRST,3.9,3.9,-0.0,2008
CIN,3.6,6.2,-2.5,2008
RMU,3.4,6.5,-3.1,2008
BRWN,3.4,5.8,-2.4,2008
WRST,3.4,8.5,-5.1,2008
BEL,3.3,1.4,1.9,2008
SHSU,3.2,6.1,-2.9,2008
CLE,3.0,1.6,1.5,2008
UIC,3.0,4.5,-1.5,2008
RID,3.0,2.6,0.4,2008
NEV,2.9,3.8,-0.9,2008
UNI,2.8,-0.8,3.6,2008
HPU,2.8,3.5,-0.7,2008
PAC,2.7,-0.6,3.3,2008
UMBC,2.7,-4.4,7.1,2008
PSU,2.6,6.8,-4.2,2008
BOIS,2.6,-1.3,3.9,2008
LAM,2.6,-1.1,3.6,2008
AUB,2.5,1.3,1.3,2008
USU,2.5,5.5,-3.0,2008
USD,2.4,3.9,-1.4,2008
ISU,2.4,-4.2,6.7,2008
MRSH,2.4,-1.6,4.1,2008
SJU,2.4,1.9,0.5,2008
SLU,2.3,4.5,-2.2,2008
FOR,2.2,0.6,1.6,2008
UNT,2.2,8.3,-6.1,2008
INST,2.1,7.6,-5.5,2008
APP,2.0,2.7,-0.7,2008
UCI,2.0,2.8,-0.8,2008
NIA,2.0,-1.7,3.7,2008
APSU,1.7,-2.2,3.9,2008
GASO,1.6,-1.0,2.6,2008
OAK,1.5,-4.0,5.5,2008
AMER,1.5,-5.9,7.4,2008
TULN,1.4,-2.8,4.2,2008
MRST,1.4,3.7,-2.3,2008
UNCA,1.4,-0.3,1.6,2008
MICH,1.3,1.8,-0.5,2008
UALB,1.3,-1.0,2.3,2008
WICH,1.2,-3.1,4.3,2008
UTC,1.1,5.0,-3.9,2008
RICH,1.1,2.9,-1.8,2008
LAS,0.9,3.3,-2.4,2008
UVM,0.8,2.3,-1.4,2008
IOWA,0.8,5.3,-4.5,2008
COLO,0.8,-3.0,3.8,2008
L-MD,0.7,-2.8,3.6,2008
UNCW,0.7,0.7,0.0,2008
COFC,0.7,2.3,-1.6,2008
MONT,0.7,-1.4,2.1,2008
MSM,0.6,-6.6,7.2,2008
SELA,0.3,-1.0,1.3,2008
TCU,0.3,-3.6,3.8,2008
ETSU,0.2,4.2,-4.0,2008
MORG,0.2,-4.0,4.2,2008
SCU,0.0,5.3,-5.3,2008
LIB,-0.0,2.0,-2.0,2008
CMU,-0.0,-9.7,9.7,2008
JMU,-0.1,-4.5,4.4,2008
MUR,-0.2,2.2,-2.4,2008
YALE,-0.2,4.0,-4.2,2008
MILW,-0.3,2.4,-2.7,2008
W&M,-0.4,0.1,-0.6,2008
LAF,-0.5,-3.1,2.7,2008
UNO,-0.5,-2.2,1.7,2008
GWEB,-0.6,-4.5,3.9,2008
HAMP,-0.7,-0.7,-0.0,2008
UTA,-0.7,5.4,-6.1,2008
LIP,-0.7,-2.5,1.8,2008
NAU,-0.8,-7.0,6.2,2008
VMI,-0.9,-2.5,1.6,2008
PFW,-0.9,2.0,-2.9,2008
FRES,-0.9,3.4,-4.3,2008
MTSU,-1.1,-9.5,8.4,2008
CCSU,-1.2,-0.1,-1.1,2008
NAVY,-1.3,-0.5,-0.8,2008
EMU,-1.3,0.0,-1.3,2008
WEB,-1.3,-5.4,4.1,2008
COLG,-1.3,5.4,-6.7,2008
DEL,-1.4,2.9,-4.3,2008
SHU,-1.5,3.8,-5.3,2008
RUTG,-1.5,-4.1,2.6,2008
LUC,-1.5,0.8,-2.4,2008
WOF,-1.6,0.7,-2.3,2008
HOF,-1.7,1.2,-2.9,2008
UTM,-1.7,13.4,-15.1,2008
UVU,-1.8,-5.9,4.2,2008
HAW,-1.8,-0.3,-1.6,2008
BING,-1.9,-1.3,-0.5,2008
LIU,-1.9,-2.5,0.7,2008
COLU,-1.9,-1.8,-0.2,2008
FAIR,-2.0,4.6,-6.6,2008
WAG,-2.1,-2.5,0.4,2008
TNTC,-2.1,-3.1,1.0,2008
BUF,-2.1,-4.3,2.2,2008
TOL,-2.2,-3.0,0.8,2008
FAU,-2.3,1.6,-3.9,2008
TOW,-2.3,-5.2,2.9,2008
BGSU,-2.4,-5.6,3.2,2008
DREX,-2.5,-2.2,-0.3,2008
QUIN,-2.5,-0.6,-2.0,2008
