team,bpi,bpi_off,bpi_def,season
UVA,23.2,12.2,11.0,2019
GONZ,23.1,14.0,9.0,2019
DUKE,21.3,10.9,10.4,2019
MSU,19.8,10.7,9.1,2019
UNC,18.9,10.7,8.2,2019
TTU,18.8,6.2,12.6,2019
MICH,18.3,9.4,8.8,2019
PUR,17.8,6.3,11.5,2019
TENN,17.4,11.8,5.6,2019
AUB,17.1,11.4,5.7,2019
HOU,16.5,9.9,6.7,2019
FSU,16.4,10.5,5.9,2019
ISU,15.9,7.7,8.1,2019
WOF,14.6,5.9,8.7,2019
WIS,14.5,9.0,5.5,2019
LOU,14.3,9.9,4.4,2019
MSST,14.3,5.0,9.4,2019
NEV,14.2,6.9,7.3,2019
KSU,13.4,6.8,6.6,2019
LSU,12.9,8.7,4.2,2019
BUF,12.9,7.1,5.7,2019
VILL,12.7,2.8,9.9,2019
CIN,12.7,8.5,4.2,2019
TEX,12.6,7.0,5.6,2019
NCSU,12.5,8.5,4.0,2019
FLA,12.0,6.1,5.9,2019
ORE,11.8,5.2,6.7,2019
MARQ,11.8,5.8,6.0,2019
CLEM,11.7,7.0,4.6,2019
SYR,11.6,4.4,7.2,2019
UCF,11.6,3.7,7.8,2019
IOWA,11.5,5.7,5.8,2019
SMC,10.9,3.0,7.9,2019
BAY,10.6,4.0,6.6,2019
NEB,10.5,3.8,6.7,2019
VCU,10.5,4.5,6.0,2019
OSU,10.5,8.9,1.6,2019
TCU,10.4,7.3,3.1,2019
BEL,10.3,6.7,3.6,2019
MUR,10.2,5.7,4.5,2019
LIP,10.0,0.1,9.9,2019
PSU,9.8,3.5,6.3,2019
USU,9.5,4.2,5.3,2019
CREI,9.4,7.5,1.9,2019
MISS,9.0,3.1,5.9,2019
WASH,9.0,5.8,3.2,2019
MINN,8.9,4.9,4.1,2019
DAY,8.9,2.3,6.6,2019
UVM,8.9,4.5,4.4,2019
NMSU,8.8,6.4,2.4,2019
HALL,8.7,5.2,3.5,2019
LIB,8.7,2.3,6.4,2019
FUR,8.1,3.7,4.4,2019
ASU,8.1,5.4,2.7,2019
ARK,7.9,4.3,3.6,2019
TOL,7.9,5.3,2.6,2019
MEM,7.7,3.1,4.6,2019
XAV,7.5,4.2,3.3,2019
BUT,7.5,3.5,4.0,2019
ALA,7.4,3.5,4.0,2019
FRES,7.4,3.0,4.4,2019
TEM,7.1,5.0,2.2,2019
ETSU,7.1,3.8,3.2,2019
MIA,7.1,3.4,3.6,2019
YALE,6.9,4.8,2.1,2019
HOF,6.9,5.0,1.9,2019
PROV,6.9,2.5,4.4,2019
SJU,6.7,3.5,3.2,2019
WICH,6.6,3.7,2.9,2019
DAV,6.6,-0.1,6.6,2019
UNCG,6.5,3.8,2.7,2019
COLO,6.5,4.4,2.2,2019
SDST,6.4,4.8,1.6,2019
MIZ,6.3,8.6,-2.3,2019
USC,6.3,1.1,5.1,2019
UCI,6.2,4.0,2.3,2019
RUTG,6.0,1.7,4.3,2019
USD,6.0,1.7,4.3,2019
ORST,5.8,3.1,2.7,2019
WVU,5.7,2.0,3.7,2019
NKU,5.7,1.2,4.5,2019
ARIZ,5.5,6.0,-0.4,2019
ILL,5.5,1.7,3.8,2019
BYU,5.5,4.1,1.4,2019
GTWN,5.5,1.1,4.4,2019
PITT,5.3,0.6,4.7,2019
CONN,5.2,1.9,3.3,2019
SLU,5.2,4.7,0.5,2019
SMU,5.0,3.9,1.2,2019
TA&M,5.0,5.1,-0.1,2019
GASO,5.0,2.8,2.1,2019
SDSU,4.9,1.2,3.6,2019
APSU,4.9,2.5,2.4,2019
UCLA,4.8,4.7,0.1,2019
OKST,4.8,2.8,2.0,2019
USF,4.7,3.3,1.4,2019
ODU,4.7,0.2,4.5,2019
SBU,4.5,3.1,1.4,2019
GAST,4.5,-1.0,5.5,2019
DEP,4.5,5.4,-1.0,2019
GCU,4.3,1.9,2.4,2019
HARV,4.3,3.4,0.8,2019
JXST,4.1,0.6,3.4,2019
LUC,4.1,4.3,-0.3,2019
PENN,4.0,3.3,0.7,2019
TXST,3.9,2.4,1.6,2019
WKU,3.9,-2.1,5.9,2019
STAN,3.6,-1.1,4.6,2019
COFC,3.6,-1.9,5.5,2019
AKR,3.6,-1.2,4.8,2019
MONT,3.5,2.9,0.7,2019
WRST,3.4,4.4,-1.0,2019
BALL,3.4,1.9,1.5,2019
TLSA,3.4,0.8,2.6,2019
UTAH,3.4,2.2,1.1,2019
UGA,3.3,0.4,2.9,2019
BOIS,3.2,0.3,2.9,2019
COLG,3.2,0.2,2.9,2019
URI,3.1,-0.9,4.0,2019
BGSU,3.1,0.5,2.6,2019
LMU,3.1,-0.7,3.8,2019
USM,3.1,2.8,0.2,2019
UVU,3.0,-2.7,5.8,2019
DRKE,3.0,2.5,0.6,2019
BUCK,3.0,1.3,1.7,2019
RAD,2.9,0.4,2.5,2019
GWEB,2.8,0.9,2.0,2019
UCSB,2.8,5.7,-2.8,2019
BRWN,2.6,0.6,2.1,2019
ULM,2.6,2.4,0.1,2019
SIU,2.6,3.5,-1.0,2019
UNLV,2.5,-0.1,2.6,2019
GMU,2.5,1.4,1.1,2019
CMU,2.4,-0.5,2.9,2019
UNT,2.4,1.3,1.1,2019
ACU,2.4,2.7,-0.3,2019
STBK,2.3,1.2,1.0,2019
VAN,2.2,1.5,0.7,2019
NIU,2.2,2.7,-0.5,2019
PEPP,2.0,2.3,-0.3,2019
SAM,1.4,1.5,-0.1,2019
UNCO,1.4,-2.0,3.4,2019
CCU,1.4,5.0,-3.6,2019
PFW,1.4,0.6,0.8,2019
KENT,1.3,-0.2,1.6,2019
M-OH,1.3,2.0,-0.7,2019
LEH,1.2,0.1,1.1,2019
DUQ,1.2,3.3,-2.1,2019
OMA,1.0,-1.9,3.0,2019
WIN,1.0,0.2,0.9,2019
MRSH,1.0,-2.7,3.8,2019
CAM,0.9,-0.7,1.7,2019
WAKE,0.9,1.6,-0.7,2019
PRES,0.6,2.1,-1.5,2019
CHSO,0.6,0.7,-0.1,2019
UAB,0.6,1.2,-0.6,2019
BRAD,0.6,1.8,-1.3,2019
MOST,0.6,3.2,-2.7,2019
PRIN,0.5,2.3,-1.8,2019
RICH,0.4,-0.3,0.7,2019
JOES,0.3,3.1,-2.8,2019
HAMP,0.2,0.3,-0.1,2019
NJIT,0.1,4.4,-4.3,2019
IONA,-0.1,2.5,-2.6,2019
RID,-0.2,1.7,-1.8,2019
UNM,-0.2,2.4,-2.5,2019
OAK,-0.2,0.3,-0.5,2019
UTA,-0.2,2.6,-2.9,2019
SHSU,-0.3,-1.9,1.7,2019
MER,-0.4,0.7,-1.0,2019
TXSO,-0.4,-2.0,1.6,2019
AMER,-0.4,-0.1,-0.3,2019
EMU,-0.5,-2.6,2.2,2019
CSUF,-0.5,3.1,-3.6,2019
DART,-0.6,0.8,-1.5,2019
NDSU,-0.6,0.7,-1.3,2019
LAM,-0.8,-1.7,0.9,2019
UNI,-0.8,2.4,-3.1,2019
FDU,-0.8,2.3,-3.1,2019
CSU,-0.8,1.9,-2.7,2019
WEB,-0.9,-0.7,-0.2,2019
IUIN,-0.9,-0.3,-0.6,2019
APP,-1.0,2.9,-3.9,2019
MASS,-1.0,-3.3,2.3,2019
UMBC,-1.1,0.2,-1.2,2019
COLU,-1.1,-0.0,-1.0,2019
SEA,-1.1,-0.4,-0.7,2019
UTSA,-1.1,1.6,-2.7,2019
FAU,-1.1,-1.3,0.1,2019
HAW,-1.2,-1.2,0.0,2019
