team,bpi,bpi_off,bpi_def,season
VILL,22.8,15.5,7.3,2018
UVA,20.2,7.0,13.2,2018
DUKE,19.8,12.4,7.5,2018
PUR,19.0,12.0,7.0,2018
CIN,18.5,6.3,12.2,2018
MSU,17.8,10.1,7.7,2018
UNC,16.5,11.2,5.2,2018
WVU,16.1,10.3,5.8,2018
GONZ,15.8,9.4,6.4,2018
TTU,15.4,9.4,5.9,2018
MICH,15.1,5.8,9.3,2018
XAV,15.1,6.5,8.5,2018
TENN,14.7,10.5,4.2,2018
WICH,14.4,6.0,8.3,2018
CLEM,14.2,10.4,3.8,2018
OSU,14.0,6.0,7.9,2018
HOU,13.8,7.3,6.6,2018
PSU,13.4,6.8,6.6,2018
BUT,12.9,7.0,5.9,2018
TCU,12.6,5.5,7.2,2018
AUB,12.4,7.0,5.4,2018
CREI,12.3,9.6,2.7,2018
FLA,12.2,7.1,5.1,2018
ARIZ,12.2,8.1,4.1,2018
HALL,12.1,6.5,5.6,2018
SMC,11.9,9.4,2.5,2018
FSU,11.7,7.7,4.0,2018
NEV,11.6,10.0,1.6,2018
TA&M,11.5,6.2,5.3,2018
DAV,11.2,8.0,3.2,2018
LOU,11.2,9.4,1.7,2018
MIA,10.8,4.1,6.7,2018
URI,10.7,8.9,1.7,2018
BAY,10.6,4.9,5.7,2018
TEX,10.6,4.9,5.7,2018
ARK,10.5,4.7,5.9,2018
MTSU,10.4,6.9,3.6,2018
LUC,10.4,5.0,5.4,2018
SYR,10.2,5.7,4.5,2018
ASU,10.0,3.2,6.8,2018
KSU,10.0,7.6,2.4,2018
NCSU,9.7,4.3,5.4,2018
MIZ,9.6,4.6,5.0,2018
MARQ,9.4,6.8,2.7,2018
USC,9.4,1.2,8.3,2018
WKU,9.2,7.3,2.0,2018
SDSU,9.2,3.5,5.7,2018
ALA,9.2,7.0,2.2,2018
UCLA,9.1,4.4,4.8,2018
BOIS,9.0,9.2,-0.2,2018
MSST,8.9,6.3,2.6,2018
ODU,8.8,5.8,3.0,2018
SBU,8.8,3.6,5.1,2018
OKST,8.6,2.7,6.0,2018
PROV,8.6,5.7,2.9,2018
MUR,8.1,6.9,1.3,2018
NEB,8.1,3.1,5.0,2018
WIS,8.0,3.0,5.0,2018
UVM,8.0,2.0,6.0,2018
LSU,8.0,4.2,3.8,2018
UTAH,7.9,3.7,4.2,2018
FUR,7.7,2.5,5.1,2018
NMSU,7.6,5.6,2.0,2018
SMU,7.6,3.2,4.4,2018
ORE,7.5,3.4,4.1,2018
SDAK,7.4,5.8,1.5,2018
NKU,7.2,6.7,0.5,2018
BUF,7.2,4.1,3.1,2018
UGA,7.0,4.0,3.0,2018
BEL,6.9,1.7,5.3,2018
BUCK,6.9,4.0,2.9,2018
BYU,6.9,4.4,2.4,2018
SJU,6.8,3.1,3.7,2018
FRES,6.8,3.1,3.7,2018
UNCG,6.7,2.5,4.3,2018
TEM,6.7,5.3,1.4,2018
SDST,6.7,0.7,5.9,2018
ETSU,6.6,2.9,3.7,2018
VAN,6.5,5.6,0.9,2018
IOWA,6.4,4.9,1.5,2018
UVU,6.4,3.8,2.6,2018
WAKE,6.3,2.3,4.0,2018
ISU,6.3,0.6,5.6,2018
STAN,6.2,3.9,2.3,2018
ILL,6.1,0.1,6.0,2018
UNLV,6.0,3.0,3.0,2018
GAST,5.9,6.0,-0.1,2018
PENN,5.9,0.7,5.2,2018
GTWN,5.8,6.0,-0.2,2018
UCF,5.8,7.4,-1.6,2018
MINN,5.7,-0.4,6.1,2018
MISS,5.4,3.5,1.9,2018
UAB,5.3,4.3,1.0,2018
UNM,5.0,2.3,2.7,2018
MONT,4.6,3.1,1.5,2018
DEP,4.5,1.2,3.3,2018
WASH,4.5,2.7,1.8,2018
SFA,4.5,4.9,-0.5,2018
TLSA,4.4,2.0,2.4,2018
FGCU,4.2,-0.1,4.3,2018
ORST,4.1,2.3,1.8,2018
COFC,4.0,-2.7,6.7,2018
GCU,3.9,2.4,1.5,2018
IONA,3.9,3.4,0.5,2018
MRSH,3.8,2.4,1.4,2018
MOST,3.7,4.6,-0.9,2018
MER,3.7,1.2,2.5,2018
TOL,3.7,-0.4,4.0,2018
UTA,3.6,0.7,2.8,2018
JOES,3.5,0.1,3.4,2018
UNCO,3.5,1.7,1.8,2018
VCU,3.5,1.7,1.7,2018
RUTG,3.3,1.6,1.7,2018
GASO,3.3,2.3,0.9,2018
JXST,3.2,-0.7,3.9,2018
CAN,3.1,4.4,-1.3,2018
LIB,3.1,2.5,0.6,2018
UNI,3.0,1.7,1.3,2018
TOW,2.9,5.3,-2.4,2018
UALB,2.8,5.2,-2.3,2018
BRAD,2.7,0.3,2.4,2018
WRST,2.7,0.5,2.2,2018
WIN,2.7,1.2,1.5,2018
RID,2.7,-1.0,3.7,2018
USD,2.6,1.6,1.0,2018
LAS,2.5,-3.8,6.3,2018
HARV,2.5,1.6,0.8,2018
WOF,2.4,-1.2,3.6,2018
SLU,2.3,1.4,0.9,2018
UCSB,2.1,0.7,1.4,2018
PRST,2.1,-2.3,4.4,2018
COLO,2.1,0.8,1.2,2018
HOF,1.9,2.0,-0.1,2018
IDHO,1.8,-1.7,3.5,2018
UCI,1.8,1.6,0.2,2018
WYO,1.7,-2.9,4.6,2018
VAL,1.7,1.4,0.2,2018
WEB,1.6,2.6,-1.0,2018
USU,1.5,-1.2,2.7,2018
W&M,1.4,0.8,0.7,2018
OAK,1.4,-2.4,3.9,2018
UMBC,1.4,3.8,-2.4,2018
SIU,1.3,-2.2,3.5,2018
EWU,1.2,2.6,-1.4,2018
ILST,1.2,2.0,-0.7,2018
MEM,1.2,-1.2,2.4,2018
UCD,1.2,4.5,-3.3,2018
PFW,1.2,1.6,-0.4,2018
DAY,1.1,-2.3,3.5,2018
EVAN,1.1,-0.6,1.7,2018
YALE,1.0,-1.7,2.7,2018
TROY,1.0,2.0,-1.0,2018
RAD,1.0,1.3,-0.3,2018
UNT,1.0,7.2,-6.2,2018
NDSU,1.0,2.1,-1.1,2018
TULN,0.7,-0.2,0.9,2018
EMU,0.6,-0.2,0.8,2018
MONM,0.6,1.9,-1.4,2018
CONN,0.5,-0.5,1.0,2018
UNCA,0.5,1.2,-0.7,2018
LIP,0.5,-1.4,1.9,2018
PRIN,0.2,1.8,-1.5,2018
CMU,0.2,2.2,-2.1,2018
BALL,0.1,-3.8,3.9,2018
DRKE,0.1,0.7,-0.6,2018
RICH,0.1,1.6,-1.5,2018
UIC,0.1,-1.0,1.1,2018
INST,0.1,0.0,0.0,2018
WAG,0.1,0.7,-0.6,2018
NICH,-0.0,0.7,-0.7,2018
CSUF,-0.0,-2.3,2.2,2018
COLG,-0.2,-0.5,0.3,2018
DUQ,-0.2,-0.5,0.3,2018
PAC,-0.2,-2.5,2.2,2018
APP,-0.2,0.8,-1.1,2018
UTSA,-0.2,-0.8,0.5,2018
LAM,-0.3,0.6,-0.9,2018
M-OH,-0.3,3.0,-3.3,2018
CAM,-0.3,-0.8,0.5,2018
MASS,-0.4,0.3,-0.7,2018
WMU,-0.4,1.7,-2.1,2018
APSU,-0.5,-3.0,2.5,2018
COLU,-0.5,-1.6,1.1,2018
OHIO,-0.6,-2.5,1.9,2018
HPU,-0.7,-1.1,0.5,2018
NAVY,-0.7,-1.8,1.1,2018
SFPA,-0.9,1.0,-1.8,2018
CCU,-1.1,-0.2,-1.0,2018
USA,-1.2,0.5,-1.8,2018
KENT,-1.2,-0.9,-0.4,2018
STBK,-1.3,-0.7,-0.7,2018
SEA,-1.4,-1.6,0.2,2018
SPU,-1.5,-3.0,1.4,2018
TNTC,-1.6,1.1,-2.7,2018
FAIR,-1.7,0.9,-2.6,2018
NIA,-1.7,0.7,-2.4,2018
ULM,-1.8,-1.0,-0.8,2018
TXST,-1.9,1.4,-3.3,2018
MAN,-1.9,-1.1,-0.8,2018
CHSO,-2.0,-3.0,1.1,2018
CARK,-2.1,-2.8,0.8,2018
SELA,-2.1,-3.1,1.1,2018
GMU,-2.1,1.2,-3.3,2018
SHSU,-2.1,-2.0,-0.2,2018
WSU,-2.2,-5.3,3.1,2018
LEH,-2.4,-1.6,-0.7,2018
