team,bpi,bpi_off,bpi_def,season
DEN,-0.1,0.9,-1.0,2016
WOF,-0.2,-1.0,0.8,2016
GASO,-0.3,1.6,-1.9,2016
TNTC,-0.3,6.9,-7.3,2016
TXST,-0.5,-1.7,1.2,2016
ORU,-0.5,2.9,-3.4,2016
NAVY,-0.7,7.3,-8.0,2016
DEP,-0.7,5.4,-6.1,2016
AMCC,-0.8,-2.4,1.7,2016
FAIR,-0.8,-5.6,4.8,2016
WMU,-0.8,-3.2,2.4,2016
DART,-0.9,0.9,-1.8,2016
ECU,-1.0,-1.6,0.6,2016
LUC,-1.0,-1.0,0.0,2016
WAG,-1.0,1.8,-2.8,2016
NJIT,-1.0,-2.5,1.5,2016
UTEP,-1.0,-7.1,6.1,2016
CLT,-1.1,-1.4,0.3,2016
ARMY,-1.2,0.9,-2.1,2016
SPU,-1.2,2.9,-4.1,2016
WSU,-1.2,-7.2,6.0,2016
EKU,-1.3,2.1,-3.4,2016
UTM,-1.4,-6.0,4.6,2016
GMU,-1.5,-1.5,-0.0,2016
RID,-1.6,-1.5,-0.0,2016
PAC,-1.6,2.6,-4.2,2016
SHSU,-1.7,0.3,-1.9,2016
RAD,-1.7,0.5,-2.2,2016
WCU,-1.7,-2.7,1.0,2016
UNH,-1.8,-1.1,-0.7,2016
CAN,-1.8,-6.1,4.3,2016
TULN,-1.8,-5.6,3.8,2016
IDHO,-1.8,-0.5,-1.3,2016
UCR,-2.2,1.4,-3.6,2016
PORT,-2.3,3.3,-5.6,2016
WIU,-2.3,2.4,-4.7,2016
GWEB,-2.3,-7.6,5.3,2016
SDAK,-2.3,-0.5,-1.8,2016
APSU,-2.3,4.1,-6.4,2016
UND,-2.4,-1.0,-1.4,2016
SOU,-2.4,-2.6,0.2,2016
SLU,-2.4,-5.8,3.4,2016
FIU,-2.4,-3.0,0.6,2016
SJU,-2.4,-1.3,-1.1,2016
SCU,-2.6,-0.7,-1.9,2016
LMU,-2.6,-1.2,-1.5,2016
SAM,-2.6,-0.3,-2.4,2016
MAN,-2.7,-2.9,0.2,2016
JKST,-2.8,3.2,-5.9,2016
ARST,-2.8,-4.4,1.6,2016
USF,-2.8,-5.5,2.7,2016
BGSU,-2.9,-4.0,1.1,2016
PENN,-3.0,3.8,-6.8,2016
CSUF,-3.0,3.4,-6.4,2016
UNCG,-3.1,-4.0,1.0,2016
COLG,-3.1,0.1,-3.2,2016
NKU,-3.2,3.0,-6.2,2016
UIW,-3.3,0.9,-4.2,2016
IUIN,-3.4,-1.1,-2.3,2016
MTST,-3.4,-2.5,-0.9,2016
DRKE,-3.5,-4.8,1.3,2016
NORF,-3.7,-4.2,0.6,2016
HCU,-3.8,-2.5,-1.4,2016
MSM,-3.9,-2.6,-1.3,2016
BRWN,-4.0,-1.1,-2.9,2016
USA,-4.0,-0.6,-3.4,2016
MOST,-4.0,-3.4,-0.6,2016
DREX,-4.0,-6.3,2.3,2016
M-OH,-4.2,0.1,-4.2,2016
PRST,-4.2,-5.7,1.6,2016
UCD,-4.3,-3.5,-0.9,2016
EIU,-4.4,-3.5,-0.9,2016
CSUN,-4.4,-1.8,-2.6,2016
APP,-4.5,-2.6,-1.8,2016
HAMP,-4.5,-2.6,-1.9,2016
CAM,-4.6,-3.2,-1.4,2016
LIP,-4.6,-1.8,-2.8,2016
L-MD,-4.7,-7.3,2.6,2016
SAC,-4.7,-4.2,-0.5,2016
SFBK,-4.7,0.7,-5.3,2016
COR,-4.7,-2.6,-2.2,2016
SCST,-4.8,-0.8,-4.1,2016
JAX,-4.8,0.3,-5.1,2016
LIU,-4.8,-4.1,-0.8,2016
CHSO,-4.8,-4.7,-0.1,2016
CLE,-4.9,0.5,-5.4,2016
LAS,-5.0,-3.4,-1.6,2016
FDU,-5.2,-3.4,-1.7,2016
UVU,-5.2,-7.5,2.3,2016
IDST,-5.3,-8.5,3.2,2016
STET,-5.3,0.8,-6.1,2016
YSU,-5.3,-8.6,3.3,2016
KENN,-5.3,-3.2,-2.1,2016
SJSU,-5.6,-1.3,-4.3,2016
QUIN,-5.7,-1.3,-4.3,2016
LONG,-5.7,-1.2,-4.5,2016
SFPA,-5.7,-2.4,-3.3,2016
TROY,-5.8,1.8,-7.6,2016
RMU,-5.8,-2.2,-3.6,2016
SHU,-6.0,-4.1,-2.0,2016
DEL,-6.1,-8.0,1.9,2016
RUTG,-6.2,-1.3,-4.8,2016
LIB,-6.3,-4.6,-1.7,2016
MRST,-6.4,-2.0,-4.4,2016
NCCU,-6.5,-1.7,-4.8,2016
JXST,-6.5,0.6,-7.1,2016
AMER,-6.6,-2.6,-4.0,2016
NIA,-6.6,-11.9,5.3,2016
BCU,-6.7,-6.6,-0.1,2016
ACU,-6.7,2.1,-8.8,2016
ALST,-6.8,1.0,-7.8,2016
UNO,-6.8,-2.1,-4.8,2016
RICE,-6.8,2.3,-9.2,2016
SEA,-6.9,2.4,-9.3,2016
UNT,-7.0,-2.5,-4.4,2016
USD,-7.0,-4.1,-2.9,2016
SIUE,-7.0,-7.2,0.2,2016
AAMU,-7.2,-2.7,-4.6,2016
FAU,-7.3,-3.8,-3.4,2016
UML,-7.3,-3.4,-4.0,2016
CIT,-7.4,-7.8,0.4,2016
VMI,-7.6,-0.7,-6.9,2016
SELA,-7.6,-4.4,-3.2,2016
