team,bpi,bpi_off,bpi_def,season
LOU,20.1,10.7,9.4,2014
FLA,19.2,5.2,14.0,2014
DUKE,18.8,13.6,5.2,2014
ARIZ,17.7,5.9,11.8,2014
UVA,16.4,0.2,16.1,2014
VILL,16.2,8.7,7.5,2014
WIS,15.8,11.0,4.8,2014
MICH,15.8,7.8,8.0,2014
PITT,15.7,8.7,7.0,2014
MSU,15.4,7.1,8.3,2014
CREI,15.4,8.5,6.9,2014
WICH,14.9,8.9,6.0,2014
TENN,14.8,11.4,3.3,2014
SYR,14.6,5.4,9.2,2014
OKST,14.5,5.1,9.4,2014
IOWA,14.3,1.7,12.6,2014
OSU,14.1,10.3,3.8,2014
UCLA,14.1,12.4,1.7,2014
SDSU,13.8,2.1,11.8,2014
VCU,13.8,12.0,1.8,2014
ISU,13.3,1.8,11.5,2014
GONZ,13.0,6.8,6.2,2014
CONN,12.9,12.8,0.0,2014
CIN,12.8,7.1,5.7,2014
UNC,12.7,4.3,8.5,2014
HARV,12.1,-0.1,12.2,2014
ORE,12.0,8.2,3.8,2014
ARK,11.8,4.6,7.2,2014
BAY,11.4,11.7,-0.2,2014
FSU,11.4,10.3,1.1,2014
ASU,11.0,5.8,5.2,2014
MEM,10.7,7.6,3.1,2014
SMU,10.1,4.4,5.7,2014
SLU,10.1,7.6,2.4,2014
UTAH,10.0,7.3,2.7,2014
XAV,9.9,2.6,7.3,2014
SJU,9.9,1.0,8.9,2014
CLEM,9.9,3.4,6.5,2014
NDSU,9.6,5.1,4.5,2014
UNM,9.5,4.4,5.2,2014
GTWN,9.5,11.4,-1.9,2014
MASS,9.2,-4.0,13.2,2014
PROV,9.2,4.9,4.3,2014
DAY,9.1,3.9,5.2,2014
MARQ,9.1,5.8,3.3,2014
KSU,9.1,3.3,5.8,2014
WVU,9.1,7.6,1.5,2014
TEX,8.8,6.2,2.7,2014
MIZ,8.6,4.5,4.1,2014
CAL,8.5,4.6,3.9,2014
LSU,8.4,5.3,3.2,2014
BYU,8.4,0.4,8.0,2014
SMC,8.3,7.9,0.4,2014
JOES,8.3,5.0,3.3,2014
STAN,8.0,6.1,1.9,2014
BOIS,7.9,3.8,4.1,2014
IONA,7.8,6.2,1.6,2014
USM,7.6,10.8,-3.2,2014
NMSU,7.6,1.9,5.7,2014
UNLV,7.4,3.8,3.6,2014
NCCU,7.4,4.5,3.0,2014
MAN,7.4,4.1,3.2,2014
MER,7.3,5.7,1.6,2014
ILL,7.3,11.7,-4.3,2014
HALL,7.3,1.5,5.8,2014
MINN,7.0,5.1,1.9,2014
COLO,7.0,3.0,4.0,2014
ALA,6.9,0.5,6.4,2014
MISS,6.9,5.0,1.9,2014
NCSU,6.9,4.6,2.2,2014
CLE,6.8,-2.2,9.1,2014
UGA,6.7,3.4,3.4,2014
GAST,6.7,3.7,3.0,2014
BUT,6.7,2.5,4.2,2014
NEB,6.5,0.0,6.5,2014
PUR,6.2,6.6,-0.4,2014
MTSU,6.2,4.7,1.5,2014
SFA,6.2,2.2,4.0,2014
UVM,6.0,1.8,4.2,2014
SBU,5.9,0.3,5.6,2014
RICH,5.8,5.6,0.2,2014
UNI,5.8,4.5,1.3,2014
PSU,5.7,0.1,5.6,2014
TOL,5.7,0.5,5.2,2014
LAS,5.6,5.0,0.7,2014
WAKE,5.5,-0.1,5.6,2014
UCSB,5.5,0.6,4.8,2014
BEL,5.4,-0.7,6.2,2014
TA&M,5.2,3.2,2.0,2014
TLSA,5.1,-1.5,6.5,2014
ORST,5.0,3.8,1.2,2014
UCI,5.0,3.3,1.7,2014
DEL,4.9,8.4,-3.5,2014
BUF,4.6,0.2,4.4,2014
EKU,4.5,2.5,2.0,2014
TTU,4.4,0.7,3.7,2014
VAN,4.3,7.3,-3.1,2014
DREX,4.2,-3.4,7.6,2014
OHIO,4.2,1.8,2.4,2014
MIA,4.1,5.2,-1.1,2014
PRIN,4.1,-1.8,5.9,2014
USU,4.1,0.0,4.1,2014
DAV,4.1,8.6,-4.5,2014
UTEP,4.0,3.2,0.8,2014
WASH,4.0,4.3,-0.3,2014
AUB,3.9,-0.6,4.5,2014
WMU,3.9,-3.0,6.9,2014
INST,3.8,0.6,3.2,2014
CSU,3.7,0.9,2.8,2014
WRST,3.7,1.1,2.6,2014
EMU,3.6,3.3,0.3,2014
WEB,3.5,-5.3,8.8,2014
AKR,3.3,0.2,3.1,2014
CHSO,3.3,0.9,2.4,2014
PORT,3.3,7.0,-3.7,2014
CAN,3.2,-1.5,4.7,2014
WYO,3.1,5.7,-2.5,2014
VAL,3.1,6.4,-3.3,2014
DEN,2.9,2.6,0.3,2014
HAW,2.8,1.2,1.6,2014
AMER,2.6,0.7,1.8,2014
COLU,2.6,1.5,1.0,2014
GMU,2.5,3.1,-0.6,2014
FRES,2.5,-4.8,7.3,2014
DUQ,2.5,-5.2,7.6,2014
SOU,2.4,0.1,2.4,2014
TOW,2.4,-0.8,3.2,2014
QUIN,2.4,5.0,-2.6,2014
MUR,2.3,3.4,-1.1,2014
PFW,2.2,3.0,-0.9,2014
ARST,2.1,5.9,-3.9,2014
URI,2.0,-4.9,6.9,2014
TEM,1.9,-7.2,9.1,2014
MOST,1.8,-0.9,2.7,2014
YSU,1.8,-3.1,4.9,2014
SCU,1.8,4.9,-3.1,2014
NEV,1.6,-6.7,8.3,2014
PAC,1.6,-2.2,3.8,2014
UPST,1.4,0.5,0.9,2014
SDST,1.4,2.9,-1.5,2014
MILW,1.4,4.1,-2.6,2014
STBK,1.4,-2.5,3.9,2014
