team,bpi,bpi_off,bpi_def,season
OSU,20.3,10.8,9.5,2012
SYR,20.1,11.9,8.2,2012
MSU,18.3,9.9,8.4,2012
UNC,17.6,7.7,9.9,2012
WIS,17.1,13.7,3.4,2012
MIZ,16.2,0.3,15.9,2012
FLA,16.1,8.2,7.8,2012
DUKE,15.9,14.0,1.9,2012
MEM,15.3,11.8,3.5,2012
WICH,15.2,12.1,3.2,2012
MARQ,14.8,12.2,2.6,2012
GTWN,14.6,9.5,5.1,2012
UNM,14.1,8.9,5.3,2012
BAY,13.7,10.5,3.2,2012
VAN,13.5,3.8,9.7,2012
LOU,13.5,6.4,7.1,2012
SLU,12.7,8.9,3.8,2012
FSU,12.6,8.2,4.4,2012
PUR,12.2,3.4,8.9,2012
BEL,12.0,1.6,10.4,2012
ALA,11.9,4.5,7.4,2012
GONZ,11.6,7.5,4.1,2012
KSU,11.5,10.6,0.9,2012
UVA,11.2,-0.3,11.5,2012
SMC,11.2,6.8,4.4,2012
MICH,11.0,5.8,5.2,2012
TEX,11.0,-3.1,14.0,2012
CAL,10.9,6.4,4.5,2012
UNLV,10.7,2.6,8.1,2012
CREI,10.3,6.3,4.0,2012
CIN,10.1,4.8,5.3,2012
WVU,10.1,8.9,1.2,2012
TEM,10.0,11.3,-1.3,2012
ISU,10.0,3.2,6.8,2012
IONA,9.9,7.3,2.6,2012
CONN,9.8,8.3,1.5,2012
BYU,9.7,7.2,2.6,2012
NCSU,9.6,13.1,-3.5,2012
LBSU,9.5,4.3,5.2,2012
PITT,8.9,7.9,1.0,2012
MIA,8.8,7.3,1.5,2012
VCU,8.8,5.4,3.4,2012
DREX,8.3,4.7,3.6,2012
HARV,8.2,5.0,3.2,2012
DAV,8.2,2.7,5.5,2012
XAV,8.1,-1.3,9.4,2012
MINN,8.1,-0.6,8.7,2012
ARIZ,8.1,8.2,-0.2,2012
HALL,8.0,5.2,2.8,2012
LAS,7.9,4.1,3.9,2012
MTSU,7.8,3.3,4.5,2012
MUR,7.6,2.2,5.4,2012
SBU,7.6,1.4,6.2,2012
USM,7.5,5.1,2.5,2012
JOES,7.5,2.9,4.6,2012
MSST,7.5,2.6,4.9,2012
OHIO,7.4,3.5,3.9,2012
ORE,7.2,4.7,2.5,2012
CLEM,7.1,5.6,1.4,2012
SDST,6.9,0.4,6.5,2012
NMSU,6.9,6.0,0.9,2012
MASS,6.9,2.3,4.6,2012
TENN,6.9,7.0,-0.1,2012
UCLA,6.8,-0.2,7.1,2012
SDSU,6.7,5.5,1.2,2012
USF,6.7,7.0,-0.3,2012
CLE,6.7,8.3,-1.6,2012
AKR,6.6,9.2,-2.5,2012
STAN,6.6,2.1,4.5,2012
ILL,6.6,1.7,4.9,2012
UNI,6.5,3.1,3.4,2012
DAY,6.5,-5.2,11.7,2012
LEH,6.5,0.5,6.0,2012
WASH,6.4,4.7,1.7,2012
BUF,6.2,4.3,1.9,2012
DEN,6.1,0.9,5.2,2012
MRSH,6.0,-0.7,6.7,2012
GAST,6.0,5.6,0.4,2012
MISS,6.0,6.1,-0.1,2012
ORU,5.7,7.3,-1.6,2012
UNCA,5.6,4.9,0.7,2012
BUCK,5.6,0.5,5.1,2012
COLO,5.5,4.8,0.7,2012
WYO,5.3,-0.9,6.3,2012
UTA,5.3,1.9,3.4,2012
