team,bpi,bpi_off,bpi_def,season
DUKE,25.6,12.9,12.8,2026
MICH,24.1,11.7,12.4,2026
ARIZ,23.7,11.9,11.8,2026
HOU,23.0,10.5,12.6,2026
FLA,22.3,10.9,11.4,2026
ISU,21.5,10.1,11.4,2026
ILL,21.0,13.1,7.9,2026
GONZ,20.6,9.6,11.0,2026
PUR,20.6,13.8,6.8,2026
CONN,19.4,9.1,10.3,2026
LOU,19.1,10.4,8.7,2026
TENN,18.9,8.7,10.2,2026
MSU,18.4,8.0,10.4,2026
VAN,18.2,11.1,7.1,2026
ALA,17.9,12.3,5.5,2026
SJU,17.8,7.3,10.5,2026
ARK,17.0,11.1,5.9,2026
NEB,16.9,6.1,10.9,2026
BYU,16.8,10.9,5.8,2026
UVA,16.7,8.5,8.2,2026
TTU,16.6,10.0,6.6,2026
WIS,16.6,6.1,10.5,2026
UCLA,16.5,8.9,7.6,2026
OSU,15.8,10.0,5.7,2026
SMC,15.2,8.8,6.4,2026
AUB,14.9,9.4,5.5,2026
CLEM,14.8,6.0,8.8,2026
UNC,14.7,10.6,4.2,2026
IOWA,14.6,5.9,8.7,2026
TA&M,14.5,7.7,6.8,2026
UGA,14.4,8.2,6.2,2026
USU,14.2,8.3,5.9,2026
SLU,14.1,9.0,5.1,2026
VILL,14.0,8.6,5.5,2026
NCSU,13.8,7.5,6.3,2026
TEX,13.6,7.4,6.2,2026
MIA,13.5,9.1,4.4,2026
SMU,13.5,7.7,5.9,2026
CIN,13.5,9.8,3.6,2026
MIZ,13.3,7.7,5.6,2026
BAY,13.3,9.9,3.4,2026
VCU,12.6,8.5,4.0,2026
WVU,12.3,2.1,10.2,2026
TCU,12.0,7.7,4.3,2026
SCU,11.9,9.0,2.9,2026
WASH,11.7,6.6,5.1,2026
USF,11.2,2.3,8.9,2026
MISS,11.2,3.6,7.6,2026
LSU,10.9,7.0,3.8,2026
HALL,10.5,5.4,5.2,2026
UNM,10.5,5.1,5.4,2026
SDSU,10.5,4.8,5.7,2026
UCF,10.1,6.9,3.2,2026
PROV,10.1,0.6,9.4,2026
MCN,9.8,4.2,5.6,2026
WAKE,9.8,2.0,7.8,2026
CREI,9.6,6.6,3.0,2026
HPU,9.6,5.1,4.5,2026
DAY,9.6,7.9,1.7,2026
BUT,9.4,4.4,5.0,2026
USC,9.4,5.3,4.1,2026
TLSA,9.1,5.3,3.8,2026
FSU,8.9,6.3,2.6,2026
MINN,8.8,2.1,6.7,2026
GTWN,8.8,5.5,3.3,2026
GCU,8.7,4.8,3.9,2026
OKST,8.7,3.8,4.9,2026
STAN,8.6,6.9,1.7,2026
MARQ,8.1,4.6,3.6,2026
AKR,8.0,3.6,4.4,2026
SYR,8.0,3.4,4.6,2026
BOIS,8.0,1.0,7.0,2026
MSST,7.9,4.9,3.0,2026
CAL,7.9,5.1,2.7,2026
UNI,7.8,4.1,3.7,2026
NEV,7.8,2.0,5.7,2026
WICH,7.7,5.6,2.1,2026
GMU,7.7,3.9,3.8,2026
CSU,7.6,4.4,3.2,2026
KSU,7.6,3.9,3.6,2026
ORE,7.6,3.0,4.5,2026
ASU,7.4,0.2,7.1,2026
COLO,7.3,3.8,3.4,2026
M-OH,6.8,2.7,4.1,2026
PITT,6.7,2.5,4.2,2026
BEL,6.7,5.8,0.9,2026
XAV,6.7,3.4,3.2,2026
YALE,6.6,4.2,2.4,2026
DEP,6.6,2.6,3.9,2026
ILST,6.5,3.0,3.4,2026
LIB,6.4,5.1,1.3,2026
HOF,6.3,2.7,3.6,2026
MEM,6.2,5.1,1.2,2026
UAB,6.2,3.7,2.5,2026
UNLV,5.9,4.9,1.0,2026
UTAH,5.9,4.4,1.4,2026
UNCW,5.6,5.6,0.1,2026
RUTG,5.6,2.7,2.9,2026
DAV,5.1,-0.6,5.7,2026
UCI,5.0,1.7,3.3,2026
SHSU,4.8,5.2,-0.5,2026
UVU,4.6,1.5,3.1,2026
SFA,4.5,-0.1,4.5,2026
URI,4.2,1.5,2.7,2026
BRAD,4.2,2.9,1.2,2026
UIC,4.1,2.4,1.7,2026
WYO,4.1,3.4,0.7,2026
JOES,3.9,1.7,2.3,2026
FAU,3.7,1.5,2.1,2026
UNT,3.7,0.8,2.8,2026
HAW,3.5,-2.6,6.2,2026
MUR,3.5,2.5,1.0,2026
SBU,3.5,0.6,2.9,2026
KENN,3.3,0.3,3.0,2026
SIU,3.2,-1.0,4.3,2026
PSU,3.2,1.5,1.7,2026
DUQ,3.1,0.3,2.8,2026
SEA,3.0,2.6,0.4,2026
PAC,3.0,-1.3,4.3,2026
STMN,2.9,0.7,2.2,2026
TEM,2.8,-2.9,5.8,2026
NDSU,2.8,-1.4,4.2,2026
TROY,2.7,3.4,-0.7,2026
ARST,2.6,2.8,-0.1,2026
CBU,2.5,1.6,0.9,2026
RICH,2.5,-2.9,5.4,2026
RGV,2.4,2.8,-0.4,2026
WRST,2.4,0.6,1.8,2026
NAVY,2.2,-3.9,6.1,2026
UCSD,2.1,-0.4,2.5,2026
ETSU,2.1,2.0,0.0,2026
KENT,2.0,2.1,-0.1,2026
BGSU,1.9,1.2,0.7,2026
COR,1.9,0.4,1.5,2026
UCSB,1.7,0.8,0.9,2026
WIN,1.6,-1.1,2.8,2026
LMU,1.6,-1.4,2.9,2026
TOW,1.5,1.0,0.5,2026
WKU,1.5,0.2,1.3,2026
TOL,1.5,1.4,0.1,2026
W&M,1.4,-1.3,2.8,2026
FRES,1.3,-1.4,2.8,2026
MTSU,1.3,0.1,1.2,2026
MTST,1.2,1.1,0.1,2026
PENN,1.1,-1.6,2.8,2026
MASS,1.0,5.8,-4.7,2026
FUR,1.0,1.6,-0.6,2026
UNCO,1.0,0.9,0.0,2026
APP,0.9,-1.5,2.5,2026
MER,0.9,-2.2,3.2,2026
FOR,0.8,-0.4,1.2,2026
WSU,0.7,2.5,-1.8,2026
NMSU,0.6,-3.6,4.2,2026
APSU,0.6,0.8,-0.2,2026
HARV,0.4,-2.3,2.7,2026
OAK,0.2,-0.5,0.8,2026
RMU,0.0,-0.5,0.5,2026
ORST,-0.1,-1.0,0.9,2026
IDHO,-0.1,-0.8,0.7,2026
COFC,-0.1,-0.7,0.6,2026
MRSH,-0.2,1.6,-1.7,2026
JXST,-0.2,-1.9,1.7,2026
LIP,-0.2,0.6,-0.9,2026
VAL,-0.3,-3.2,2.9,2026
MONM,-0.3,1.3,-1.6,2026
AMCC,-0.3,-1.2,0.9,2026
UMBC,-0.4,-1.1,0.8,2026
NKU,-0.5,-2.4,2.0,2026
CAM,-0.5,2.6,-3.1,2026
DRKE,-0.5,-0.5,-0.1,2026
JMU,-0.5,-0.0,-0.5,2026
SAM,-0.6,-0.7,0.1,2026
CLT,-0.6,-1.2,0.6,2026
MRMK,-0.7,1.3,-2.0,2026
COLU,-0.8,-2.4,1.6,2026
CARK,-0.9,-0.9,0.1,2026
USA,-0.9,-1.6,0.7,2026
PRST,-1.0,-2.2,1.2,2026
QUC,-1.1,-4.1,3.0,2026
TULN,-1.2,-1.0,-0.1,2026
CSUN,-1.2,-4.0,2.8,2026
SIE,-1.3,-0.7,-0.6,2026
UTA,-1.3,0.3,-1.5,2026
RICE,-1.3,-0.2,-1.1,2026
QUIN,-1.4,0.2,-1.6,2026
MRST,-1.4,0.1,-1.6,2026
MOST,-1.4,1.5,-2.9,2026
OHIO,-1.4,-3.0,1.6,2026
YSU,-1.5,-1.0,-0.6,2026
HOW,-1.6,-1.2,-0.4,2026
UCD,-1.7,-1.8,0.1,2026
TNST,-1.7,-3.9,2.1,2026
UVM,-1.8,3.2,-5.0,2026
SDST,-1.8,-1.3,-0.5,2026
FIU,-1.8,-1.6,-0.2,2026
WCU,-1.8,-1.9,0.1,2026
TXST,-1.8,-5.0,3.2,2026
WEB,-1.9,-0.8,-1.1,2026
FGCU,-2.0,-3.2,1.2,2026
DREX,-2.2,-6.0,3.9,2026
INST,-2.2,-0.5,-1.7,2026
EWU,-2.4,-0.2,-2.2,2026
AMER,-2.5,-2.5,0.0,2026
LIU,-2.5,-3.3,0.8,2026
RAD,-2.6,-3.1,0.5,2026
GASO,-2.6,-2.0,-0.6,2026
MONT,-2.7,-1.4,-1.3,2026
CSUF,-2.8,-1.5,-1.3,2026
LAS,-2.9,-2.7,-0.2,2026
ODU,-2.9,-0.7,-2.2,2026
