team,bpi,bpi_off,bpi_def,season
DUKE,24.8,13.9,10.8,2025
HOU,23.9,10.6,13.3,2025
AUB,21.9,12.2,9.7,2025
FLA,20.6,11.8,8.8,2025
TENN,19.2,8.9,10.3,2025
ALA,19.0,12.2,6.8,2025
ISU,18.3,8.2,10.2,2025
GONZ,18.3,11.2,7.1,2025
ARIZ,18.1,10.5,7.6,2025
TTU,17.9,11.0,6.9,2025
MSU,17.5,7.2,10.3,2025
SJU,17.1,7.0,10.1,2025
CONN,16.9,5.5,11.3,2025
PUR,16.6,7.3,9.2,2025
CLEM,16.5,10.4,6.1,2025
WIS,16.2,10.4,5.7,2025
BAY,16.1,10.3,5.8,2025
ILL,16.1,7.9,8.1,2025
MARQ,15.9,9.2,6.7,2025
TA&M,15.6,10.1,5.5,2025
UNC,15.5,9.0,6.4,2025
UCLA,15.4,7.3,8.1,2025
BYU,15.3,6.5,8.8,2025
CREI,15.0,8.6,6.3,2025
MICH,15.0,6.6,8.4,2025
MISS,14.9,9.8,5.2,2025
ORE,14.9,8.0,6.9,2025
LOU,14.1,6.2,7.9,2025
SMC,14.1,7.4,6.7,2025
MIZ,13.9,6.7,7.2,2025
TEX,13.7,6.6,7.1,2025
MSST,13.6,4.9,8.8,2025
VCU,13.3,9.2,4.1,2025
OSU,13.1,7.8,5.4,2025
XAV,13.1,7.3,5.9,2025
ARK,13.1,5.5,7.6,2025
UGA,12.8,7.1,5.7,2025
CIN,12.6,6.8,5.8,2025
VILL,12.6,5.0,7.6,2025
UNM,12.2,5.3,6.9,2025
SMU,12.0,3.9,8.2,2025
NEB,12.0,8.1,4.0,2025
USU,11.5,6.8,4.7,2025
MEM,11.3,5.0,6.3,2025
BOIS,11.3,3.9,7.3,2025
CSU,11.1,6.4,4.7,2025
PITT,11.1,5.0,6.0,2025
WVU,11.0,8.5,2.6,2025
VAN,11.0,4.8,6.2,2025
USC,11.0,6.1,4.9,2025
SDSU,11.0,5.6,5.4,2025
PSU,10.8,4.7,6.1,2025
UCSD,10.7,6.3,4.4,2025
IOWA,10.6,2.3,8.3,2025
UTAH,10.0,6.2,3.8,2025
WAKE,9.9,6.2,3.7,2025
MCN,9.9,1.8,8.1,2025
UCF,9.7,4.7,4.9,2025
KSU,9.6,4.4,5.2,2025
BUT,9.6,8.4,1.1,2025
SCU,8.8,4.0,4.8,2025
YALE,8.7,1.9,6.7,2025
TCU,8.6,4.6,4.0,2025
DRKE,8.5,5.2,3.3,2025
GMU,8.4,2.3,6.1,2025
RUTG,8.3,6.3,2.0,2025
LSU,8.2,5.1,3.1,2025
JOES,8.2,5.2,3.0,2025
NEV,8.1,0.9,7.1,2025
ASU,8.0,2.8,5.2,2025
UNT,7.7,1.0,6.7,2025
DAY,7.5,4.4,3.1,2025
HPU,7.5,2.4,5.1,2025
ARST,7.4,2.6,4.7,2025
PROV,7.3,4.4,2.9,2025
FSU,7.3,2.4,4.9,2025
COLO,7.2,2.3,4.9,2025
GTWN,7.2,3.1,4.1,2025
