team,bpi,bpi_off,bpi_def,season
GONZ,20.5,12.8,7.7,2022
HOU,19.8,10.1,9.7,2022
TENN,18.0,7.1,10.9,2022
BAY,17.9,10.1,7.8,2022
ARIZ,17.7,11.1,6.6,2022
VILL,17.6,10.9,6.7,2022
DUKE,17.6,10.5,7.1,2022
TTU,17.6,10.7,6.8,2022
PUR,16.8,12.0,4.8,2022
UCLA,16.5,6.0,10.5,2022
AUB,16.4,12.7,3.6,2022
IOWA,16.2,9.2,6.9,2022
LSU,15.6,6.5,9.0,2022
ILL,15.5,11.9,3.5,2022
TEX,14.0,3.6,10.4,2022
UNC,13.9,7.3,6.7,2022
CONN,13.9,6.0,7.8,2022
ARK,13.3,7.8,5.5,2022
SMC,13.3,7.6,5.7,2022
MEM,13.2,8.3,5.0,2022
ALA,12.8,5.3,7.6,2022
OSU,11.8,4.5,7.3,2022
MICH,11.8,5.6,6.2,2022
LUC,11.6,8.2,3.4,2022
WIS,11.5,8.6,2.9,2022
PROV,11.4,7.6,3.9,2022
SDSU,11.2,4.9,6.4,2022
TCU,10.9,4.7,6.1,2022
MSU,10.7,5.4,5.3,2022
MUR,10.7,5.1,5.6,2022
WAKE,10.6,0.3,10.3,2022
MSST,10.6,5.4,5.1,2022
OKST,10.5,4.0,6.5,2022
TA&M,10.3,5.6,4.7,2022
UVM,10.3,6.6,3.7,2022
USC,10.2,5.3,4.9,2022
DAY,10.2,5.3,4.9,2022
HALL,10.2,0.8,9.4,2022
XAV,10.1,4.2,5.8,2022
FLA,10.0,6.7,3.2,2022
SJU,10.0,3.2,6.8,2022
UAB,9.8,6.9,2.9,2022
MIA,9.8,4.8,5.0,2022
ISU,9.7,4.3,5.5,2022
DAV,9.6,4.0,5.6,2022
SMU,9.6,5.3,4.2,2022
WSU,9.4,4.9,4.5,2022
VAN,9.2,5.4,3.8,2022
SLU,9.2,5.5,3.8,2022
VCU,9.1,7.7,1.5,2022
UVA,9.1,0.5,8.7,2022
BOIS,9.1,9.0,0.1,2022
SYR,9.1,4.3,4.8,2022
MARQ,8.8,3.0,5.7,2022
UTC,8.5,3.1,5.4,2022
UNT,8.4,4.8,3.6,2022
CLEM,8.2,-1.3,9.5,2022
CREI,8.1,3.1,5.0,2022
SDST,8.0,2.9,5.1,2022
WVU,8.0,7.5,0.6,2022
SBU,8.0,3.6,4.4,2022
BEL,8.0,4.2,3.8,2022
KSU,8.0,2.0,6.0,2022
FUR,7.9,5.2,2.8,2022
RUTG,7.8,2.0,5.8,2022
TOL,7.8,9.0,-1.2,2022
ORE,7.8,3.6,4.2,2022
RICH,7.7,4.8,2.9,2022
IONA,7.6,5.4,2.2,2022
TOW,7.5,3.6,3.9,2022
SCU,7.4,7.4,0.0,2022
PSU,7.3,4.6,2.8,2022
CSU,7.3,3.0,4.3,2022
MOST,7.2,5.7,1.5,2022
BYU,7.0,4.7,2.3,2022
FRES,7.0,4.5,2.5,2022
USU,6.9,3.6,3.3,2022
WICH,6.9,4.3,2.6,2022
DRKE,6.6,5.4,1.2,2022
ASU,6.6,2.5,4.1,2022
FSU,6.4,2.5,4.0,2022
UNLV,6.4,5.9,0.5,2022
COLO,6.4,5.9,0.4,2022
DEP,6.2,3.8,2.5,2022
TULN,6.2,1.3,4.8,2022
SPU,5.7,-0.3,6.0,2022
UCF,5.6,3.7,1.9,2022
MTSU,5.5,0.7,4.8,2022
GCU,5.4,3.9,1.5,2022
LIB,5.3,-0.7,5.9,2022
CIN,5.2,2.4,2.7,2022
MISS,5.1,2.9,2.2,2022
GMU,4.9,1.7,3.2,2022
UNI,4.9,2.9,2.0,2022
AKR,4.9,3.6,1.3,2022
NMSU,4.8,-1.5,6.3,2022
MINN,4.7,2.5,2.2,2022
STAN,4.6,2.2,2.4,2022
WYO,4.5,0.5,4.0,2022
BRAD,4.5,3.1,1.4,2022
WOF,4.5,1.2,3.3,2022
WKU,4.4,2.0,2.5,2022
COLG,4.2,2.3,2.0,2022
WAG,4.2,4.6,-0.4,2022
BUF,4.2,3.0,1.2,2022
LOU,3.9,2.0,1.9,2022
HOF,3.9,2.4,1.5,2022
OHIO,3.8,2.6,1.2,2022
TEM,3.8,1.4,2.4,2022
WASH,3.8,2.9,0.9,2022
NCSU,3.8,0.4,3.4,2022
PRIN,3.8,3.7,0.1,2022
KENT,3.7,2.0,1.7,2022
ORU,3.7,3.8,-0.1,2022
JXST,3.7,1.2,2.5,2022
URI,3.6,3.2,0.4,2022
MORE,3.4,0.9,2.5,2022
UCI,3.2,4.0,-0.8,2022
SEA,3.1,1.8,1.4,2022
CAL,3.0,-0.1,3.1,2022
LONG,2.9,0.5,2.5,2022
MONM,2.9,1.5,1.4,2022
NEB,2.9,3.9,-1.0,2022
TXST,2.9,5.7,-2.9,2022
UTAH,2.8,0.3,2.6,2022
GAST,2.3,4.3,-2.0,2022
OAK,2.3,2.6,-0.3,2022
CCU,2.2,-2.3,4.5,2022
ACU,2.1,-0.1,2.2,2022
NDSU,2.0,-2.3,4.4,2022
SHSU,2.0,-0.4,2.4,2022
BUT,1.8,-1.3,3.1,2022
COFC,1.8,2.3,-0.5,2022
USA,1.7,0.0,1.6,2022
FAU,1.4,1.6,-0.2,2022
DEL,1.4,1.0,0.4,2022
WIN,1.4,-1.1,2.5,2022
JAX,1.4,2.0,-0.6,2022
NORF,1.4,-0.9,2.3,2022
DREX,1.4,1.5,-0.1,2022
UCSB,1.3,0.3,1.0,2022
WRST,1.2,-0.1,1.3,2022
SIU,1.2,1.1,0.1,2022
VMI,1.2,-1.1,2.3,2022
MIZ,1.1,-0.9,2.1,2022
YALE,1.1,0.7,0.4,2022
GWEB,1.1,-0.0,1.1,2022
NAVY,1.1,1.6,-0.5,2022
NEV,1.1,2.5,-1.4,2022
UNCA,1.1,2.2,-1.1,2022
TLSA,1.1,-1.3,2.4,2022
APP,1.0,-0.2,1.2,2022
UVU,0.9,1.8,-0.9,2022
NIA,0.9,1.5,-0.7,2022
MTST,0.8,2.3,-1.5,2022
JOES,0.8,-0.9,1.7,2022
SFA,0.8,4.7,-3.9,2022
BRY,0.8,-0.3,1.0,2022
CLE,0.7,-1.4,2.1,2022
ECU,0.6,-2.5,3.1,2022
UTEP,0.6,-3.8,4.4,2022
CSUF,0.6,1.0,-0.4,2022
GTWN,0.5,1.0,-0.4,2022
TXSO,0.5,0.8,-0.3,2022
NKU,0.4,-1.2,1.6,2022
BELL,0.2,-1.3,1.5,2022
UNCW,0.2,-0.2,0.3,2022
FAIR,0.1,0.4,-0.3,2022
FOR,0.1,-1.2,1.3,2022
UNCG,-0.0,-1.6,1.6,2022
NICH,-0.1,-0.7,0.6,2022
WEB,-0.2,0.6,-0.7,2022
PORT,-0.2,0.6,-0.8,2022
MASS,-0.3,-0.4,0.0,2022
HAW,-0.3,-1.0,0.6,2022
FGCU,-0.4,0.7,-1.1,2022
ODU,-0.4,1.2,-1.6,2022
COR,-0.4,-2.5,2.1,2022
SUU,-0.5,-0.4,-0.1,2022
JMU,-0.5,3.5,-4.0,2022
SDAK,-0.6,0.6,-1.2,2022
LBSU,-0.6,-0.9,0.3,2022
UCR,-0.7,-5.2,4.5,2022
PITT,-0.7,-1.7,1.0,2022
MRST,-0.7,-0.4,-0.3,2022
MER,-0.9,0.5,-1.3,2022
ETSU,-0.9,-0.1,-0.8,2022
SOU,-0.9,5.2,-6.1,2022
TROY,-0.9,-0.6,-0.3,2022
PFW,-1.1,1.8,-2.9,2022
CLT,-1.1,-0.9,-0.3,2022
UGA,-1.2,0.6,-1.9,2022
CAM,-1.3,1.3,-2.6,2022
HOW,-1.3,-1.8,0.5,2022
UNH,-1.4,0.3,-1.7,2022
BRWN,-1.4,2.0,-3.4,2022
DETM,-1.5,-0.7,-0.8,2022
ARST,-1.6,-2.5,0.9,2022
SAM,-1.7,-2.2,0.5,2022
LIU,-1.8,-1.5,-0.3,2022
UML,-1.8,1.8,-3.5,2022
UMBC,-1.8,0.7,-2.5,2022
QUIN,-1.9,2.3,-4.2,2022
DART,-1.9,-3.7,1.7,2022
KENN,-1.9,-3.2,1.3,2022
VAL,-1.9,-1.5,-0.4,2022
RICE,-1.9,1.2,-3.1,2022
ILST,-2.0,2.1,-4.0,2022
USD,-2.1,-1.1,-0.9,2022
PENN,-2.1,-1.4,-0.7,2022
EKU,-2.1,0.9,-3.0,2022
ORST,-2.1,-2.3,0.2,2022
LAS,-2.1,2.4,-4.6,2022
UTA,-2.2,-2.0,-0.2,2022
STBK,-2.3,-0.4,-1.9,2022
MSM,-2.3,-1.4,-0.9,2022
RID,-2.3,-3.4,1.0,2022
CIT,-2.4,0.5,-2.9,2022
CBU,-2.4,0.2,-2.6,2022
CAN,-2.6,-2.2,-0.4,2022
EWU,-2.7,0.3,-3.0,2022
PRST,-2.7,-0.3,-2.5,2022
LMU,-2.7,2.0,-4.7,2022
M-OH,-2.9,-0.4,-2.4,2022
NCCU,-2.9,-2.4,-0.4,2022
MRSH,-2.9,-3.6,0.8,2022
SIE,-2.9,0.8,-3.8,2022
AMCC,-2.9,-0.3,-2.6,2022
MAN,-2.9,1.4,-4.4,2022
YSU,-3.0,-3.0,-0.0,2022
TAR,-3.0,-3.2,0.2,2022
MONT,-3.0,1.1,-4.1,2022
UCD,-3.1,-3.4,0.3,2022
TNTC,-3.1,-2.5,-0.7,2022
USF,-3.3,0.1,-3.4,2022
WIU,-3.3,-1.9,-1.4,2022
GASO,-3.3,-3.2,-0.1,2022
UNF,-3.4,0.3,-3.7,2022
UNCO,-3.4,-4.1,0.7,2022
HARV,-3.5,1.2,-4.7,2022
UNM,-3.5,1.2,-4.7,2022
BGSU,-3.5,-2.8,-0.8,2022
INST,-3.5,-1.7,-1.8,2022
TNST,-3.6,-3.1,-0.4,2022
HPU,-3.7,-2.6,-1.0,2022
L-MD,-3.8,-1.4,-2.5,2022
UNO,-3.8,0.4,-4.3,2022
UNA,-3.9,-3.9,0.0,2022
UPST,-3.9,-2.4,-1.6,2022
FIU,-4.0,-4.1,0.2,2022
PRES,-4.0,-1.2,-2.8,2022
ELON,-4.1,-7.5,3.4,2022
UIC,-4.2,-1.2,-3.0,2022
UALB,-4.2,-4.2,-0.1,2022
BALL,-4.2,-3.5,-0.7,2022
BING,-4.3,2.4,-6.6,2022
SELA,-4.3,-3.7,-0.6,2022
DUQ,-4.3,-0.7,-3.6,2022
UCSD,-4.4,1.0,-5.3,2022
ALCN,-4.4,-2.8,-1.6,2022
MORG,-4.6,-2.6,-1.9,2022
MCN,-4.6,-3.1,-1.5,2022
ULM,-4.6,-2.7,-1.9,2022
ARMY,-4.7,-4.6,-0.1,2022
SEMO,-4.7,-4.0,-0.8,2022
SIUE,-4.8,-5.8,1.1,2022
JKST,-4.8,-0.8,-4.0,2022
MRMK,-4.9,-0.3,-4.6,2022
LIP,-5.0,-2.8,-2.2,2022
CSUB,-5.0,-4.8,-0.2,2022
PEPP,-5.0,-2.2,-2.8,2022
APSU,-5.2,-1.9,-3.3,2022
NCAT,-5.2,-6.6,1.3,2022
UTU,-5.6,-1.1,-4.5,2022
RAD,-5.6,-4.5,-1.1,2022
WCU,-5.7,0.1,-5.8,2022
SHU,-5.8,-3.0,-2.8,2022
SFBK,-5.8,-1.3,-4.5,2022
STMN,-5.8,-3.9,-1.9,2022
UMES,-6.1,-5.2,-0.9,2022
NIU,-6.1,-2.3,-3.8,2022
RMU,-6.1,-1.0,-5.1,2022
UTM,-6.2,-4.7,-1.5,2022
PAC,-6.2,-0.6,-5.6,2022
COPP,-6.2,-5.5,-0.8,2022
SJSU,-6.3,-6.8,0.6,2022
SCST,-6.3,-6.1,-0.2,2022
STET,-6.4,-0.6,-5.8,2022
LEH,-6.5,-3.5,-2.9,2022
SFPA,-6.6,-4.1,-2.5,2022
