team,bpi,bpi_off,bpi_def,season
HOU,23.0,9.1,13.9,2024
CONN,22.7,13.8,8.9,2024
PUR,20.3,13.1,7.2,2024
AUB,18.5,9.9,8.6,2024
ISU,18.2,6.7,11.5,2024
ARIZ,18.2,10.0,8.1,2024
TENN,18.1,7.6,10.5,2024
DUKE,17.9,10.9,7.0,2024
UNC,17.0,9.3,7.7,2024
CREI,16.8,10.9,5.9,2024
ILL,16.3,11.7,4.5,2024
ALA,16.2,13.4,2.8,2024
MARQ,15.3,8.6,6.7,2024
BAY,15.1,11.8,3.3,2024
GONZ,14.9,10.9,4.0,2024
SMC,14.0,5.6,8.4,2024
MSU,13.8,5.6,8.3,2024
BYU,13.5,9.0,4.5,2024
WIS,13.3,8.6,4.7,2024
CLEM,12.9,7.9,4.9,2024
TEX,12.7,5.9,6.8,2024
SJU,12.7,6.7,5.9,2024
FLA,12.7,7.9,4.7,2024
TTU,12.6,10.3,2.3,2024
PITT,12.1,8.9,3.2,2024
TA&M,11.7,7.6,4.2,2024
DAY,11.6,6.6,5.0,2024
CIN,11.5,7.3,4.2,2024
WAKE,11.5,7.5,4.0,2024
VILL,11.5,4.6,6.9,2024
TCU,11.5,7.4,4.0,2024
MSST,11.4,4.2,7.1,2024
SDSU,11.4,5.8,5.6,2024
FAU,11.1,4.3,6.9,2024
NEB,11.1,3.7,7.3,2024
INST,11.0,8.8,2.2,2024
NCSU,10.7,5.9,4.8,2024
WSU,10.6,5.6,5.0,2024
OSU,10.3,6.4,3.9,2024
COLO,10.2,8.6,1.5,2024
PROV,10.1,5.8,4.3,2024
IOWA,10.1,4.7,5.4,2024
BOIS,9.9,6.0,3.9,2024
UNM,9.8,6.9,2.9,2024
UTAH,9.7,6.7,3.0,2024
XAV,9.4,2.2,7.2,2024
GCU,9.3,8.7,0.5,2024
HALL,9.2,5.2,4.0,2024
JMU,9.1,3.7,5.4,2024
ORE,9.1,4.8,4.3,2024
DRKE,9.1,3.7,5.3,2024
NEV,9.0,4.4,4.6,2024
UCF,9.0,4.1,4.9,2024
MCN,8.9,5.1,3.8,2024
KSU,8.9,5.7,3.2,2024
UVA,8.8,6.0,2.8,2024
WASH,8.8,4.9,3.9,2024
PRIN,8.7,1.3,7.4,2024
CSU,8.6,4.6,4.0,2024
UNLV,8.5,5.2,3.3,2024
YALE,8.5,4.4,4.1,2024
USU,8.4,2.3,6.2,2024
BRAD,8.4,0.1,8.3,2024
VCU,8.2,5.3,2.9,2024
SMU,8.2,7.4,0.8,2024
BUT,8.2,1.0,7.2,2024
APP,7.9,5.1,2.8,2024
MEM,7.6,4.6,3.0,2024
FSU,7.6,4.3,3.3,2024
USC,7.4,5.1,2.3,2024
MIA,7.3,3.7,3.6,2024
UGA,7.2,2.4,4.8,2024
UCI,7.1,5.1,2.1,2024
RICH,7.1,2.9,4.2,2024
PSU,7.1,3.7,3.3,2024
MINN,7.1,1.4,5.7,2024
UVM,6.9,4.1,2.8,2024
JOES,6.7,3.2,3.5,2024
UNT,6.6,3.2,3.5,2024
LSU,6.6,4.2,2.4,2024
DUQ,6.6,2.1,4.4,2024
USF,6.5,2.7,3.9,2024
MASS,6.5,1.9,4.6,2024
MISS,6.4,3.1,3.3,2024
SAM,6.2,3.7,2.6,2024
SBU,6.2,2.2,3.9,2024
SYR,6.2,3.6,2.5,2024
RUTG,6.0,2.1,3.9,2024
COFC,6.0,3.3,2.7,2024
HOF,5.9,1.0,5.0,2024
LUC,5.9,2.8,3.1,2024
COR,5.8,3.4,2.4,2024
MORE,5.7,4.3,1.5,2024
GMU,5.7,1.5,4.2,2024
SEA,5.7,4.7,1.0,2024
UNCW,5.6,4.2,1.4,2024
UCLA,5.5,2.7,2.9,2024
DREX,5.5,-3.6,9.1,2024
STAN,5.5,4.9,0.6,2024
AKR,5.4,2.4,3.0,2024
LIB,5.3,2.8,2.5,2024
HPU,5.2,-0.2,5.4,2024
ARK,5.1,5.3,-0.2,2024
COLG,5.0,2.3,2.7,2024
UAB,5.0,1.7,3.3,2024
CLT,4.8,0.8,4.0,2024
OKST,4.7,5.6,-0.9,2024
OHIO,4.6,0.2,4.4,2024
TOL,4.5,1.9,2.6,2024
