team,tr_predictive,season
Houston (30-4),23.2,2024
UConn (31-3),22.3,2024
Purdue (29-4),22.2,2024
Arizona (25-8),22.0,2024
Auburn (26-7),20.7,2024
Tennessee (24-8),19.8,2024
Iowa St (27-7),19.3,2024
Alabama (21-11),18.3,2024
North Carolina (27-7),18.2,2024
Duke (24-8),18.1,2024
Illinois (25-8),17.9,2024
Creighton (23-9),17.7,2024
Marquette (25-9),17.4,2024
BYU (23-10),17.0,2024
Baylor (23-10),16.9,2024
Gonzaga (25-7),16.7,2024
Michigan St (19-14),16.0,2024
Kansas (22-10),15.8,2024
Saint Mary's (26-7),15.8,2024
Kentucky (23-9),15.7,2024
Wisconsin (22-12),15.2,2024
Colorado (24-10),14.4,2024
Texas (20-12),14.1,2024
St John's (20-13),14.0,2024
TCU (21-12),14.0,2024
Florida (24-10),13.9,2024
Texas Tech (23-10),13.8,2024
Mississippi St (21-13),13.4,2024
New Mexico (26-9),13.4,2024
Villanova (18-15),13.2,2024
Cincinnati (20-14),13.2,2024
San Diego St (24-10),13.1,2024
Clemson (21-11),12.9,2024
Nebraska (23-10),12.9,2024
Oklahoma (20-12),12.8,2024
Florida Atlantic (25-8),12.7,2024
Utah (19-14),12.3,2024
Ohio St (20-13),12.3,2024
Pittsburgh (22-11),12.1,2024
Texas A&M (20-14),12.1,2024
Wake Forest (20-13),12.1,2024
Washington St (24-9),11.7,2024
Northwestern (21-11),11.7,2024
Iowa (18-14),11.7,2024
Dayton (24-7),11.7,2024
Nevada (26-7),11.4,2024
Boise St (22-10),11.3,2024
Oregon (23-11),11.1,2024
Providence (21-13),10.9,2024
Indiana St (28-6),10.8,2024
Xavier (16-17),10.5,2024
Colorado St (24-10),10.5,2024
Maryland (16-17),10.4,2024
Washington (17-15),10.3,2024
UCF (17-15),10.2,2024
Kansas St (19-14),10.1,2024
Utah St (27-6),10.1,2024
Virginia Tech (18-14),9.8,2024
Virginia (23-10),9.8,2024
NC State (22-14),9.7,2024
Drake (28-6),9.7,2024
South Carolina (26-7),9.7,2024
J Madison (31-3),9.5,2024
Seton Hall (20-12),9.5,2024
USC (15-18),9.2,2024
Grand Canyon (29-4),9.0,2024
Butler (18-14),8.9,2024
San Francisco (23-10),8.8,2024
Memphis (22-10),8.7,2024
SMU (20-12),8.4,2024
UNLV (19-12),8.2,2024
Mississippi (20-12),8.1,2024
Penn St (16-17),8.1,2024
Miami (15-17),8.0,2024
Bradley (22-11),7.7,2024
Minnesota (18-14),7.7,2024
LSU (17-15),7.5,2024
Florida St (17-16),7.5,2024
UCLA (16-17),7.3,2024
UC Irvine (24-9),7.2,2024
Rutgers (15-17),7.1,2024
Indiana (19-14),7.1,2024
Princeton (24-4),7.1,2024
Yale (21-9),7.0,2024
VCU (22-12),6.8,2024
Boston College (19-15),6.8,2024
Georgia (17-16),6.7,2024
App State (27-6),6.7,2024
Richmond (23-9),6.6,2024
N Texas (18-14),6.5,2024
Stanford (14-18),6.5,2024
Arkansas (16-17),6.4,2024
St Bonaventure (20-13),6.3,2024
Syracuse (20-12),6.3,2024
Samford (29-5),6.1,2024
Duquesne (23-11),6.1,2024
McNeese (30-3),6.1,2024
Loyola Chi (23-9),5.8,2024
S Florida (24-7),5.7,2024
UMass (20-11),5.6,2024
Oklahoma St (12-20),5.3,2024
Louisiana Tech (22-10),5.1,2024
Saint Joseph's (21-13),5.1,2024
Charleston (27-7),4.9,2024
Michigan (8-24),4.8,2024
George Mason (20-12),4.6,2024
Santa Clara (20-13),4.6,2024
Cornell (22-7),4.5,2024
Akron (24-10),4.4,2024
Vermont (28-6),4.3,2024
UAB (22-11),4.2,2024
Arizona St (14-18),4.0,2024
Hofstra (20-13),3.9,2024
Missouri (8-24),3.7,2024
NC Wilmington (21-10),3.4,2024
Georgia Tech (14-18),3.3,2024
N Iowa (19-14),3.3,2024
California (13-19),3.3,2024
Liberty (18-14),3.2,2024
Seattle (19-14),3.2,2024
Charlotte (19-12),3.2,2024
Drexel (20-12),3.1,2024
West Virginia (9-23),2.9,2024
Colgate (25-9),2.8,2024
Notre Dame (13-20),2.8,2024
Tulane (14-17),2.8,2024
Toledo (20-12),2.6,2024
W Carolina (22-10),2.5,2024
Morehead St (26-8),2.5,2024
Davidson (15-17),2.4,2024
Ohio (20-13),2.4,2024
S Illinois (19-13),2.3,2024
Troy (20-12),2.2,2024
Belmont (20-13),2.2,2024
W Kentucky (22-11),2.0,2024
Youngstown St (22-10),1.9,2024
Wichita St (15-19),1.8,2024
High Point (25-8),1.8,2024
UT Arlington (20-14),1.8,2024
E Washington (21-11),1.5,2024
Arkansas St (18-16),1.5,2024
NC Greensboro (21-11),1.5,2024
Oregon St (13-19),1.5,2024
UCSD (21-11),1.5,2024
