team,tr_predictive,season
Kentucky (32-1),26.7,2012
Ohio St (27-6),26.1,2012
North Carolina (29-4),24.5,2012
Michigan St (26-7),23.7,2012
Kansas (27-6),23.5,2012
Syracuse (31-2),23.0,2012
Missouri (30-4),22.5,2012
Indiana (25-8),21.0,2012
Wisconsin (24-9),20.8,2012
Wichita St (27-5),20.1,2012
Duke (27-6),20.1,2012
Florida (23-10),19.3,2012
Memphis (26-8),19.3,2012
Baylor (27-7),18.9,2012
Marquette (25-7),18.8,2012
Georgetown (23-8),18.3,2012
New Mexico (27-6),18.3,2012
Louisville (26-9),17.4,2012
Vanderbilt (23-10),17.2,2012
Saint Louis (25-7),17.0,2012
Kansas St (21-10),17.0,2012
Florida St (23-9),16.9,2012
Belmont (27-7),16.5,2012
Texas (20-13),16.2,2012
UNLV (26-8),16.2,2012
Purdue (21-12),16.1,2012
California (24-9),15.7,2012
Virginia (22-9),15.7,2012
Alabama (21-11),15.7,2012
Creighton (28-5),15.7,2012
Michigan (24-9),15.6,2012
Gonzaga (25-6),15.5,2012
Iowa St (22-10),15.1,2012
UConn (20-13),14.9,2012
Cincinnati (24-10),14.7,2012
Temple (24-7),14.7,2012
West Virginia (19-13),14.7,2012
Saint Mary's (27-5),14.3,2012
BYU (25-8),13.8,2012
NC State (22-12),13.7,2012
Miami (19-12),13.7,2012
Notre Dame (22-11),13.7,2012
Iona (25-7),13.6,2012
Seton Hall (20-12),13.2,2012
Arizona (23-11),13.2,2012
Long Beach St (25-8),13.1,2012
Harvard (26-4),12.8,2012
Stanford (21-11),12.6,2012
La Salle (21-12),12.4,2012
Minnesota (19-14),12.3,2012
Xavier (21-11),12.3,2012
Davidson (25-7),12.2,2012
VCU (28-6),12.2,2012
Middle Tenn (25-6),12.0,2012
UCLA (19-14),12.0,2012
Northwestern (18-13),11.9,2012
Murray St (30-1),11.8,2012
Saint Joseph's (20-13),11.8,2012
San Diego St (26-7),11.7,2012
Tennessee (18-14),11.7,2012
Washington (21-10),11.7,2012
Illinois (17-15),11.5,2012
St Bonaventure (19-11),11.5,2012
Pittsburgh (17-16),11.4,2012
Drexel (27-6),11.4,2012
Virginia Tech (16-17),11.3,2012
S Dakota St (27-7),11.3,2012
Dayton (20-12),11.2,2012
Oregon (22-9),11.0,2012
S Florida (20-13),11.0,2012
Mississippi St (21-11),10.9,2012
New Mexico St (26-9),10.7,2012
Southern Miss (25-8),10.5,2012
Clemson (16-15),10.4,2012
Akron (22-11),10.4,2012
Villanova (13-19),10.4,2012
Ohio (27-7),10.4,2012
Oregon St (19-14),10.2,2012
Marshall (21-13),10.1,2012
UMass (22-11),10.1,2012
Lehigh (26-7),10.0,2012
Colorado (23-11),10.0,2012
Cleveland St (22-10),9.9,2012
Colorado St (20-11),9.9,2012
Wyoming (20-11),9.8,2012
Denver (22-9),9.7,2012
N Iowa (19-13),9.7,2012
Oral Roberts (27-6),9.5,2012
LSU (18-14),9.4,2012
Georgia St (21-11),9.4,2012
Oklahoma (15-16),9.3,2012
Mississippi (20-13),9.1,2012
Wagner (25-6),9.1,2012
Iowa (17-16),9.1,2012
Oklahoma St (15-18),9.1,2012
Missouri St (16-16),9.0,2012
Tulsa (17-14),8.8,2012
Buffalo (18-10),8.8,2012
Illinois St (20-13),8.8,2012
Bucknell (24-9),8.7,2012
Richmond (16-16),8.6,2012
UT Arlington (24-8),8.5,2012
George Mason (24-9),8.2,2012
NC Asheville (24-9),8.2,2012
Old Dominion (20-13),8.2,2012
Georgia (15-17),8.0,2012
Montana (25-6),7.9,2012
Princeton (19-11),7.8,2012
Arkansas (18-14),7.6,2012
UCF (22-10),7.6,2012
Lamar (23-11),7.5,2012
UCSB (20-10),7.5,2012
Kent St (21-11),7.5,2012
Rutgers (14-18),7.5,2012
Fairfield (19-14),7.5,2012
Mercer (22-11),7.4,2012
Texas A&M (14-18),7.3,2012
Duquesne (16-15),7.3,2012
Weber St (24-6),6.9,2012
Manhattan (20-12),6.8,2012
Providence (15-17),6.7,2012
Nevada (26-6),6.6,2012
Detroit Mercy (22-13),6.6,2012
Butler (20-14),6.6,2012
Washington St (15-16),6.6,2012
Maryland (17-15),6.5,2012
Boise St (13-17),6.5,2012
Evansville (16-15),6.3,2012
Bowling Green (16-15),6.2,2012
Penn St (12-20),6.2,2012
Vermont (23-11),6.2,2012
UAB (15-16),6.0,2012
Robert Morris (24-10),5.9,2012
Loyola MD (24-8),5.8,2012
Nebraska (12-18),5.8,2012
UTEP (15-17),5.8,2012
E Carolina (15-16),5.7,2012
San Francisco (20-13),5.5,2012
Drake (17-15),5.5,2012
Penn (19-12),5.5,2012
Utah St (17-15),5.4,2012
Valparaiso (22-11),5.2,2012
