team,tr_predictive,season
Gonzaga (26-3),25.2,2022
Arizona (31-3),21.5,2022
Kentucky (26-7),20.0,2022
Houston (28-5),19.8,2022
Kansas (28-6),19.6,2022
Baylor (26-6),19.6,2022
Purdue (27-6),19.3,2022
UCLA (25-7),19.1,2022
Auburn (27-5),18.6,2022
Tennessee (25-7),18.5,2022
Villanova (26-7),18.5,2022
Duke (28-6),18.4,2022
Iowa (25-9),18.2,2022
Texas Tech (25-9),18.0,2022
Illinois (22-9),17.3,2022
UConn (23-9),16.0,2022
Texas (21-11),15.7,2022
LSU (22-11),15.5,2022
Arkansas (25-8),15.0,2022
Ohio St (19-11),14.5,2022
Michigan (17-14),14.4,2022
Virginia Tech (23-12),14.2,2022
Memphis (21-9),14.2,2022
Alabama (19-13),14.1,2022
Saint Mary's (25-7),13.6,2022
Indiana (20-13),13.5,2022
Michigan St (22-12),13.3,2022
North Carolina (24-9),13.3,2022
San Francisco (24-9),13.2,2022
Seton Hall (21-10),13.2,2022
USC (26-7),12.7,2022
Loyola Chi (25-7),12.6,2022
Wisconsin (24-7),12.6,2022
Oklahoma (18-15),12.6,2022
Oklahoma St (15-15),12.4,2022
Xavier (18-13),12.1,2022
Florida (19-13),12.0,2022
San Diego St (23-8),11.9,2022
Wake Forest (23-9),11.7,2022
Providence (25-5),11.3,2022
St John's (17-15),11.2,2022
Mississippi St (18-15),11.1,2022
UAB (27-7),11.1,2022
Marquette (19-12),11.0,2022
Notre Dame (22-10),10.9,2022
SMU (23-8),10.9,2022
Washington St (19-14),10.9,2022
TCU (20-12),10.8,2022
Boise St (27-7),10.7,2022
Texas A&M (23-11),10.6,2022
Murray St (30-2),10.4,2022
Oregon (19-14),10.3,2022
Colorado St (25-5),10.3,2022
Creighton (22-11),10.1,2022
Maryland (15-17),10.0,2022
Davidson (27-5),9.9,2022
Penn St (14-17),9.8,2022
Colorado (21-11),9.6,2022
Miami (23-10),9.6,2022
Utah St (18-15),9.6,2022
Vermont (28-5),9.6,2022
Rutgers (18-13),9.5,2022
BYU (22-10),9.5,2022
VCU (21-9),9.5,2022
West Virginia (16-17),9.5,2022
Saint Louis (23-11),9.4,2022
Dayton (23-10),9.3,2022
Iowa St (20-12),9.2,2022
Virginia (19-13),9.1,2022
Northwestern (15-16),9.1,2022
Clemson (17-16),9.1,2022
Syracuse (16-17),9.0,2022
Vanderbilt (17-16),9.0,2022
Kansas St (14-17),8.8,2022
Toledo (26-7),8.7,2022
S Dakota St (30-4),8.6,2022
St Bonaventure (20-9),8.5,2022
Missouri St (23-10),8.4,2022
N Texas (24-6),8.3,2022
Richmond (22-12),7.8,2022
Wyoming (25-8),7.7,2022
Santa Clara (21-11),7.6,2022
Belmont (25-7),7.6,2022
Florida St (17-14),7.6,2022
Arizona St (14-17),7.5,2022
Wichita St (15-13),7.3,2022
Furman (22-12),7.2,2022
DePaul (15-16),6.9,2022
Drake (24-10),6.8,2022
Cincinnati (18-15),6.7,2022
Chattanooga (27-7),6.6,2022
Fresno St (19-13),6.5,2022
Towson (25-8),6.4,2022
UCF (18-12),6.4,2022
Mississippi (13-19),6.2,2022
South Carolina (18-13),6.2,2022
Minnesota (13-17),6.0,2022
Stanford (16-16),5.9,2022
New Mexico St (26-6),5.9,2022
Iona (25-7),5.8,2022
UNLV (18-14),5.8,2022
N Iowa (19-11),5.7,2022
Louisiana Tech (24-10),5.6,2022
Tulane (14-15),5.4,2022
Louisville (13-19),5.4,2022
