team,tr_predictive,season
Kentucky (33-0),25.8,2015
Arizona (31-3),22.3,2015
Wisconsin (30-3),22.2,2015
Duke (29-4),21.8,2015
Villanova (32-2),20.3,2015
Virginia (29-3),19.8,2015
Gonzaga (32-2),19.4,2015
North Carolina (24-11),18.6,2015
Ohio St (23-10),17.9,2015
Utah (24-8),17.8,2015
Kansas (26-8),17.0,2015
Oklahoma (22-10),16.7,2015
Louisville (24-8),16.5,2015
Iowa St (25-8),16.4,2015
Notre Dame (29-5),15.7,2015
Michigan St (23-10),15.3,2015
Baylor (24-9),14.8,2015
Texas (20-13),14.7,2015
Wichita St (28-4),14.1,2015
Iowa (21-11),13.4,2015
West Virginia (23-9),13.3,2015
Butler (22-10),12.9,2015
Georgetown (21-10),12.6,2015
Arkansas (26-7),12.4,2015
BYU (25-9),12.3,2015
Florida (16-17),12.0,2015
Maryland (27-6),12.0,2015
Xavier (21-13),11.8,2015
Illinois (19-13),11.6,2015
VCU (25-9),11.6,2015
N Iowa (30-3),11.5,2015
NC State (20-13),11.2,2015
SMU (26-6),11.1,2015
Oklahoma St (18-13),11.1,2015
Indiana (20-13),10.8,2015
Providence (22-11),10.8,2015
Purdue (21-12),10.7,2015
San Diego St (26-8),10.6,2015
Davidson (24-7),10.6,2015
Minnesota (18-15),10.6,2015
Georgia (21-11),10.0,2015
Stanford (19-13),10.0,2015
Syracuse (18-13),9.9,2015
Miami (21-12),9.9,2015
Mississippi (20-12),9.8,2015
UCLA (20-13),9.7,2015
Boise St (25-8),9.2,2015
Cincinnati (22-10),9.1,2015
Dayton (25-7),9.0,2015
LSU (22-10),8.9,2015
Texas A&M (20-11),8.9,2015
St John's (21-11),8.7,2015
Oregon (25-9),8.5,2015
Vanderbilt (19-13),8.3,2015
TCU (18-15),8.2,2015
Colorado St (27-6),8.1,2015
SF Austin (29-4),7.9,2015
UConn (20-13),7.9,2015
Rhode Island (22-9),7.7,2015
G Washington (21-12),7.7,2015
Kansas St (15-17),7.6,2015
Michigan (16-16),7.6,2015
South Carolina (17-16),7.5,2015
Alabama (18-14),7.5,2015
Buffalo (23-9),7.4,2015
Richmond (19-13),7.4,2015
Arizona St (17-15),7.0,2015
Pittsburgh (19-14),7.0,2015
Georgia St (23-9),6.8,2015
Saint Mary's (21-9),6.8,2015
Murray St (27-5),6.6,2015
Memphis (18-14),6.5,2015
Old Dominion (24-7),6.4,2015
Temple (23-10),6.4,2015
Colorado (15-17),6.4,2015
Illinois St (21-12),6.2,2015
Penn St (18-16),6.2,2015
Clemson (16-15),6.1,2015
Creighton (14-19),5.8,2015
Green Bay (24-8),5.7,2015
Iona (26-8),5.7,2015
Seton Hall (16-15),5.6,2015
Tulsa (22-10),5.6,2015
Yale (22-10),5.6,2015
Harvard (22-7),5.5,2015
Florida St (17-16),5.2,2015
Tennessee (16-16),5.2,2015
Nebraska (13-18),5.2,2015
UNLV (18-15),5.1,2015
