team,tr_predictive,season
Florida (26-6),22.9,2013
Indiana (27-6),22.4,2013
Louisville (29-5),21.3,2013
Kansas (29-5),19.0,2013
Duke (27-5),19.0,2013
Gonzaga (31-2),18.8,2013
Ohio St (25-7),17.4,2013
Pittsburgh (24-8),17.1,2013
Syracuse (26-9),16.7,2013
Wisconsin (23-10),16.7,2013
Michigan (26-7),16.3,2013
Michigan St (25-8),15.7,2013
VCU (26-7),15.1,2013
Creighton (27-7),15.0,2013
Miami (26-6),14.8,2013
Arizona (25-7),14.7,2013
Missouri (23-10),14.4,2013
Georgetown (25-6),14.0,2013
Minnesota (20-12),13.9,2013
Kentucky (21-11),13.8,2013
North Carolina (24-9),13.8,2013
Oklahoma St (24-8),13.5,2013
Kansas St (27-7),13.3,2013
Saint Louis (26-6),13.0,2013
Marquette (23-8),12.9,2013
Baylor (18-14),12.9,2013
New Mexico (29-5),12.8,2013
NC State (24-10),12.7,2013
Iowa St (22-11),12.6,2013
Cincinnati (22-11),12.2,2013
Notre Dame (25-9),12.2,2013
Memphis (30-4),12.2,2013
Saint Mary's (27-6),12.2,2013
Mississippi (25-8),12.0,2013
UNLV (25-9),12.0,2013
Wichita St (26-8),11.8,2013
Colorado St (25-8),11.6,2013
Belmont (26-6),11.6,2013
UCLA (25-9),11.6,2013
Middle Tenn (28-5),11.5,2013
Virginia (21-11),11.4,2013
San Diego St (22-10),11.2,2013
Oklahoma (20-11),10.6,2013
Iowa (21-12),10.6,2013
Illinois (22-12),10.5,2013
Oregon (26-8),10.2,2013
Southern Miss (25-9),10.0,2013
Stanford (18-14),9.8,2013
UConn (20-10),9.6,2013
La Salle (21-9),9.6,2013
Colorado (21-11),9.5,2013
Boise St (21-10),9.2,2013
Butler (26-8),9.2,2013
Maryland (22-12),9.0,2013
Davidson (26-7),8.9,2013
Akron (26-6),8.8,2013
Villanova (20-13),8.8,2013
Denver (21-9),8.7,2013
Tennessee (20-12),8.6,2013
Illinois St (18-15),8.6,2013
California (20-11),8.5,2013
Temple (23-9),8.4,2013
Alabama (21-12),8.2,2013
Saint Joseph's (18-13),8.1,2013
Arkansas (19-13),8.1,2013
N Iowa (18-14),7.9,2013
BYU (21-11),7.9,2013
Ohio (24-9),7.7,2013
Providence (17-14),7.7,2013
Dayton (17-14),7.6,2013
Bucknell (28-5),7.3,2013
N Dakota St (24-9),7.0,2013
Richmond (18-14),6.9,2013
Purdue (15-17),6.8,2013
Xavier (17-14),6.7,2013
Valparaiso (26-7),6.7,2013
Detroit Mercy (20-12),6.6,2013
Washington (18-15),6.2,2013
UMass (21-11),6.2,2013
Weber St (26-6),6.0,2013
Louisiana Tech (26-6),5.8,2013
Stony Brook (24-7),5.6,2013
Arizona St (21-12),5.6,2013
New Mexico St (24-10),5.4,2013
Texas (16-17),5.4,2013
Iona (20-13),5.2,2013
Lehigh (21-9),5.1,2013
Vanderbilt (16-17),5.1,2013
West Virginia (13-19),4.9,2013
Florida St (18-15),4.8,2013
Texas A&M (18-15),4.8,2013
Seton Hall (15-18),4.8,2013
Rutgers (15-16),4.8,2013
Clemson (13-18),4.6,2013
Georgia Tech (16-15),4.6,2013
LSU (19-12),4.5,2013
Evansville (18-14),4.5,2013
S Dakota St (25-9),4.4,2013
Oregon St (14-18),4.3,2013
Washington St (13-19),4.3,2013
SF Austin (27-4),4.3,2013
USC (14-18),4.2,2013
Santa Clara (21-11),4.2,2013
St John's (16-15),4.2,2013
Princeton (17-11),4.2,2013
Wyoming (19-13),4.1,2013
Air Force (17-13),4.1,2013
UTEP (18-14),3.9,2013
St Bonaventure (14-15),3.8,2013
Georgia (15-17),3.8,2013
Harvard (19-9),3.6,2013
G Washington (13-17),3.6,2013
Indiana St (18-14),3.4,2013
Boston College (16-17),3.3,2013
Northwestern (13-19),3.2,2013
Utah St (21-10),3.2,2013
S Florida (12-19),3.2,2013
Murray St (21-10),3.2,2013
E Kentucky (24-9),3.1,2013
Mercer (23-11),2.9,2013
Fresno St (11-19),2.6,2013
Green Bay (18-15),2.4,2013
FGCU (24-10),2.3,2013
Drake (14-17),2.2,2013
UCF (20-11),2.2,2013
Charlotte (21-11),2.2,2013
Utah (15-18),2.1,2013
Loyola MD (21-11),2.1,2013
Oral Roberts (18-14),2.1,2013
George Mason (18-14),2.0,2013
Kent St (20-13),2.0,2013
Robert Morris (23-10),1.8,2013
Canisius (18-13),1.8,2013
Pacific (22-12),1.8,2013
NW State (23-8),1.7,2013
Arkansas St (19-12),1.7,2013
UC Irvine (20-15),1.7,2013
Wake Forest (13-18),1.6,2013
Nebraska (15-18),1.6,2013
UT Arlington (19-13),1.5,2013
E Carolina (18-12),1.5,2013
Virginia Tech (13-19),1.4,2013
Niagara (19-13),1.2,2013
Montana (25-6),1.1,2013
UAB (16-17),1.1,2013
Vermont (21-11),1.0,2013
