team,tr_predictive,season
San Francisco (12-18),6.5,2010
CS Fullerton (16-15),6.4,2010
Seattle (17-14),6.4,2010
Radford (19-12),6.3,2010
The Citadel (17-16),6.3,2010
Saint Peter's (16-14),6.3,2010
C Michigan (15-15),6.0,2010
San Diego (11-21),5.9,2010
Quinnipiac (23-9),5.9,2010
Florida Atlantic (14-16),5.8,2010
S Dakota St (14-16),5.8,2010
Saint Joseph's (11-20),5.7,2010
Mt St Mary's (16-15),5.6,2010
E Michigan (17-15),5.6,2010
Rider (17-16),5.4,2010
Winthrop (19-13),5.4,2010
Lehigh (22-10),5.2,2010
Louisiana (13-17),5.1,2010
Robert Morris (23-11),5.1,2010
South Dakota (22-9),5.1,2010
Tulane (8-22),5.0,2010
Wyoming (10-21),5.0,2010
Loyola Chi (14-16),5.0,2010
Mercer (16-17),5.0,2010
Georgia St (12-20),4.9,2010
Bowling Green (14-16),4.7,2010
Maine (19-11),4.6,2010
Purdue FW (16-15),4.6,2010
Manhattan (11-20),4.6,2010
UC Riverside (12-17),4.6,2010
J Madison (13-20),4.3,2010
Texas St (15-16),4.3,2010
Canisius (15-17),4.3,2010
N Arizona (14-14),4.2,2010
NC Wilmington (9-22),4.2,2010
Loyola MD (13-17),4.2,2010
Evansville (9-21),4.1,2010
CS Northridge (11-21),4.0,2010
Youngstown St (8-22),4.0,2010
UC Davis (14-18),3.9,2010
Air Force (10-21),3.7,2010
Ball St (15-15),3.6,2010
N Dakota St (11-18),3.5,2010
UT Arlington (16-14),3.4,2010
Hawai'i (10-20),3.3,2010
Hampton (14-18),3.2,2010
Tenn Tech (15-17),3.1,2010
Furman (13-17),3.1,2010
AR-Pine Bluff (17-15),2.8,2010
Rice (8-23),2.7,2010
S Alabama (17-15),2.7,2010
Santa Clara (11-21),2.5,2010
UC Irvine (14-18),2.3,2010
Samford (11-20),2.3,2010
E Carolina (10-21),2.3,2010
Charleston So (13-17),2.2,2010
Jacksonville St (11-19),2.2,2010
Chattanooga (15-18),2.1,2010
Cal Poly (12-19),2.0,2010
N Illinois (10-20),1.9,2010
McNeese (10-20),1.9,2010
Holy Cross (9-22),1.8,2010
Illinois Chicago (8-22),1.7,2010
W Illinois (13-17),1.7,2010
Tennessee St (9-23),1.6,2010
Liberty (15-16),1.5,2010
Texas So (17-16),1.3,2010
Nicholls (11-19),1.2,2010
Lafayette (19-13),1.2,2010
S Carolina St (18-14),1.1,2010
New Hampshire (13-17),1.1,2010
Delaware St (17-12),1.0,2010
Bucknell (14-17),1.0,2010
NC Greensboro (8-23),0.9,2010
Idaho St (7-22),0.8,2010
Lamar (14-18),0.7,2010
Elon (9-23),0.7,2010
High Point (15-15),0.7,2010
Little Rock (8-22),0.6,2010
Delaware (7-24),0.5,2010
Kansas City (12-18),0.5,2010
Yale (12-19),0.4,2010
Bethune (17-16),0.4,2010
Army (14-15),0.2,2010
Kennesaw St (13-20),0.0,2010
N Florida (13-18),0.0,2010
Towson (10-21),-0.1,2010
NC Asheville (15-16),-0.2,2010
UL Monroe (12-19),-0.2,2010
Pepperdine (7-24),-0.2,2010
E Washington (9-21),-0.3,2010
C Arkansas (9-21),-0.3,2010
Binghamton (13-18),-0.5,2010
SC Upstate (6-23),-0.7,2010
NC A&T (11-22),-0.9,2010
Brown (11-20),-1.0,2010
Sacramento St (9-21),-1.0,2010
Norfolk St (11-19),-1.1,2010
CS Bakersfield (7-22),-1.2,2010
LIU-Brooklyn (14-17),-1.3,2010
Prairie View (16-14),-1.4,2010
Sacred Heart (14-15),-1.4,2010
Georgia So (9-23),-1.4,2010
NW State (10-19),-1.5,2010
Colgate (10-19),-1.5,2010
Albany (7-25),-1.6,2010
Jackson St (19-12),-1.6,2010
Longwood (13-19),-1.9,2010
Savannah St (11-15),-1.9,2010
American (11-20),-2.0,2010
Columbia (11-17),-2.1,2010
Florida Intl (7-25),-2.2,2010
FGCU (8-21),-2.3,2010
Alabama St (16-15),-2.3,2010
Navy (13-17),-2.3,2010
Monmouth (12-19),-2.3,2010
New Orleans (8-22),-2.5,2010
SE Missouri St (7-23),-2.6,2010
Utah Valley (12-18),-3.7,2010
Hartford (8-22),-3.7,2010
S Utah (7-22),-3.7,2010
Centenary (8-21),-3.8,2010
Penn (6-22),-3.8,2010
C Connecticut (12-18),-3.9,2010
St Fran (NY) (11-18),-4.2,2010
Fordham (2-26),-4.4,2010
Toledo (4-28),-4.8,2010
Coppin St (8-22),-5.1,2010
VMI (10-19),-5.1,2010
UT Martin (4-25),-5.2,2010
Gardner-Webb (8-21),-5.4,2010
Wins-Salem (12-17),-5.5,2010
UT Rio Grande (6-27),-5.6,2010
St Francis PA (11-19),-5.9,2010
Presbyterian (5-26),-6.0,2010
F Dickinson (11-21),-6.1,2010
Maryland ES (11-21),-6.2,2010
Hou Christian (12-21),-6.4,2010
Stetson (7-22),-6.4,2010
NC Central (7-22),-6.6,2010
UMBC (4-26),-6.7,2010
NJIT (10-21),-6.8,2010
Florida A&M (9-22),-7.0,2010
Alabama A&M (11-16),-7.1,2010
Miss Valley St (9-23),-7.5,2010
SIU Edward (5-23),-7.5,2010
Marist (1-29),-7.5,2010
Wagner (5-26),-7.9,2010
Chicago St (9-23),-7.9,2010
Howard (7-25),-8.5,2010
Dartmouth (5-23),-8.5,2010
North Dakota (8-23),-8.7,2010
Grambling (7-21),-10.8,2010
Southern (5-25),-11.8,2010
Bryant (1-29),-14.4,2010
Alcorn St (2-29),-18.5,2010
