team,tr_predictive,season
Duke (31-3),27.2,2025
Auburn (28-5),25.5,2025
Houston (30-4),25.1,2025
Florida (29-4),23.8,2025
Alabama (25-8),22.5,2025
Tennessee (27-6),21.7,2025
Iowa St (24-9),20.9,2025
Texas Tech (25-8),20.5,2025
Gonzaga (25-8),20.4,2025
Arizona (22-12),20.1,2025
Maryland (25-8),19.8,2025
Michigan St (27-6),19.6,2025
St John's (30-4),19.3,2025
Kansas (21-12),18.2,2025
Wisconsin (26-8),18.2,2025
Purdue (22-11),18.1,2025
Illinois (21-12),17.8,2025
Kentucky (22-11),17.7,2025
Baylor (19-14),16.9,2025
BYU (24-9),16.9,2025
Marquette (23-10),16.8,2025
Texas A&M (22-10),16.8,2025
UConn (23-10),16.7,2025
Clemson (27-6),16.6,2025
UCLA (22-10),16.5,2025
Missouri (22-11),16.5,2025
Michigan (24-9),16.5,2025
Louisville (27-7),16.2,2025
North Carolina (22-13),15.8,2025
Mississippi (22-11),15.3,2025
Mississippi St (21-12),15.0,2025
Oregon (24-9),14.9,2025
Ohio St (17-15),14.8,2025
Creighton (24-10),14.8,2025
Saint Mary's (28-5),14.7,2025
VCU (27-6),14.3,2025
Georgia (20-12),13.8,2025
Xavier (21-11),13.8,2025
Arkansas (20-13),13.5,2025
Texas (19-15),13.5,2025
Cincinnati (18-15),13.1,2025
SMU (23-10),12.8,2025
Oklahoma (20-13),12.7,2025
New Mexico (26-7),12.7,2025
Indiana (19-13),12.5,2025
Villanova (19-14),12.2,2025
West Virginia (19-13),12.1,2025
Northwestern (17-16),12.1,2025
Pittsburgh (17-15),11.9,2025
Utah St (26-7),11.8,2025
UCSD (30-4),11.7,2025
Penn St (16-15),11.6,2025
Colorado St (25-9),11.5,2025
Boise St (24-10),11.5,2025
Memphis (28-5),11.5,2025
Vanderbilt (20-12),11.1,2025
San Diego St (21-9),11.1,2025
Nebraska (17-14),10.9,2025
Iowa (17-16),10.8,2025
USC (16-17),10.2,2025
Santa Clara (20-12),10.0,2025
Kansas St (16-17),9.7,2025
Utah (16-16),9.6,2025
Wake Forest (21-11),9.5,2025
UCF (17-16),9.3,2025
Rutgers (15-17),9.0,2025
San Francisco (24-9),8.6,2025
TCU (16-16),8.6,2025
Arizona St (13-19),8.6,2025
Butler (14-19),8.4,2025
LSU (14-18),8.3,2025
Dayton (22-10),8.3,2025
McNeese (27-6),8.2,2025
South Carolina (12-20),8.1,2025
Drake (30-3),8.1,2025
Yale (21-7),8.0,2025
UC Irvine (28-6),8.0,2025
Nevada (17-16),7.9,2025
Colorado (14-20),7.8,2025
George Mason (26-7),7.6,2025
Saint Joseph's (22-12),7.6,2025
Liberty (28-6),7.5,2025
Stanford (20-13),7.5,2025
Florida St (17-15),7.4,2025
N Texas (24-8),7.2,2025
Georgetown (17-15),7.1,2025
Notre Dame (15-18),6.8,2025
Minnesota (15-17),6.7,2025
High Point (29-5),6.7,2025
Providence (12-20),6.5,2025
Grand Canyon (26-7),6.5,2025
Bradley (26-8),6.3,2025
Georgia Tech (17-16),6.2,2025
Arkansas St (24-10),5.9,2025
Oregon St (20-12),5.9,2025
Oklahoma St (15-17),5.6,2025
NC State (12-19),5.5,2025
UAB (22-11),5.4,2025
Lipscomb (25-9),5.2,2025
Virginia (15-17),5.0,2025
Syracuse (14-19),4.9,2025
UNLV (18-15),4.8,2025
Loyola Chi (22-11),4.7,2025
N Iowa (20-12),4.7,2025
Washington (13-18),4.5,2025
Akron (28-6),4.4,2025
Florida Atlantic (18-15),4.3,2025
Troy (23-10),4.3,2025
