team,tr_predictive,season
Houston (31-2),21.4,2023
Alabama (28-5),21.1,2023
Tennessee (23-10),19.9,2023
UCLA (29-5),19.4,2023
Gonzaga (28-5),18.6,2023
UConn (25-8),18.6,2023
Texas (26-8),18.5,2023
Kansas (27-7),17.5,2023
Purdue (28-5),17.4,2023
Arizona (28-6),17.3,2023
Baylor (22-10),16.0,2023
Creighton (21-12),15.9,2023
Marquette (28-6),15.1,2023
Arkansas (20-13),15.1,2023
Xavier (25-9),15.0,2023
Duke (26-8),14.7,2023
Indiana (22-11),14.5,2023
TCU (21-12),14.5,2023
Kentucky (21-11),14.5,2023
Saint Mary's (26-7),14.4,2023
Auburn (20-12),14.1,2023
Texas A&M (25-8),14.0,2023
Iowa St (19-13),14.0,2023
Maryland (21-12),13.9,2023
West Virginia (19-14),13.8,2023
Iowa (19-13),13.5,2023
Virginia (25-7),13.5,2023
Illinois (20-12),13.4,2023
San Diego St (27-6),13.4,2023
Rutgers (19-14),13.3,2023
Kansas St (23-9),13.2,2023
North Carolina (20-13),13.2,2023
Memphis (25-8),13.1,2023
Michigan St (19-12),12.8,2023
Utah St (26-8),12.4,2023
Miami (25-7),12.2,2023
Oklahoma St (18-15),11.8,2023
Texas Tech (16-16),11.6,2023
Ohio St (16-19),11.6,2023
Northwestern (21-11),11.5,2023
USC (22-10),11.5,2023
NC State (23-10),11.5,2023
Florida Atlantic (31-3),11.5,2023
Michigan (17-15),11.4,2023
Providence (21-11),11.4,2023
Florida (16-16),11.1,2023
Penn St (22-12),11.1,2023
Oregon (19-14),11.1,2023
Boise St (24-9),10.9,2023
Cincinnati (21-12),10.8,2023
Missouri (24-9),10.7,2023
Villanova (17-16),10.7,2023
Mississippi St (21-12),10.7,2023
Clemson (23-10),10.5,2023
Oklahoma (15-17),10.2,2023
Dayton (22-11),9.9,2023
Seton Hall (17-15),9.8,2023
UAB (25-9),9.5,2023
Colorado (17-16),9.5,2023
Virginia Tech (19-14),9.5,2023
Wisconsin (17-14),9.4,2023
Arizona St (22-12),9.3,2023
Drake (27-7),9.3,2023
VCU (26-7),9.2,2023
Washington St (17-16),9.1,2023
Utah (17-15),8.9,2023
UCF (18-14),8.9,2023
N Texas (26-7),8.7,2023
Vanderbilt (20-14),8.6,2023
Pittsburgh (22-11),8.6,2023
New Mexico (22-11),8.5,2023
Stanford (14-19),8.4,2023
Charleston (31-3),8.3,2023
Nevada (22-10),8.3,2023
Yale (21-7),8.3,2023
Liberty (26-8),8.3,2023
BYU (19-15),8.0,2023
St John's (18-15),7.9,2023
Iona (27-7),7.9,2023
Wake Forest (19-14),7.6,2023
Kent St (28-6),7.5,2023
Oral Roberts (30-4),7.5,2023
Sam Houston (25-7),7.5,2023
Bradley (25-9),7.5,2023
Furman (27-7),6.7,2023
Toledo (27-7),6.7,2023
Marshall (24-8),6.6,2023
Saint Louis (21-12),6.5,2023
Utah Valley (25-8),6.1,2023
Mississippi (12-21),6.0,2023
Santa Clara (23-9),5.9,2023
Nebraska (16-16),5.9,2023
J Madison (22-11),5.6,2023
Hofstra (24-9),5.6,2023
Indiana St (22-12),5.6,2023
Syracuse (17-15),5.5,2023
UNLV (19-13),5.5,2023
Tulane (20-11),5.4,2023
Wichita St (17-15),5.0,2023
Washington (16-16),4.8,2023
Grand Canyon (24-11),4.7,2023
Akron (22-11),4.5,2023
San Francisco (20-14),4.5,2023
Butler (14-18),4.5,2023
UC Irvine (23-11),4.4,2023
Colorado St (15-18),4.3,2023
Temple (16-16),4.2,2023
Colgate (26-8),4.1,2023
NC Greensboro (20-12),4.1,2023
Louisiana (26-7),3.9,2023
LSU (14-19),3.9,2023
Vermont (23-10),3.6,2023
S Alabama (19-16),3.5,2023
Belmont (21-11),3.5,2023
S Utah (22-12),3.4,2023
Loyola Mymt (19-12),3.4,2023
UCSB (27-7),3.0,2023
UMass Lowell (26-8),3.0,2023
Duquesne (20-12),3.0,2023
Charlotte (18-14),3.0,2023
Towson (21-12),2.9,2023
S Illinois (23-10),2.9,2023
DePaul (10-23),2.8,2023
Princeton (20-8),2.8,2023
Notre Dame (11-21),2.7,2023
Southern Miss (25-7),2.7,2023
San Jose St (20-13),2.7,2023
Davidson (16-16),2.6,2023
Montana St (25-9),2.4,2023
Georgia Tech (15-18),2.3,2023
George Mason (20-13),2.3,2023
Middle Tenn (19-14),2.2,2023
Youngstown St (24-9),2.2,2023
Georgia (16-16),2.1,2023
Ohio (19-14),2.1,2023
Richmond (15-18),2.0,2023
Samford (21-11),1.9,2023
Fresno St (11-20),1.9,2023
Wyoming (9-22),1.8,2023
Fordham (25-8),1.8,2023
SF Austin (19-13),1.7,2023
Penn (17-13),1.6,2023
Missouri St (17-15),1.6,2023
Troy (20-13),1.5,2023
Seattle (20-12),1.4,2023
E Washington (22-10),1.4,2023
Hawai'i (22-11),1.4,2023
Boston College (16-17),1.4,2023
S Florida (14-18),1.2,2023
Kennesaw St (26-8),1.2,2023
CS Fullerton (20-13),1.1,2023
Cornell (17-11),1.1,2023
Florida St (9-23),0.9,2023
UC Riverside (22-12),0.9,2023
Chattanooga (18-17),0.8,2023
NC Asheville (27-7),0.7,2023
Louisiana Tech (15-18),0.5,2023
NC Wilmington (24-10),0.5,2023
Cal Baptist (17-16),0.3,2023
Longwood (20-12),0.2,2023
Portland (14-19),0.1,2023
Air Force (14-18),0.1,2023
Tarleton St (17-16),0.1,2023
W Kentucky (17-16),-0.1,2023
S Dakota St (19-13),-0.1,2023
Saint Joseph's (16-17),-0.1,2023
SMU (10-22),-0.2,2023
App State (16-16),-0.2,2023
Lipscomb (20-13),-0.2,2023
St Bonaventure (14-18),-0.3,2023
Old Dominion (19-12),-0.3,2023
Ball St (20-12),-0.4,2023
N Kentucky (22-12),-0.5,2023
Minnesota (9-22),-0.5,2023
UMass (15-16),-0.6,2023
UC Davis (18-14),-0.7,2023
New Mexico St (9-15),-0.7,2023
Long Beach St (17-16),-0.8,2023
Harvard (14-14),-0.8,2023
Wright St (18-15),-0.8,2023
E Kentucky (20-13),-0.8,2023
Bryant (17-13),-1.0,2023
Radford (19-14),-1.0,2023
Abl Christian (13-17),-1.0,2023
N Iowa (14-18),-1.0,2023
E Carolina (16-17),-1.1,2023
Utah Tech (14-19),-1.1,2023
Norfolk St (22-11),-1.1,2023
Navy (18-13),-1.1,2023
Gardner-Webb (15-16),-1.2,2023
Drexel (17-15),-1.2,2023
Brown (14-13),-1.3,2023
Montana (17-14),-1.3,2023
South Carolina (11-21),-1.3,2023
Georgetown (7-25),-1.3,2023
FGCU (17-15),-1.3,2023
UTEP (14-18),-1.6,2023
La Salle (15-19),-1.6,2023
NC Central (18-12),-1.6,2023
Quinnipiac (20-12),-1.6,2023
Stetson (17-13),-1.7,2023
Murray St (17-15),-1.8,2023
