team,tr_predictive,season
Ohio St (31-2),31.6,2011
Kansas (32-2),31.6,2011
Duke (29-4),31.1,2011
Texas (27-7),27.9,2011
Washington (23-10),26.9,2011
Pittsburgh (27-5),26.9,2011
Kentucky (24-8),26.9,2011
BYU (30-4),26.8,2011
Purdue (25-7),26.5,2011
San Diego St (32-2),25.6,2011
North Carolina (26-6),25.5,2011
Wisconsin (23-8),25.2,2011
Louisville (25-9),25.0,2011
Syracuse (26-7),24.7,2011
Notre Dame (26-6),24.7,2011
Belmont (30-4),23.2,2011
Florida (26-6),23.2,2011
UConn (26-9),22.8,2011
Illinois (19-13),22.7,2011
West Virginia (20-11),22.6,2011
UNLV (24-8),22.6,2011
Arizona (27-7),22.5,2011
Utah St (30-3),22.5,2011
Missouri (23-10),22.3,2011
Vanderbilt (23-10),22.3,2011
Georgetown (21-10),22.3,2011
Cincinnati (25-8),21.9,2011
Kansas St (22-10),21.7,2011
Maryland (19-14),21.6,2011
Villanova (21-11),21.5,2011
Marquette (20-14),21.4,2011
Saint Mary's (25-8),21.3,2011
Gonzaga (24-9),21.2,2011
Virginia Tech (21-11),20.7,2011
Clemson (21-11),20.4,2011
Texas A&M (24-8),20.3,2011
Florida St (21-10),20.1,2011
George Mason (26-6),20.0,2011
Michigan St (19-14),19.8,2011
St John's (21-11),19.7,2011
Temple (25-7),19.6,2011
Washington St (19-12),19.6,2011
New Mexico (21-12),19.5,2011
Xavier (24-7),19.4,2011
Butler (23-9),19.0,2011
Michigan (20-13),18.9,2011
USC (19-14),18.8,2011
Tennessee (19-14),18.6,2011
Colorado (21-13),18.4,2011
Duquesne (18-12),18.3,2011
Nebraska (19-12),18.3,2011
Richmond (26-7),18.2,2011
UCLA (22-10),18.2,2011
Alabama (21-11),18.1,2011
Oakland (25-9),17.8,2011
Minnesota (17-14),17.8,2011
Wichita St (24-8),17.8,2011
Northwestern (18-13),17.6,2011
Penn St (19-13),17.6,2011
Georgia (21-11),17.5,2011
Miami (19-14),17.4,2011
Seton Hall (13-18),17.4,2011
UAB (22-8),17.3,2011
Southern Miss (22-10),16.9,2011
UTEP (25-9),16.8,2011
Baylor (18-13),16.8,2011
Old Dominion (27-6),16.7,2011
Cleveland St (26-8),16.4,2011
Boston College (20-12),16.3,2011
Colorado St (19-12),16.3,2011
Mississippi (20-13),16.3,2011
California (17-14),16.3,2011
Iowa St (16-16),15.9,2011
Oklahoma St (19-13),15.8,2011
Missouri St (25-8),15.8,2011
Marshall (22-11),15.7,2011
Iona (22-11),15.6,2011
Charleston (24-10),15.5,2011
Indiana (12-20),15.4,2011
Memphis (25-9),15.0,2011
Coastal Car (28-5),15.0,2011
Boise St (20-12),14.9,2011
UCF (19-11),14.6,2011
Morehead St (24-9),14.3,2011
Rutgers (15-17),14.2,2011
Iowa (11-20),14.1,2011
NC State (15-16),14.1,2011
Tulsa (19-13),14.0,2011
VCU (23-11),14.0,2011
Valparaiso (23-11),13.9,2011
Harvard (23-6),13.8,2011
Georgia Tech (13-18),13.6,2011
Arkansas (18-13),13.6,2011
Montana (21-10),13.5,2011
Wofford (21-12),13.4,2011
Stanford (15-16),13.3,2011
Oregon (16-17),13.3,2011
Portland (20-11),13.1,2011
Long Beach St (22-11),13.0,2011
Providence (15-17),12.9,2011
Austin Peay (20-13),12.9,2011
