team,tr_predictive,season
Kansas (30-4),21.2,2016
Michigan St (28-5),20.9,2016
North Carolina (28-6),20.4,2016
Virginia (26-7),19.4,2016
West Virginia (26-8),19.2,2016
Villanova (29-5),19.0,2016
Louisville (23-8),18.4,2016
Purdue (26-7),18.2,2016
Kentucky (25-8),17.9,2016
Oklahoma (25-7),17.8,2016
Duke (23-10),17.6,2016
Indiana (25-7),17.3,2016
Arizona (25-8),16.4,2016
Miami (25-7),16.2,2016
SMU (25-5),16.2,2016
Texas A&M (26-7),15.6,2016
Xavier (27-5),15.5,2016
Vanderbilt (19-13),15.4,2016
Maryland (25-8),15.2,2016
Iowa (21-10),15.2,2016
Wichita St (24-8),14.8,2016
Iowa St (21-11),14.8,2016
Gonzaga (26-7),14.7,2016
Oregon (28-6),14.1,2016
Baylor (22-11),14.0,2016
UConn (23-10),13.9,2016
Butler (21-10),13.8,2016
Cincinnati (22-10),13.6,2016
Utah (26-8),13.3,2016
California (23-10),13.3,2016
Pittsburgh (21-11),12.8,2016
VCU (24-9),12.6,2016
Florida (19-14),12.6,2016
Texas (20-12),12.5,2016
Notre Dame (21-11),12.2,2016
Michigan (22-12),11.9,2016
Seton Hall (25-8),11.6,2016
Wisconsin (20-12),11.5,2016
Syracuse (19-13),11.1,2016
Valparaiso (26-6),10.7,2016
BYU (23-10),10.7,2016
Saint Mary's (27-5),10.7,2016
Florida St (19-13),10.5,2016
USC (21-12),10.4,2016
Creighton (18-14),10.4,2016
Dayton (25-7),10.1,2016
Clemson (17-14),9.8,2016
Georgia Tech (19-14),9.6,2016
Saint Joseph's (26-7),9.5,2016
South Carolina (24-8),9.5,2016
Providence (23-10),9.5,2016
SF Austin (27-5),9.5,2016
Yale (22-6),9.4,2016
Texas Tech (19-12),9.1,2016
G Washington (23-10),9.0,2016
Kansas St (17-16),8.9,2016
Colorado (22-11),8.8,2016
Georgetown (15-18),8.6,2016
Northwestern (20-12),8.5,2016
Princeton (22-6),8.4,2016
San Diego St (25-9),8.3,2016
Tulsa (20-11),8.3,2016
Ohio St (20-13),8.3,2016
Memphis (19-14),8.2,2016
Stony Brook (26-6),8.1,2016
UCLA (15-17),8.1,2016
Arkansas (16-16),8.0,2016
NC State (16-17),8.0,2016
Houston (22-9),7.8,2016
Oregon St (19-12),7.8,2016
Washington (18-14),7.8,2016
LSU (19-14),7.5,2016
Georgia (19-13),7.5,2016
Rhode Island (17-15),7.4,2016
Virginia Tech (19-14),7.3,2016
Mississippi (20-12),6.9,2016
Akron (26-8),6.7,2016
Evansville (25-9),6.7,2016
N Iowa (22-12),6.7,2016
