team,tr_predictive,season
Kansas (30-3),32.4,2008
North Carolina (31-2),29.5,2008
Memphis (33-1),28.7,2008
Duke (27-5),28.5,2008
UCLA (31-3),28.3,2008
Tennessee (29-4),25.7,2008
Wisconsin (28-4),25.7,2008
Georgetown (27-5),24.8,2008
Texas (28-5),24.8,2008
Marquette (24-9),23.8,2008
Louisville (24-8),23.6,2008
Xavier (27-6),23.6,2008
West Virginia (24-10),23.4,2008
Clemson (24-8),23.3,2008
Stanford (26-7),23.2,2008
Washington St (24-8),22.8,2008
Gonzaga (25-7),22.4,2008
Davidson (26-6),22.2,2008
Kansas St (20-11),22.1,2008
Michigan St (25-8),22.1,2008
Indiana (25-7),22.1,2008
Texas A&M (24-10),22.1,2008
UConn (24-8),21.7,2008
Pittsburgh (26-9),21.6,2008
Notre Dame (24-7),21.4,2008
Drake (28-4),21.4,2008
Arizona (19-14),21.3,2008
USC (21-11),20.7,2008
New Mexico (24-8),20.0,2008
Ohio St (19-13),19.6,2008
BYU (27-7),19.5,2008
Butler (29-3),19.5,2008
Mississippi St (22-10),19.4,2008
Saint Mary's (25-6),19.3,2008
Arkansas (22-10),19.1,2008
Oregon (18-13),19.0,2008
Florida (21-11),18.8,2008
Purdue (24-8),18.7,2008
Oklahoma (22-11),18.7,2008
Baylor (21-10),18.3,2008
Missouri (16-16),18.0,2008
Syracuse (19-13),17.9,2008
Mississippi (21-10),17.7,2008
Miami (22-10),17.7,2008
Vanderbilt (26-7),17.7,2008
Nebraska (19-12),17.5,2008
Georgia Tech (15-17),17.4,2008
Virginia Tech (19-13),17.4,2008
Illinois (16-18),17.3,2008
UNLV (26-7),17.0,2008
Arizona St (19-12),17.0,2008
Minnesota (20-13),16.9,2008
Saint Joseph's (21-12),16.8,2008
W Kentucky (27-6),16.7,2008
Florida St (19-14),16.7,2008
Oklahoma St (17-15),16.4,2008
Creighton (21-10),16.2,2008
California (16-15),16.2,2008
Villanova (20-12),16.2,2008
Illinois St (24-9),16.1,2008
IU Indy (26-7),16.0,2008
Washington (16-16),16.0,2008
Oral Roberts (24-8),15.9,2008
UAB (22-10),15.9,2008
Duquesne (17-13),15.7,2008
Kent St (28-6),15.7,2008
S Illinois (17-14),15.6,2008
Kentucky (18-12),15.5,2008
UMass (21-10),15.5,2008
Maryland (18-14),15.5,2008
Utah (17-14),15.5,2008
Temple (21-12),14.9,2008
Rhode Island (21-11),14.9,2008
S Alabama (26-6),14.8,2008
Texas Tech (16-15),14.7,2008
Houston (22-9),14.5,2008
Wake Forest (17-13),14.4,2008
Alabama (17-16),14.4,2008
Dayton (21-10),14.3,2008
CS Fullerton (24-8),14.3,2008
Winthrop (22-11),14.2,2008
Akron (23-10),14.1,2008
Virginia (15-15),14.1,2008
Providence (15-16),14.0,2008
VCU (24-7),14.0,2008
Miami OH (17-15),14.0,2008
George Mason (23-10),13.9,2008
San Diego St (20-12),13.8,2008
New Mexico St (21-14),13.5,2008
Tulsa (20-13),13.4,2008
South Carolina (14-18),13.3,2008
Charlotte (20-13),13.3,2008
Georgia (16-16),13.2,2008
Missouri St (17-16),13.1,2008
SF Austin (26-5),12.8,2008
Nevada (21-11),12.7,2008
UCF (16-15),12.4,2008
Bradley (17-15),12.4,2008
W Michigan (20-12),12.4,2008
UTEP (19-13),12.1,2008
Cleveland St (21-12),12.0,2008
Southern Miss (19-14),12.0,2008
LSU (13-18),11.8,2008
Ohio (19-12),11.8,2008
Boston College (14-17),11.6,2008
S Florida (12-19),11.6,2008
Illinois Chicago (18-15),11.5,2008
Valparaiso (21-13),11.4,2008
N Iowa (18-14),11.4,2008
Portland St (23-9),11.4,2008
CS Northridge (20-10),11.4,2008
NC Greensboro (19-12),11.2,2008
Sam Houston (23-8),11.1,2008
NC State (15-16),11.1,2008
N Dakota St (16-13),11.0,2008
UCSB (23-8),11.0,2008
Utah St (24-10),11.0,2008
Colorado (12-20),11.0,2008
DePaul (11-19),11.0,2008
Siena (22-10),10.8,2008
Cincinnati (13-18),10.8,2008
Boise St (25-8),10.8,2008
Seton Hall (17-15),10.7,2008
Iowa St (14-18),10.5,2008
Wright St (21-10),10.4,2008
Pacific (21-10),10.2,2008
San Diego (20-13),10.2,2008
Cornell (22-5),10.1,2008
Penn St (15-16),10.1,2008
N Texas (20-11),9.8,2008
Old Dominion (17-15),9.8,2008
Oakland (17-14),9.6,2008
Michigan (10-22),9.6,2008
Lamar (19-11),9.5,2008
Rider (23-10),9.5,2008
Indiana St (15-16),9.4,2008
Auburn (14-16),9.3,2008
Belmont (25-8),9.2,2008
UMBC (24-8),9.2,2008
Georgia So (20-12),9.1,2008
Marshall (16-14),9.1,2008
Iowa (13-19),8.9,2008
N Arizona (21-11),8.8,2008
St John's (11-19),8.7,2008
Wichita St (11-20),8.6,2008
Green Bay (15-15),8.5,2008
Air Force (16-14),8.4,2008
Santa Clara (14-16),8.4,2008
Niagara (19-10),8.2,2008
App State (18-13),8.2,2008
High Point (17-14),8.1,2008
Chattanooga (18-13),8.1,2008
UC Irvine (18-16),8.1,2008
NC Asheville (23-9),8.0,2008
Brown (19-9),8.0,2008
Saint Louis (16-15),7.9,2008
Robert Morris (26-7),7.8,2008
La Salle (15-17),7.7,2008
Austin Peay (24-10),7.6,2008
Fordham (12-17),7.6,2008
Northeastern (14-17),7.4,2008
Tulane (17-15),7.4,2008
UT Arlington (20-11),7.3,2008
Marist (18-14),7.0,2008
Milwaukee (14-16),7.0,2008
Richmond (16-14),7.0,2008
TCU (14-16),7.0,2008
Charleston (16-17),6.7,2008
American (21-11),6.6,2008
Montana (14-16),6.4,2008
NC Wilmington (20-13),6.4,2008
C Michigan (14-17),6.3,2008
SE Louisiana (17-13),6.1,2008
New Orleans (19-13),6.0,2008
Northwestern (8-22),5.9,2008
Fresno St (13-19),5.9,2008
Purdue FW (13-18),5.8,2008
Little Rock (20-11),5.8,2008
Liberty (16-16),5.8,2008
G Washington (9-17),5.8,2008
Holy Cross (15-14),5.7,2008
E Tennessee St (19-13),5.7,2008
Morgan St (22-10),5.7,2008
Murray St (18-13),5.6,2008
Weber St (16-14),5.6,2008
Middle Tenn (17-15),5.4,2008
Vermont (16-15),5.3,2008
Gardner-Webb (16-16),5.2,2008
Loyola MD (19-14),5.2,2008
E Michigan (14-17),5.2,2008
Wyoming (12-18),5.2,2008
Loyola Chi (12-19),5.2,2008
Louisiana (15-15),5.1,2008
Mt St Mary's (18-14),5.0,2008
Albany (15-15),4.9,2008
Rutgers (11-20),4.7,2008
Buffalo (10-20),4.5,2008
William & Mary (17-16),4.4,2008
Wofford (16-16),4.3,2008
Utah Valley (15-14),4.0,2008
Lafayette (15-15),4.0,2008
VMI (14-15),3.9,2008
Elon (14-19),3.9,2008
Lipscomb (15-16),3.9,2008
Montana St (15-15),3.8,2008
Youngstown St (9-21),3.7,2008
Evansville (9-21),3.5,2008
Bowling Green (13-17),3.4,2008
J Madison (13-17),3.2,2008
Tenn Tech (13-19),3.2,2008
Hampton (18-12),3.2,2008
Tennessee St (15-17),3.2,2008
S Utah (11-19),3.2,2008
Colgate (18-14),3.1,2008
C Connecticut (14-16),3.1,2008
Yale (13-15),3.1,2008
Toledo (11-19),3.0,2008
Navy (16-14),3.0,2008
N Colorado (13-16),2.9,2008
Hawai'i (11-19),2.7,2008
Delaware (14-17),2.6,2008
Jacksonville (18-13),2.5,2008
Ball St (6-24),2.5,2008
Fairfield (14-16),2.5,2008
Alabama St (20-10),2.5,2008
Hofstra (12-18),2.4,2008
Sacred Heart (18-14),2.3,2008
St Bonaventure (8-22),2.3,2008
Florida Atlantic (15-18),2.3,2008
Pepperdine (11-21),2.3,2008
Boston U (14-17),2.3,2008
E Washington (11-19),2.2,2008
Denver (11-19),2.2,2008
Detroit Mercy (7-23),2.2,2008
San Francisco (10-21),2.1,2008
LIU-Brooklyn (15-15),2.0,2008
E Carolina (11-19),2.0,2008
Binghamton (14-16),2.0,2008
UT Martin (17-16),2.0,2008
Nicholls (10-21),2.0,2008
Colorado St (7-25),2.0,2008
Kansas City (11-21),1.9,2008
McNeese (13-16),1.9,2008
Arkansas St (10-20),1.8,2008
Bucknell (12-19),1.8,2008
W Illinois (12-18),1.7,2008
Iona (12-20),1.7,2008
Oregon St (6-25),1.7,2008
UL Monroe (10-21),1.7,2008
Towson (13-18),1.5,2008
UT Rio Grande (18-13),1.4,2008
Texas St (13-16),1.3,2008
W Carolina (10-21),1.1,2008
Chicago St (11-17),1.1,2008
Troy (12-19),1.1,2008
Wagner (23-8),1.0,2008
Presbyterian (5-25),1.0,2008
Manhattan (12-19),0.9,2008
C Arkansas (14-16),0.9,2008
San Jose St (13-19),0.9,2008
Columbia (14-15),0.9,2008
Texas A&M-CC (9-20),0.7,2008
Cal Poly (12-18),0.7,2008
Drexel (12-20),0.7,2008
E Kentucky (14-16),0.7,2008
Coastal Car (13-15),0.7,2008
Georgia St (9-21),0.6,2008
Quinnipiac (15-15),0.5,2008
UTSA (13-17),0.5,2008
S Dakota St (8-21),0.4,2008
Portland (9-22),0.3,2008
Hartford (18-16),0.1,2008
Lehigh (14-15),0.1,2008
Florida Intl (9-20),0.0,2008
Centenary (10-21),0.0,2008
NW State (15-17),-0.2,2008
Morehead St (15-15),-0.4,2008
Army (14-16),-0.5,2008
Samford (14-16),-0.5,2008
N Illinois (6-22),-0.6,2008
New Hampshire (9-20),-0.6,2008
Idaho (8-21),-1.0,2008
Delaware St (14-16),-1.1,2008
Mercer (10-19),-1.2,2008
Stetson (16-16),-1.2,2008
SMU (10-20),-1.2,2008
UC Riverside (9-21),-1.6,2008
Campbell (10-20),-1.7,2008
Idaho St (12-19),-1.7,2008
Saint Peter's (6-24),-1.9,2008
Harvard (8-22),-1.9,2008
Charleston So (10-20),-2.0,2008
Rice (3-27),-2.4,2008
Radford (10-20),-2.6,2008
Princeton (6-23),-2.7,2008
SC Upstate (7-23),-2.7,2008
Furman (7-23),-2.9,2008
NC A&T (14-16),-2.9,2008
Norfolk St (16-15),-3.1,2008
SE Missouri St (12-19),-3.2,2008
Penn (13-18),-3.2,2008
Long Beach St (6-25),-3.4,2008
UC Davis (9-22),-3.4,2008
Stony Brook (7-23),-3.4,2008
Savannah St (13-18),-3.9,2008
E Illinois (7-22),-4.0,2008
FGCU (10-21),-4.1,2008
St Fran (NY) (7-22),-4.3,2008
CS Bakersfield (8-21),-4.4,2008
Miss Valley St (17-15),-4.5,2008
Coppin St (16-20),-4.7,2008
Kennesaw St (10-20),-4.7,2008
Monmouth (7-24),-4.9,2008
Jacksonville St (7-22),-4.9,2008
Alabama A&M (14-15),-4.9,2008
F Dickinson (8-20),-4.9,2008
Dartmouth (10-18),-5.0,2008
Florida A&M (15-17),-5.4,2008
St Francis PA (6-23),-5.5,2008
Jackson St (14-20),-5.6,2008
S Carolina St (13-20),-5.7,2008
Maine (7-23),-5.9,2008
Southern (11-19),-6.0,2008
Canisius (6-25),-6.0,2008
Bethune (11-21),-6.0,2008
Louisiana Tech (6-24),-6.1,2008
Sacramento St (5-24),-6.1,2008
The Citadel (6-24),-6.4,2008
Wins-Salem (12-18),-6.5,2008
Longwood (9-22),-6.6,2008
AR-Pine Bluff (13-18),-6.7,2008
Loyola Mymt (5-26),-8.3,2008
N Florida (3-26),-9.9,2008
Texas So (7-25),-10.2,2008
Prairie View (8-22),-10.2,2008
Alcorn St (7-24),-11.6,2008
Howard (6-26),-12.2,2008
Grambling (7-19),-12.7,2008
NC Central (4-26),-13.1,2008
Maryland ES (4-28),-14.6,2008
NJIT (0-29),-17.1,2008
