team,tr_predictive,season
Gonzaga (32-1),22.8,2017
Villanova (31-3),22.1,2017
North Carolina (27-7),21.8,2017
Kentucky (28-5),20.6,2017
West Virginia (26-8),20.4,2017
Duke (27-8),20.1,2017
Kansas (28-4),20.1,2017
Louisville (24-8),19.7,2017
Virginia (22-10),19.3,2017
Florida (24-8),19.1,2017
Oregon (29-5),18.2,2017
UCLA (29-4),18.1,2017
Purdue (25-7),18.1,2017
Wichita St (30-4),18.0,2017
Wisconsin (25-8),17.2,2017
Baylor (25-7),17.0,2017
Iowa St (23-10),16.6,2017
Cincinnati (29-4),16.6,2017
Florida St (25-8),16.6,2017
Arizona (30-4),16.3,2017
SMU (29-4),16.2,2017
Saint Mary's (28-4),15.8,2017
Butler (23-8),15.5,2017
Michigan (23-11),15.2,2017
Notre Dame (25-9),15.1,2017
Creighton (25-9),15.0,2017
Oklahoma St (20-12),14.6,2017
Marquette (19-12),13.3,2017
Indiana (18-15),13.1,2017
Syracuse (18-14),13.0,2017
Miami (21-11),12.9,2017
Xavier (21-13),12.8,2017
Kansas St (20-13),12.2,2017
Clemson (17-15),12.0,2017
Wake Forest (19-13),11.9,2017
Michigan St (19-14),11.9,2017
Minnesota (24-9),11.8,2017
South Carolina (22-10),11.7,2017
Rhode Island (23-9),11.5,2017
Dayton (24-7),11.5,2017
Vanderbilt (19-15),11.4,2017
Arkansas (25-8),11.2,2017
Virginia Tech (22-10),11.2,2017
VCU (26-7),11.2,2017
Texas Tech (18-14),11.2,2017
Maryland (24-8),11.0,2017
Northwestern (23-11),10.9,2017
Utah (20-11),10.8,2017
Seton Hall (21-11),10.6,2017
California (21-12),10.6,2017
TCU (19-15),10.6,2017
Houston (21-10),10.1,2017
Nevada (28-6),9.8,2017
Georgetown (14-18),9.5,2017
USC (24-9),9.3,2017
Alabama (19-14),9.3,2017
Providence (20-12),9.2,2017
Princeton (22-6),9.0,2017
Middle Tenn (30-4),8.8,2017
Ohio St (17-15),8.8,2017
Texas (11-22),8.8,2017
Georgia (19-14),8.7,2017
Pittsburgh (16-17),8.7,2017
Oklahoma (11-20),8.7,2017
Texas A&M (16-15),8.7,2017
NC Wilmington (29-5),8.6,2017
Iowa (18-14),8.3,2017
